arm,family,hs_m,record,z_rms_m,z_pct_hs,rms_3d_m,roll_deg,pitch_deg,yaw_deg,tau_applied,sigma_applied
C_P=0.1116,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0973957,6.49305,0.209571,0.203155,0.0796055,1.03971,2.18073,0.688929
C_P=0.1116,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.246296,6.1574,0.584891,0.433502,0.215756,0.831587,3.59057,1.0612
C_P=0.1116,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.50424,5.93224,1.31674,0.365591,0.281881,0.390689,4.22184,1.34186
C_P=0.1116,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.017861,6.61519,0.034442,0.219864,0.169376,0.689615,1.17259,0.364511
C_P=0.1116,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0936692,6.24461,0.195853,0.213006,0.167542,0.977272,2.04482,0.746237
C_P=0.1116,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.241402,6.03504,0.541046,0.349098,0.204591,0.486715,3.28991,1.06392
C_P=0.1116,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.515447,6.06408,1.20835,0.277304,0.175303,0.52782,4.10027,1.41336
C_P=0.1146,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0180523,6.68604,0.0355456,0.234599,0.141785,1.06735,1.28034,0.339124
C_P=0.1146,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0975821,6.50547,0.211486,0.203331,0.0795645,1.04012,2.18073,0.688929
C_P=0.1146,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.246463,6.16157,0.590642,0.433768,0.21605,0.832006,3.59057,1.0612
C_P=0.1146,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.503762,5.92662,1.33203,0.366022,0.282679,0.390909,4.22184,1.34186
C_P=0.1146,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0178973,6.62864,0.0346926,0.219861,0.169575,0.690356,1.17259,0.364511
C_P=0.1146,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0937354,6.24902,0.197549,0.213174,0.167418,0.977309,2.04482,0.746237
C_P=0.1146,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.241316,6.03291,0.546135,0.349388,0.204311,0.486873,3.28991,1.06392
