condition,guard,spectrum,hs_m,input,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,disp_x_mean_m,disp_y_mean_m,disp_z_mean_m,roll_mean_deg,pitch_mean_deg,yaw_mean_deg,guard_engagement,guard_out_of_band_rms_mps2,guard_delay_sec,guard_racc_std_mps2,disp_z_ref_rms_m
engine off,guard+R,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.527043641,0.39047569,0.314737558,0.727534175,0.327541351,0.146496296,0.296647817,0.0586316139,0.0565273687,0.0265995972,-0.0114709912,-0.286031306,-0.127865076,-0.054032255,0.0,0.0079553,0.0,0.0,2.16781425
engine off,off,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00912913214,0.00908371806,0.0114732953,0.0172479413,0.307665735,0.120979249,0.493549347,0.0562699549,0.00141939276,0.000307587296,-0.000395495095,-0.27157101,-0.113093093,0.303649604,0.0,nan,0.0,nan,0.0534430593
engine off,off,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0692866594,0.0617609359,0.0614870973,0.111336052,0.169569299,0.118798591,0.386550993,0.0344956964,0.00575070316,0.00239236141,-0.00384178781,-0.144594803,-0.108957008,0.336942703,0.0,nan,0.0,nan,0.390963972
engine off,off,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233526543,0.173230931,0.160706207,0.332219929,0.222907603,0.130766019,0.814530671,0.0426955149,0.0204635896,0.00654172851,-0.00962507166,-0.187047377,-0.117558062,-0.777642608,0.0,nan,0.0,nan,1.04307246
engine off,off,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.524153173,0.40964815,0.315277755,0.736171305,0.289481997,0.14502053,0.330433637,0.052946154,0.0625451058,0.0269786865,-0.0120657953,-0.251047254,-0.128738761,0.19089891,0.0,nan,0.0,nan,2.15460348
engine off,off,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00917331781,0.00901419204,0.0113749523,0.0171695948,0.312751889,0.119833104,0.659354746,0.0570186079,0.00137933344,0.000309195893,-0.000356146542,-0.276397347,-0.111966923,0.566245317,0.0,nan,0.0,nan,0.0499124601
engine off,off,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0669345185,0.0585478134,0.0603512004,0.107472524,0.169938147,0.119190335,0.243768901,0.0344661474,0.00515390281,0.00186172104,-0.00332462508,-0.145025685,-0.108257681,0.137709692,0.0,nan,0.0,nan,0.385561794
engine off,off,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.226601139,0.166475058,0.158207253,0.322632223,0.207218379,0.129803151,0.601709485,0.0400950685,0.0191557538,0.00526174903,-0.00769930799,-0.172578707,-0.115719199,-0.556573153,0.0,nan,0.0,nan,1.04037023
engine off,off,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.527043641,0.39047569,0.314737558,0.727534175,0.327541351,0.146496296,0.296647817,0.0586316139,0.0565273687,0.0265995972,-0.0114709912,-0.286031306,-0.127865076,-0.054032255,0.0,nan,0.0,nan,2.16781425
800 rpm,guard,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0118253222,0.0116644194,0.0160549413,0.0231010411,1.09151173,1.50146306,9.15064335,0.315014958,0.00530168042,-0.00533748884,-0.007928662,1.06285644,1.42334306,-9.09217548,1.0,0.0866985,0.0227364,0.117754,0.0534430593
800 rpm,guard,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.116067238,0.152241156,0.092390731,0.212567687,0.251194447,1.9620837,44.2987022,0.337830424,0.0285648052,-0.0304449741,-0.0521509834,-0.220282748,1.90704107,-43.5396271,1.0,0.0866987,0.0227364,0.0294384,0.390963972
800 rpm,guard,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.301119089,0.349394172,0.203518674,0.504151583,0.231816038,1.75872934,26.8764076,0.303838462,0.0861787498,-0.0729304627,-0.0727385581,0.215566695,1.64990389,-26.7536068,1.0,0.0866985,0.0227364,0.0294384,1.04307246
800 rpm,guard,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.641466796,0.845425606,0.389377475,1.13041532,0.207407027,1.60235143,20.6803055,0.278212726,0.243990511,-0.187464565,-0.106950067,0.177091673,1.46531582,-20.534193,1.0,0.0866986,0.0227364,0.0294384,2.15460348
800 rpm,guard,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0116133234,0.0113539128,0.0160700455,0.0228479095,1.08819389,1.51229095,8.8218689,0.316096663,0.00540882116,-0.00540125417,-0.00803502742,1.05994856,1.43636191,-8.77246761,1.0,0.0866986,0.0227364,0.117754,0.0499124601
800 rpm,guard,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0905801356,0.124900982,0.0787779689,0.173236787,0.156508774,1.8289721,31.1768188,0.315208465,0.0213455837,-0.0188303236,-0.0328849442,0.0925135687,1.73387063,-31.029871,1.0,0.0866984,0.0227364,0.0294384,0.385561794
800 rpm,guard,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.297766984,0.235121042,0.179424688,0.419690698,0.369544148,1.45961452,17.7166576,0.259617269,0.0591440313,-0.0379543193,-0.0329959318,0.35662958,1.29796898,-17.6736336,1.0,0.0866987,0.0227364,0.0294384,1.04037023
800 rpm,guard,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.582625508,0.689222932,0.351131856,0.968387485,0.1299299,1.22070599,13.3630142,0.215953842,0.155640304,-0.0826933384,-0.0260482933,0.107840143,1.02449036,-13.276948,1.0,0.0866985,0.0227364,0.0294384,2.16781425
800 rpm,guard+R,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0112454025,0.00946385786,0.0140453437,0.0203296673,0.482285738,1.59949279,8.75868225,0.284062177,0.00446278555,-0.0024074181,-0.00457895501,0.457669646,1.45283234,-8.60311985,1.0,0.0866985,0.0227364,0.125197,0.0534430593
800 rpm,guard+R,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0949766338,0.125559092,0.0944108218,0.183573008,0.171195969,1.91251004,30.8475876,0.327975094,0.0307825953,-0.0246582348,-0.0506916381,-0.0529179536,1.84187555,-30.7506809,1.0,0.0866987,0.0227364,0.0517195,0.390963972
800 rpm,guard+R,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.303913921,0.305893034,0.211444721,0.48025313,0.173006579,1.75304723,23.1556892,0.301738232,0.0926088318,-0.0646685585,-0.0775267407,0.120305479,1.63652921,-23.1199512,1.0,0.0866985,0.0227364,0.0517194,1.04307246
800 rpm,guard+R,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.643427491,0.806973577,0.400038958,1.10690403,0.141898334,1.63004017,18.8079033,0.281123757,0.261078179,-0.167445451,-0.119191945,0.0646624714,1.48928833,-18.7086124,1.0,0.0866986,0.0227364,0.0517195,2.15460348
800 rpm,guard+R,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0110191703,0.00943737756,0.0139584383,0.0201326646,0.477296919,1.60294747,8.40073204,0.284333348,0.00442773988,-0.0023415105,-0.00450011436,0.452629626,1.4564997,-8.25797081,1.0,0.0866986,0.0227364,0.125197,0.0499124601
800 rpm,guard+R,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0866925195,0.110603653,0.0817941651,0.162600875,0.171901003,1.81009388,25.1688271,0.31195721,0.0234089177,-0.0164506994,-0.0339542702,0.0457560271,1.70684755,-25.1230316,1.0,0.0866984,0.0227364,0.0517193,0.385561794
800 rpm,guard+R,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.297626287,0.22227177,0.186603621,0.415700704,0.251865357,1.51008654,16.6419773,0.264319181,0.0646028444,-0.0359764211,-0.0382005796,0.237129673,1.34510863,-16.6085091,1.0,0.0866987,0.0227364,0.0517196,1.04037023
800 rpm,guard+R,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.587269485,0.680368483,0.355515987,0.966529012,0.0962138176,1.30274808,13.0984697,0.228872508,0.168116316,-0.0769146159,-0.0389828049,0.019304106,1.10435009,-13.0129566,1.0,0.0866985,0.0227364,0.0517194,2.16781425
800 rpm,off,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0488630421,0.0521929823,0.0388661139,0.081377387,1.98216558,1.17702079,109.619125,0.380157351,-0.00232703611,-0.00590929715,-0.029784685,1.97500181,-1.00217271,-114.592438,0.0,nan,0.0,nan,0.0534430593
800 rpm,off,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,1.50620139,1.89017606,0.440281123,2.45667577,2.41149163,2.50623703,103.252892,0.397229433,0.0102109518,-0.00628079521,-0.422107786,2.3546567,-2.46886683,-31.3225536,0.0,nan,0.0,nan,0.390963972
800 rpm,off,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,2.59874821,3.23164964,0.82793045,4.22877312,2.18265748,2.48908639,103.46064,0.3982535,0.0507561639,-0.179070964,-0.779992938,2.10312176,-2.43560863,-68.5667267,0.0,nan,0.0,nan,1.04307246
800 rpm,off,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,5.11302471,6.37721682,1.58267558,8.32567024,2.25668693,2.50455332,104.718323,0.398205489,0.41351074,-1.02384531,-1.41749418,2.123595,-2.42994618,134.572189,0.0,nan,0.0,nan,2.15460348
800 rpm,off,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0206423178,0.03696049,0.0503523909,0.0657840893,2.2229917,0.401300997,41.5286751,0.37394169,-0.0119179254,-0.0283180196,-0.0465425178,2.22102261,-0.304748654,-33.5436783,0.0,nan,0.0,nan,0.0499124601
800 rpm,off,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.900031686,1.13410974,0.311335236,1.48094273,2.01624632,2.19471049,104.257782,0.397109777,0.0340545774,-0.0320088789,-0.296126902,1.97703838,-2.16329789,-108.284019,0.0,nan,0.0,nan,0.385561794
800 rpm,off,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,1.5197165,1.70381856,0.531605303,2.34417152,1.7501868,2.14583182,105.69677,0.397004843,0.0545661114,-0.170472756,-0.460863054,1.69192696,-2.09728217,-167.691162,0.0,nan,0.0,nan,1.04037023
800 rpm,off,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,2.94719195,3.34111381,0.992600203,4.5644536,1.68254948,2.16549468,103.731255,0.398900628,0.167022511,-0.821915507,-0.752384245,1.57780588,-2.10763955,-84.7805939,0.0,nan,0.0,nan,2.16781425
1600 rpm,guard,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0106099071,0.00911363587,0.0122141633,0.0185691752,0.29455021,1.46234012,5.72110844,0.253961027,0.00358279492,-0.000278839463,-0.00235319743,-0.228277713,1.2591958,-5.31923866,1.0,0.118238,0.0227364,0.117754,0.0534430593
1600 rpm,guard,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.08434055,0.0977433622,0.0805114582,0.152148575,0.314892858,1.76725101,19.0849533,0.307265908,0.0232622959,-0.00858084299,-0.0334169455,-0.231038421,1.64990509,-19.0441589,1.0,0.118238,0.0227364,0.0294384,0.390963972
1600 rpm,guard,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.286790222,0.225500301,0.194009662,0.413205475,0.17951186,1.56307006,15.2579832,0.270869374,0.0744640082,-0.0259296168,-0.0480143726,-0.0849458426,1.39612424,-15.2118483,1.0,0.118239,0.0227364,0.0294384,1.04307246
1600 rpm,guard,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.579865158,0.634340942,0.357039928,0.930650055,0.213681325,1.40828681,12.2129564,0.245242536,0.206077844,-0.0635154843,-0.0674669966,-0.143099099,1.2107327,-12.1120958,1.0,0.118238,0.0227364,0.0294384,2.15460348
1600 rpm,guard,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0103925765,0.00903031603,0.0121608907,0.0183695257,0.294005603,1.46908236,5.42937469,0.255010605,0.00354680675,-0.000264237344,-0.00230620615,-0.227779716,1.26641309,-5.03499031,1.0,0.118238,0.0227364,0.117754,0.0499124601
1600 rpm,guard,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0814649686,0.0898821652,0.0718983486,0.141013175,0.246671379,1.63555694,16.0073776,0.284142733,0.0176109076,-0.00589795597,-0.0209292658,-0.153347567,1.47942865,-15.9378119,1.0,0.118238,0.0227364,0.0294384,0.385561794
1600 rpm,guard,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.286040246,0.187872306,0.169718757,0.381994098,0.0954842195,1.26186204,11.1434774,0.219738334,0.0503971502,-0.0137807457,-0.0162911359,0.033380568,1.05897367,-11.0805826,1.0,0.118238,0.0227364,0.0294384,1.04037023
1600 rpm,guard,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.570984483,0.577872992,0.341645807,0.8812958,0.233209416,0.968323708,8.65740013,0.174287856,0.131339058,-0.0255903285,-0.0169332232,-0.179147378,0.779002666,-8.57417297,1.0,0.118238,0.0227364,0.0294384,2.16781425
1600 rpm,guard+R,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00969417859,0.00907696504,0.0121162003,0.017976949,0.326896697,0.732980013,3.24521685,0.136571467,0.0022941553,0.000157258954,-0.000491039187,-0.275841057,0.571764886,-2.94973803,1.0,0.118238,0.0227364,0.135076,0.0534430593
1600 rpm,guard+R,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0722431242,0.07038261,0.0723858252,0.124147043,0.417550087,1.43342853,8.82433319,0.255424082,0.0180881955,-0.000140023243,-0.0151804034,-0.345285714,1.23459125,-8.6577282,1.0,0.118238,0.0227364,0.0724309,0.390963972
1600 rpm,guard+R,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.27147454,0.173676282,0.180647612,0.369452894,0.352947742,1.24502063,8.38730145,0.223430008,0.0577767976,-0.00222362694,-0.0211706124,-0.281192988,1.03516829,-8.27128887,1.0,0.118239,0.0227364,0.0724311,1.04307246
1600 rpm,guard+R,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.556067586,0.522042274,0.340846747,0.835413575,0.416884989,1.10330963,6.78215408,0.202079102,0.166995794,0.000296987157,-0.0195119213,-0.349142492,0.899768591,-6.65956783,1.0,0.118238,0.0227364,0.0724311,2.15460348
1600 rpm,guard+R,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00958553515,0.00899432227,0.0121017005,0.0178670492,0.32259953,0.714622259,2.89605331,0.133374676,0.00222892617,0.000168551865,-0.000445566926,-0.272609442,0.556983829,-2.60948467,1.0,0.118238,0.0227364,0.135076,0.0499124601
1600 rpm,guard+R,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0734095126,0.0678887293,0.0682119057,0.121040076,0.378624171,1.32770324,8.07679844,0.236809433,0.0147072244,-0.00028721834,-0.00953061599,-0.308090776,1.11431789,-7.9072752,1.0,0.118238,0.0227364,0.0724309,0.385561794
1600 rpm,guard+R,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.273013264,0.16711846,0.173142418,0.363927335,0.229226127,0.958032072,6.62414503,0.17223525,0.0429826938,-0.00138237642,-0.010439666,-0.17123802,0.774513483,-6.53665495,1.0,0.118238,0.0227364,0.072431,1.04037023
1600 rpm,guard+R,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.573218465,0.506998837,0.34695676,0.84024179,0.404662579,0.777992249,5.47314978,0.151438892,0.11944963,0.00626202766,-0.0172882751,-0.345899254,0.612083137,-5.39406252,1.0,0.118238,0.0227364,0.072431,2.16781425
1600 rpm,off,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.015141299,0.0326628238,0.0316996947,0.0479686297,2.09766841,0.789767921,13.2033119,0.376643598,-0.00405590376,-0.0186380967,-0.0263694748,2.0929482,-0.769630373,-12.6841269,0.0,nan,0.0,nan,0.0534430593
1600 rpm,off,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,3.5368042,4.36142921,0.861763835,5.68099356,3.57451963,3.81698561,104.128456,0.404212922,-0.0434152335,-0.0181814674,-0.827489018,3.4078939,-3.7627151,-101.602737,0.0,nan,0.0,nan,0.390963972
1600 rpm,off,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,7.35221863,9.05109692,1.84548938,11.8060713,3.28627372,4.31638527,103.545097,0.407051384,-0.00756362779,-0.298183829,-1.77691257,3.07674551,-4.23377752,-64.4239349,0.0,nan,0.0,nan,1.04307246
