family,arm,label,rpm,level_mps2,bandwidth_hz,hull_rms_mps2,recorded_rms_mps2,firing_hz,blade_hz,vre_offset_mps2,spectrum,hs_m,input,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,disp_x_mean_m,disp_y_mean_m,disp_z_mean_m,roll_mean_deg,pitch_mean_deg,yaw_mean_deg,disp_z_ref_rms_m,disp_z_pct_refrms,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2,accel_variance_m2ps4
OU-II,speed,speed 800 rpm,800.0,0.6,80.0,0.381445,0.375112,20.0,15.3846,9.43957e-06,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0267878808,0.0501859188,0.0674771369,0.0882574692,2.80500126,0.829932272,19.3843555,0.479524761,0.00198123557,-0.0179393962,-0.0444104485,-0.0629278943,2.80212307,-0.723741949,-16.4332409,0.0499124601,135.190964,24.9915314,1.52442324,0.0916421786,0.0315102451
OU-II,speed,speed 800 rpm,800.0,0.6,80.0,0.381445,0.375112,20.0,15.3846,9.43957e-06,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.181041613,0.400940835,0.264936328,0.513537586,2.69959879,0.895880044,37.3177376,0.463142753,0.00196454325,-0.102703042,-0.343163282,-0.232349738,2.68694019,0.584956944,-33.7996025,0.385561794,68.7143631,17.6624203,2.32585454,0.416157007,0.299035162
OU-II,speed,speed 800 rpm,800.0,0.6,80.0,0.381445,0.375112,20.0,15.3846,9.43957e-06,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.339775324,1.12853336,0.565847158,1.30737066,2.87491798,0.483395785,18.5722427,0.463458151,0.000648566638,-0.106892541,-1.03515923,-0.469974965,2.87054563,0.381474286,-18.0030975,1.04037023,54.389019,14.1461792,3.67547441,0.859001696,0.999378562
OU-II,speed,speed 800 rpm,800.0,0.6,80.0,0.381445,0.375112,20.0,15.3846,9.43957e-06,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.789631367,2.69159818,0.923759222,2.95322704,2.88700414,0.504745066,14.0362434,0.455422729,0.000555167557,-0.0550052486,-2.35540271,-0.707243741,2.87494063,0.416246891,-13.5404148,2.16781425,42.6124725,10.8677549,4.32144594,1.2458818,2.10763955
OU-II,speed,speed 1200 rpm,1200.0,0.6,80.0,0.41992,0.394336,30.0,23.0769,1.14399e-05,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0423755981,0.0618662648,0.0350474678,0.0827734917,1.73784077,2.23898911,106.572861,0.473534882,0.0571437106,0.0177947115,-0.0352043062,-0.0163340718,-1.56012535,-2.16290927,-106.401535,0.0534430593,65.5790787,12.9805431,1.52324247,0.0765763149,0.0312180128
OU-II,speed,speed 1200 rpm,1200.0,0.6,80.0,0.41992,0.394336,30.0,23.0769,1.14399e-05,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,1.23240113,1.31898081,0.500700474,1.87329233,1.10305166,3.52682805,101.754646,0.516708136,0.0654726326,0.199251756,-0.509144485,-0.446260065,0.989790976,-3.4648428,-60.8399696,0.390963972,128.068176,33.3800316,2.50606132,0.376381963,0.258127809
OU-II,speed,speed 1200 rpm,1200.0,0.6,80.0,0.41992,0.394336,30.0,23.0769,1.14399e-05,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,2.12242031,1.8486805,1.01960778,2.99364114,2.96246481,1.50900662,34.3476295,0.488389105,0.00210394128,-1.94739413,-1.57518864,-0.940506458,2.95177555,-1.47822189,-29.712944,1.04307246,97.7504272,25.4901943,3.9373157,0.79589504,0.860064447
OU-II,speed,speed 1200 rpm,1200.0,0.6,80.0,0.41992,0.394336,30.0,23.0769,1.14399e-05,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,5.69475937,5.91193151,2.09261274,8.47114182,3.19828963,1.81397092,24.4074173,0.486905545,0.00196124008,-5.1608243,-5.22422218,-1.88774109,3.1758666,-1.73307264,-19.6112766,2.15460348,97.1228714,24.6189728,4.49559832,1.04314566,1.49740636
OU-II,speed,speed 1200 rpm,1200.0,0.6,80.0,0.41992,0.394336,30.0,23.0769,1.14399e-05,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0315807015,0.0561894663,0.0338606127,0.0728089139,1.79001439,1.87483454,105.404068,0.433344066,0.0343091227,0.0170019194,-0.0381671786,-0.0142442789,-1.37632728,-1.63212883,-99.1650925,0.0499124601,67.8399963,12.540967,1.51098931,0.0865947381,0.0315369479
OU-II,speed,speed 1200 rpm,1200.0,0.6,80.0,0.41992,0.394336,30.0,23.0769,1.14399e-05,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.515132904,0.414562702,0.344395846,0.745541811,2.73714757,1.34910655,46.6073875,0.486166179,0.00295235799,-0.414983004,-0.284092009,-0.303644866,2.730021,-1.33465648,-40.3968163,0.385561794,89.3231201,22.9597225,2.32559013,0.415868074,0.299137741
