family,arm,label,rpm,level_mps2,bandwidth_hz,hull_rms_mps2,recorded_rms_mps2,firing_hz,blade_hz,vre_offset_mps2,records,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,disp_x_mean_m,disp_y_mean_m,disp_z_mean_m,roll_mean_deg,pitch_mean_deg,yaw_mean_deg,disp_z_ref_rms_m,disp_z_pct_refrms,disp_3d_ratio_to_baseline,disp_z_ratio_to_baseline,pitch_ratio_to_baseline,yaw_ratio_to_baseline
OU-II,baseline,engine off,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,8,0.3501129880171563,0.23905217066098702,0.29268478818296434,0.5151596087085498,0.31528119464520654,0.18695882256035407,0.5968808011067853,0.061536633122697165,0.00011561887700417081,0.03898743180214746,0.04614491292003194,0.014670551358506265,0.27969551388570646,0.1735750884474358,0.47325153586184954,1.2154712712291358,24.07994290864556,1.0,1.0,1.0,1.0
OU-II,speed,speed 800 rpm,800.0,0.6,80.0,0.381445,0.375112,20.0,15.3846,9.43957e-06,8,0.611187637979184,1.997346011755914,0.6883093108340318,2.1992524163580005,2.7129981350935393,1.200885218244765,43.79366280058886,0.46863229236007986,0.016741146398033094,0.28044275114925116,1.797538811710901,0.5784041347892191,2.6912314906999018,1.0771220406800794,46.63993968284568,1.2154712712291358,56.629006964350914,4.269069972064176,2.3517085226983268,6.423260490192138,73.37086855429604
OU-II,speed,speed 1200 rpm,1200.0,0.6,80.0,0.41992,0.394336,30.0,23.0769,1.14399e-05,8,2.5832152919567744,2.7503463358494,1.0711736542365333,3.922348595635829,2.4978596303922007,2.086816588511455,68.16637848783078,0.4838407413634645,0.033068680273422094,2.3141626200896717,2.4319533260772497,0.9682814247033846,2.4333344393730205,2.0184511641551244,59.222775030999706,1.2154712712291358,88.12825770479274,7.613851181906009,3.6598200435579753,11.161904851202133,114.20434090262427
OU-II,speed,speed 1600 rpm,1600.0,0.6,80.0,0.442537,0.380973,40.0,30.7692,1.27054e-05,8,5.117552017124492,5.704278247984722,1.4409951411065474,7.797730001693177,1.8794987363501061,3.855005421630603,86.64551915931804,0.5056330803020946,0.07880218221136308,1.0730054080842748,3.0585512147442633,1.290168397799725,1.466860804084281,3.765839311928528,70.79241858971648,1.2154712712291358,118.55443853060815,15.136532192889216,4.923368754667723,20.619542682379326,145.16385683481997
OU-II,speed,speed 2000 rpm,2000.0,0.6,80.0,0.512922,0.410564,50.0,38.4615,1.70683e-05,8,10.197336522138944,10.447034432213309,3.205594441299032,14.946639928390073,3.7834672739588715,5.89378203240782,104.25848630907983,0.5100055019896467,0.1585659991460208,1.7305832427776529,3.136441210176028,3.0353749558021526,3.5048209374992796,5.799238525531982,110.7944711118147,1.2154712712291358,263.7326374696952,29.013609909867945,10.95237802141988,31.524492675413534,174.67220610171276
OU-II,speed,speed 2400 rpm,2400.0,0.6,80.0,0.6,0.454334,60.0,46.1538,2.33556e-05,8,12.486204326071958,12.448935180326966,5.90230321918617,18.593505550718334,7.461308084942208,4.845923617229075,91.9106995971057,0.49268426842194246,0.2005817380108976,1.397536504624489,3.34745869253289,5.45926522355438,7.1489035225616835,4.711406813942081,67.16374429038325,1.2154712712291358,485.5979206499478,36.09270842745274,20.16607441687915,25.9197375703664,153.98501581333718
OU-II,speed,speed 2800 rpm,2800.0,0.6,80.0,0.698617,0.506742,70.0,53.8462,3.16641e-05,8,12.484911181720726,12.64116395906592,6.880396880880565,19.052871527730474,9.063299393741364,2.1713667772771097,98.01051308141109,0.4717089809908895,0.212165987427413,1.4375668809939455,2.848931463744721,6.274938695863236,8.790039519533448,1.6751527176432652,93.40702354407078,1.2154712712291358,566.0682439596304,36.98440484395504,23.507873175080977,11.614144481339729,164.20449928976097
OU-II,speed,speed 3200 rpm,3200.0,0.6,80.0,0.807673,0.565733,80.0,61.5385,4.23214e-05,8,14.518657707755187,14.446830506251972,6.915879056347848,21.617856854947917,8.333161856378041,4.116710145902731,97.40587260292502,0.460801599308886,0.18403134199804935,1.5164910615510063,3.216546522922584,6.259677212527933,8.170751260649538,3.586534557054908,59.491654176480935,1.2154712712291358,568.9874553229233,41.963415783200816,23.629103170283535,22.019341422487695,163.19149890950933
OU-II,level,level 0.15 m/s^2,2400.0,0.15,80.0,0.15,0.113583,60.0,46.1538,1.45972e-06,8,0.4603118263031491,0.36171077887153624,0.2905682950628628,0.6535683467601381,0.8574328790967543,1.5443615983950452,11.503844418556033,0.298504674066426,0.0002271200835448251,0.2354470556207716,0.12519501147096201,0.03645100332053623,0.8363696250255083,1.4438226578094782,11.450815498923548,1.2154712712291358,23.90581348492325,1.2686715645245639,0.992768694494712,8.260437123241372,19.273269298031803
OU-II,level,level 0.30 m/s^2,2400.0,0.3,80.0,0.3,0.227167,60.0,46.1538,5.8389e-06,8,0.9253071366501402,1.2616779152730104,0.4694988341532174,1.6335402154628271,1.8227229860000025,2.142295306938229,63.07055558103164,0.45706141275034146,0.029352885348524184,0.49866197479138535,1.0353042040295604,0.32076014929594937,1.633461604443015,2.0267053544743274,61.546552469203476,1.2154712712291358,38.6268968478737,3.170940011306279,1.6041108151467112,11.458647832715425,105.66691953247792
OU-II,level,level 1.20 m/s^2,2400.0,1.2,80.0,1.2,0.908668,60.0,46.1538,9.34224e-05,8,33.479661526458905,28.97978649751416,118.63581448687398,126.63006107798704,33.68287607275822,11.591874432311796,103.86735118989807,0.46476980129466144,0.5865082949352846,2.6085197239798448,3.55133248217651,111.92512562700583,31.548101638377496,7.777912213772523,93.10231407839021,1.2154712712291358,9760.478696210108,245.80743314763183,405.3364550422479,62.00228624444672,174.01690755892753
OU-II,level,level 2.40 m/s^2,2400.0,2.4,80.0,2.4,1.81734,60.0,46.1538,0.000373689,8,66.00933043416644,62.64842142198251,363.3439717553576,374.56761857651895,52.07991900111194,30.251741762382654,103.36297963704925,0.45752344932209615,1.7536036965700699,18.704016696090793,7.331753580317677,339.8756416360849,36.3196987468799,21.394478833687987,75.78661430280975,1.2154712712291358,29893.258718318273,727.0904244910039,1241.4173418818832,161.8096506390694,173.1718953690337
OU-II,bandwidth,bandwidth 20 Hz,2400.0,0.6,20.0,0.6,0.186454,60.0,46.1538,2.33556e-05,8,0.7346945701121206,0.3099905306329377,0.37258656535016904,0.8801653104147732,0.591423098523614,2.4599094610077556,11.790645772507641,0.4232784418665196,0.00033510986765231007,0.5766730650935624,0.07407655336859416,0.17520604553425287,0.5055382022432341,2.394159986024973,11.709259970944267,1.2154712712291358,30.6536710631913,1.7085293480621544,1.2729960025023788,13.157493330990825,19.753769514188527
