experiment,case,parameter,scale_label,mode,metric,n,mean,std,bootstrap_ci95_low,bootstrap_ci95_high
low_motion,Hs0.05,,,Adaptive,disp_x_rms_m,10,0.01753625926,0.0006306826327323224,0.017201426023,0.017936796780249998
low_motion,Hs0.05,,,Adaptive,disp_y_rms_m,10,0.021772524150000003,0.0012369080749192272,0.021057767655,0.02250408623
low_motion,Hs0.05,,,Adaptive,disp_z_rms_m,10,0.008966439405,0.00030993706456775797,0.008785192914925001,0.0091511321826
low_motion,Hs0.05,,,Adaptive,disp_3d_rms_m,10,0.029376898889999992,0.0009306086674335158,0.028847391692999998,0.02992297107125
low_motion,Hs0.05,,,Adaptive,disp_x_pct_hs,10,35.07251855,1.2613648260778356,34.38764458000001,35.868727899999996
low_motion,Hs0.05,,,Adaptive,disp_y_pct_hs,10,43.54504815,2.473816778505858,42.06327508125,44.99569894
low_motion,Hs0.05,,,Adaptive,disp_z_pct_hs,10,17.932878879999997,0.6198740461555661,17.576019352,18.30624968775
low_motion,Hs0.05,,,Adaptive,disp_3d_pct_refmax,10,64.76317825,4.5985254128537045,62.143969439,67.4724983645
low_motion,Hs0.05,,,Adaptive,disp_z_ref_rms_m,10,0.01245600701,0.00027859714819904175,0.012302071173,0.012624756504749998
low_motion,Hs0.05,,,Adaptive,disp_z_pct_refrms,10,72.01495056,2.910821090771147,70.33073531775,73.75894165
low_motion,Hs0.05,,,Adaptive,roll_rms_deg,10,0.3830958802,0.24660016336269533,0.26140493435250006,0.5472690166074997
low_motion,Hs0.05,,,Adaptive,pitch_rms_deg,10,0.34386685329999994,0.20860533284681682,0.2330232806225,0.4736689957275001
low_motion,Hs0.05,,,Adaptive,yaw_rms_deg,10,2.6799514768000003,2.747187770884965,1.2994463803625,4.4704293822925
low_motion,Hs0.05,,,Adaptive,dir_axis_error_deg,10,-12.227119449,44.74354507270255,-36.45031151049999,16.289739867849995
low_motion,Hs0.05,,,Adaptive,dir_axis_abs_error_deg,10,33.394136049,30.47987442863207,16.74379096915,52.79905025494999
low_motion,Hs0.05,,,Adaptive,dir_axis_rmse_deg,10,37.94274291999999,22.468101888344737,25.516181222,51.4536504055
low_motion,Hs0.05,,,Adaptive,dir_axis_circ_std_deg,10,20.95141811,5.161353781278645,17.88999076075,23.990655704500004
low_motion,Hs0.05,,,Adaptive,dir_sense_forward_pct,10,6.607444744,11.939123354855667,1.072500013,14.487581365224985
low_motion,Hs0.05,,,Adaptive,dir_sense_reverse_pct,10,32.19800086015,18.043738510471908,21.31171568375,42.192462217549995
low_motion,Hs0.05,,,Adaptive,dir_sense_uncertain_pct,10,61.19455717999999,9.911208531552944,55.508751405249996,67.19105941024999
low_motion,Hs0.05,,,Adaptive,dir_sense_dominant_pct,10,36.53083441,12.96013893897545,28.756483953750003,43.84124044199999
