experiment,parameter,left_case,right_case,comparison,metric,n_pairs,mean_paired_difference,std_paired_difference,bootstrap_ci95_low,bootstrap_ci95_high,cohen_dz,hedges_gz
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,dir_sense_forward_pct,10,0.03400115000000028,0.07240743335275455,-0.004446225999996648,0.07978043324999848,0.4695809314819028,0.42913822294586973
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,dir_sense_reverse_pct,10,-0.024999997900000005,0.06800961830125793,-0.07072220564749998,0.0035555597999999853,-0.3675950332386676,-0.33593587122446694
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,dir_sense_uncertain_pct,10,-0.009000003000000057,0.038052550629541645,-0.03327777400000005,0.010444427024999972,-0.23651510479859952,-0.21614521580512425
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,dir_sense_dominant_pct,10,0.03400115000000028,0.07240743335275455,-0.004497607499999105,0.08061506424999863,0.4695809314819028,0.42913822294586973
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,dir_travel_error_deg,10,-0.008762584440000012,0.014470329622588509,-0.017337009913000013,-0.00029112013649998955,-0.6055552754182891,-0.553401761797298
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,dir_travel_abs_error_deg,10,0.0053583486400000015,0.016211188912739205,-0.003949016807500002,0.014968120795500023,0.330533970632423,0.3020666966454682
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,dir_travel_rmse_deg,10,-0.17115691000000055,0.48548570194684504,-0.48809876875000013,0.032789606249999464,-0.35254778732647457,-0.3221845709946856
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,dir_travel_correct_pct,10,0.03400115000000028,0.07240743335275455,-0.004776020250001238,0.07900648074999997,0.4695809314819028,0.42913822294586973
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,dir_travel_wrong_pct,10,-0.024999997900000005,0.06800961830125793,-0.0703888915425,0.0038333388349999988,-0.3675950332386676,-0.33593587122446694
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,dir_travel_unresolved_pct,10,-0.009000003000000057,0.038052550629541645,-0.033333301600000136,0.010890299249999952,-0.23651510479859952,-0.21614521580512425
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,accel_bias_3d_rms_mps2,10,0.0005089034599999997,0.0019403194858382134,-0.0006328153539999985,0.0016087542127500023,0.2622781782661707,0.23968944178254445
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,gyro_bias_3d_rms_radps,10,-6.045760000000528e-08,7.328134620020161e-07,-4.737830950000063e-07,3.7078593499999944e-07,-0.08250066781638757,-0.07539528887351447
sensitivity,tau,x0.75,x1,tau_x0.75_minus_x1,disp_x_rms_m,10,-6.526710000000213e-05,0.00019465130226436472,-0.00017390204000000632,5.58554999999989e-05,-0.3353026629709363,-0.306424684840319
sensitivity,tau,x0.75,x1,tau_x0.75_minus_x1,disp_y_rms_m,10,-0.00010347360000000083,2.92501407107686e-05,-0.00012003409249999777,-8.657295000000296e-05,-3.5375419565727575,-3.232870772774542
