c_sigma,c_J,family,hs_m,record,z_rms_m,z_pct_hs,rms_3d_m,roll_deg,pitch_deg,yaw_deg,rs_applied,tau_applied,sigma_applied
0.6,0.072,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.170417,4.26043,0.525181,0.395751,0.100438,0.520907,11.8433,3.58993,0.749303
0.6,0.072,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.323183,3.80216,1.20748,0.321482,0.107284,0.610135,23.4994,4.22171,0.947487
0.6,0.072,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0122469,4.53591,0.0292416,0.227374,0.142704,0.618013,0.190317,1.17236,0.257598
0.6,0.072,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0602518,4.01678,0.162126,0.215163,0.140968,0.911122,1.83411,2.04464,0.526747
0.6,0.072,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.158276,3.95691,0.47319,0.360252,0.157808,0.565,8.67807,3.29004,0.750996
0.6,0.072,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.321074,3.77734,1.0931,0.283385,0.130714,0.405668,20.9324,4.10091,0.997636
0.6,0.085,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0129933,4.81235,0.0331113,0.238379,0.130149,1.03957,0.253783,1.28051,0.239768
0.6,0.085,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0680426,4.53617,0.197162,0.196461,0.0819576,1.11914,2.422,2.18038,0.486753
0.6,0.085,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.176837,4.42092,0.566962,0.397288,0.101237,0.526055,13.9817,3.58993,0.749303
0.6,0.085,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.332336,3.90984,1.30993,0.323281,0.106938,0.608646,27.7424,4.22171,0.947487
0.6,0.085,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0126359,4.67996,0.0312567,0.227791,0.141792,0.616738,0.22064,1.17236,0.257598
0.6,0.085,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0621377,4.14251,0.174541,0.216033,0.139954,0.909653,2.16527,2.04464,0.526747
0.6,0.085,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.162287,4.05718,0.512019,0.361397,0.157136,0.565116,10.2449,3.29004,0.750996
0.6,0.085,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.323736,3.80866,1.19143,0.285241,0.128079,0.40626,24.7119,4.10091,0.997636
0.6,0.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0137143,5.07937,0.0358798,0.23886,0.129062,1.03766,0.298447,1.28051,0.239768
0.6,0.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0722213,4.81475,0.214638,0.197474,0.0814222,1.11787,2.84941,2.18038,0.486753
0.6,0.1,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.18553,4.63826,0.616886,0.398786,0.102194,0.530651,16.4491,3.58993,0.749303
0.6,0.1,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.346376,4.07501,1.43019,0.325142,0.106663,0.606219,32.6381,4.22171,0.947487
0.6,0.1,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0132485,4.90684,0.033795,0.228256,0.140737,0.615133,0.257247,1.17236,0.257598
0.6,0.1,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0650975,4.33983,0.189841,0.216918,0.1391,0.908501,2.54737,2.04464,0.526747
0.6,0.1,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.168685,4.21712,0.558814,0.362592,0.156446,0.565579,12.0528,3.29004,0.750996
0.6,0.1,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.331673,3.90204,1.30784,0.287247,0.125258,0.40563,29.0727,4.10091,0.997636
0.9,0.03,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.012293,4.55296,0.027515,0.226424,0.174268,1.13797,0.150005,1.28051,0.359651
0.9,0.03,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0695298,4.63532,0.158405,0.184006,0.134199,1.27078,0.854823,2.18038,0.730129
0.9,0.03,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.181972,4.5493,0.447437,0.35645,0.139793,0.293411,4.93473,3.58993,1.12395
0.9,0.03,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.364858,4.29244,0.979593,0.305102,0.154696,0.751249,9.79143,4.22171,1.42123
0.9,0.03,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0121089,4.48479,0.0264626,0.217758,0.177334,0.7049,0.150005,1.17236,0.386398
0.9,0.03,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0694396,4.62931,0.147667,0.208393,0.171022,0.978552,0.764212,2.04464,0.79012
0.9,0.03,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.181687,4.54217,0.412317,0.344551,0.201915,0.489415,3.61586,3.29004,1.12649
0.9,0.03,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.382411,4.49895,0.899102,0.269413,0.17862,0.486613,8.72183,4.10091,1.49645
0.9,0.038,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0122845,4.54982,0.0275308,0.226513,0.173765,1.13677,0.150006,1.28051,0.359651
0.9,0.038,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.065194,4.34627,0.156802,0.184951,0.132319,1.26864,1.08278,2.18038,0.730129
0.9,0.038,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.171661,4.29152,0.445597,0.358132,0.135888,0.297205,6.25065,3.58993,1.12395
0.9,0.038,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.340339,4.00398,0.991324,0.306888,0.152402,0.752901,12.4024,4.22171,1.42123
0.9,0.038,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0121105,4.48536,0.0264729,0.217756,0.177371,0.704987,0.150005,1.17236,0.386398
0.9,0.038,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0641567,4.27711,0.143674,0.209118,0.169489,0.977362,0.968003,2.04464,0.79012
0.9,0.038,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.1686,4.215,0.405668,0.346459,0.197981,0.492092,4.58008,3.29004,1.12649
