c_sigma,c_J,family,hs_m,record,z_rms_m,z_pct_hs,rms_3d_m,roll_deg,pitch_deg,yaw_deg,rs_applied,tau_applied,sigma_applied
1.3,0.046,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0622285,4.14856,0.145178,0.209014,0.176148,0.994621,1.17179,2.04464,1.14128
1.3,0.046,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.163259,4.08147,0.412851,0.344551,0.208809,0.4709,5.54431,3.29004,1.62716
1.3,0.046,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.343613,4.04251,0.925235,0.267352,0.201251,0.560291,13.3735,4.10091,2.16154
1.3,0.0538,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0122597,4.54062,0.0283832,0.223194,0.188354,1.16919,0.16465,1.28051,0.519496
1.3,0.0538,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0633368,4.22245,0.165178,0.183788,0.152831,1.32411,1.53298,2.18038,1.05463
1.3,0.0538,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.167071,4.17678,0.471581,0.346855,0.174918,0.284855,8.8496,3.58993,1.62349
1.3,0.0538,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.322936,3.79925,1.0712,0.306308,0.171893,0.818089,17.5593,4.22171,2.05289
1.3,0.0538,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0122063,4.52085,0.0271811,0.214838,0.190049,0.737696,0.152396,1.17236,0.558131
1.3,0.0538,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0607238,4.04825,0.148561,0.209673,0.175152,0.993414,1.37049,2.04464,1.14128
1.3,0.0538,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.159698,3.99245,0.426004,0.345534,0.207764,0.471145,6.48443,3.29004,1.62716
1.3,0.0538,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.334657,3.93714,0.964507,0.268279,0.201495,0.566231,15.6412,4.10091,2.16154
1.3,0.062,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0123045,4.55722,0.0293572,0.223476,0.187765,1.16821,0.185677,1.28051,0.519496
1.3,0.062,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0637695,4.2513,0.172249,0.18453,0.151942,1.32292,1.76664,2.18038,1.05463
1.3,0.062,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.167973,4.19932,0.49243,0.347923,0.173224,0.285913,10.1984,3.58993,1.62349
1.3,0.062,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.321244,3.77934,1.12648,0.30766,0.170929,0.818694,20.2355,4.22171,2.05289
1.3,0.062,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0121939,4.51624,0.0279706,0.215067,0.189687,0.737437,0.168093,1.17236,0.558131
1.3,0.062,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0602257,4.01505,0.153989,0.210315,0.174268,0.99231,1.57937,2.04464,1.14128
1.3,0.062,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.158545,3.96362,0.444634,0.34638,0.207161,0.471033,7.47277,3.29004,1.62716
1.3,0.062,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.329743,3.87933,1.01484,0.269329,0.201118,0.570128,18.0251,4.10091,2.16154
1.3,0.072,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0125004,4.62977,0.0308345,0.223825,0.18704,1.167,0.215173,1.28051,0.519496
1.3,0.072,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0652297,4.34865,0.182238,0.185352,0.151057,1.32174,2.05158,2.18038,1.05463
1.3,0.072,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.171063,4.27658,0.521284,0.349083,0.17154,0.286999,11.8433,3.58993,1.62349
1.3,0.072,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.323832,3.80978,1.19976,0.309139,0.170017,0.819079,23.4994,4.22171,2.05289
1.3,0.072,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0122962,4.55416,0.0292436,0.215379,0.189098,0.736752,0.190317,1.17236,0.558131
1.3,0.072,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0606177,4.04118,0.162205,0.211042,0.173343,0.991105,1.83411,2.04464,1.14128
1.3,0.072,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.159462,3.98655,0.471239,0.347258,0.206775,0.470649,8.67807,3.29004,1.62716
1.3,0.072,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.327915,3.85782,1.08339,0.270625,0.200147,0.572756,20.9324,4.10091,2.16154
1.3,0.085,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0129455,4.79464,0.0330354,0.224272,0.186071,1.16532,0.253783,1.28051,0.519496
1.3,0.085,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0680534,4.53689,0.196462,0.186315,0.15016,1.32061,2.422,2.18038,1.05463
1.3,0.085,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.177008,4.4252,0.561794,0.350406,0.169834,0.288235,13.9817,3.58993,1.62349
1.3,0.085,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.332017,3.90608,1.29978,0.310858,0.169074,0.819098,27.7424,4.22171,2.05289
1.3,0.085,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0126228,4.6751,0.031208,0.215796,0.18826,0.735616,0.22064,1.17236,0.558131
1.3,0.085,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0621771,4.14514,0.174366,0.211894,0.172368,0.989828,2.16527,2.04464,1.14128
1.3,0.085,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.163041,4.07602,0.509221,0.348245,0.206548,0.470016,10.2449,3.29004,1.62716
1.3,0.085,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.330229,3.88505,1.17842,0.272276,0.198448,0.574065,24.7119,4.10091,2.16154
1.3,0.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0136206,5.04466,0.0357687,0.224746,0.185042,1.16352,0.298447,1.28051,0.519496
1.3,0.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0720372,4.80248,0.213679,0.187307,0.14934,1.3196,2.84941,2.18038,1.05463
1.3,0.1,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.18531,4.63276,0.610381,0.351735,0.168326,0.289382,16.4491,3.58993,1.62349
1.3,0.1,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.345351,4.06296,1.41732,0.312607,0.168206,0.81867,32.6381,4.22171,2.05289
1.3,0.1,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0131809,4.88182,0.0337036,0.216259,0.187271,0.7341,0.257247,1.17236,0.558131
1.3,0.1,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0648567,4.32378,0.189446,0.212765,0.171505,0.988781,2.54737,2.04464,1.14128
1.3,0.1,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.169107,4.22767,0.555123,0.349252,0.206395,0.469413,12.0528,3.29004,1.62716
1.3,0.1,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.337458,3.97009,1.29106,0.274086,0.196196,0.573732,29.0727,4.10091,2.16154
1.8,0.03,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0125183,4.63642,0.0276926,0.221543,0.195017,1.18338,0.150005,1.28051,0.719303
1.8,0.03,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0726318,4.84212,0.160793,0.180358,0.166148,1.35194,0.854823,2.18038,1.46026
1.8,0.03,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.187786,4.69464,0.451387,0.337043,0.203459,0.296314,4.93473,3.58993,2.24791
1.8,0.03,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.374387,4.40455,0.985149,0.299948,0.188051,0.844483,9.79143,4.22171,2.84246
1.8,0.03,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0124212,4.60043,0.0267294,0.213614,0.19453,0.748438,0.150005,1.17236,0.772796
1.8,0.03,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0737964,4.91976,0.151378,0.207672,0.180625,1.00082,0.764212,2.04464,1.58024
1.8,0.03,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.189828,4.74571,0.418481,0.340235,0.219477,0.460114,3.61586,3.29004,2.25299
1.8,0.03,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.39448,4.64094,0.906994,0.264825,0.205501,0.558907,8.72183,4.10091,2.99291
1.8,0.038,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0125041,4.63115,0.0277039,0.221624,0.194574,1.18228,0.150006,1.28051,0.719303
1.8,0.038,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0673486,4.4899,0.158362,0.181244,0.164666,1.35054,1.08278,2.18038,1.46026
1.8,0.038,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.175543,4.38857,0.447815,0.338383,0.200924,0.29786,6.25065,3.58993,2.24791
1.8,0.038,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.346908,4.08127,0.99427,0.301708,0.185565,0.845713,12.4024,4.22171,2.84246
1.8,0.038,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0124222,4.60081,0.0267391,0.213608,0.194588,0.748589,0.150005,1.17236,0.772796
1.8,0.038,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.067302,4.4868,0.146257,0.208346,0.179259,0.999928,0.968003,2.04464,1.58024
1.8,0.038,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.174243,4.35607,0.40958,0.342172,0.215432,0.462846,4.58008,3.29004,2.25299
1.8,0.038,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.364485,4.28805,0.903153,0.265284,0.208122,0.573179,11.0477,4.10091,2.99291
1.8,0.046,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0124206,4.60021,0.0278797,0.221785,0.194049,1.18112,0.152224,1.28051,0.719303
1.8,0.046,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0647805,4.3187,0.160674,0.182096,0.163359,1.34886,1.31073,2.18038,1.46026
1.8,0.046,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.169765,4.24412,0.456549,0.339597,0.198851,0.298834,7.56658,3.58993,2.24791
1.8,0.046,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.331827,3.90385,1.02699,0.303329,0.183747,0.846474,15.0135,4.22171,2.84246
1.8,0.046,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0124186,4.59949,0.0268672,0.213678,0.194545,0.748584,0.150053,1.17236,0.772796
1.8,0.046,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.063619,4.24127,0.146332,0.209033,0.178128,0.998823,1.17179,2.04464,1.58024
1.8,0.046,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.165571,4.13928,0.414473,0.343521,0.213291,0.464143,5.54431,3.29004,2.25299
1.8,0.046,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.347028,4.08269,0.926946,0.266054,0.209546,0.58264,13.3735,4.10091,2.99291
1.8,0.0538,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0123421,4.57114,0.0284533,0.222041,0.193527,1.18016,0.16465,1.28051,0.719303
1.8,0.0538,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0638753,4.25836,0.165588,0.182861,0.162292,1.34735,1.53298,2.18038,1.46026
1.8,0.0538,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.167822,4.19555,0.47189,0.340669,0.197164,0.299583,8.8496,3.58993,2.24791
1.8,0.0538,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.324469,3.81729,1.07159,0.304754,0.182427,0.847034,17.5593,4.22171,2.84246
1.8,0.0538,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.012356,4.57631,0.027316,0.213845,0.194447,0.74878,0.152396,1.17236,0.772796
1.8,0.0538,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0616932,4.11288,0.149383,0.209672,0.17719,0.997727,1.37049,2.04464,1.58024
1.8,0.0538,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.161172,4.0293,0.427,0.344527,0.212151,0.464619,6.48443,3.29004,2.25299
1.8,0.0538,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.337173,3.96674,0.965261,0.266954,0.210027,0.588641,15.6412,4.10091,2.99291
1.8,0.062,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0123488,4.57363,0.0293979,0.222322,0.192956,1.17922,0.185677,1.28051,0.719303
1.8,0.062,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0640254,4.26836,0.17247,0.183602,0.161373,1.34606,1.76664,2.18038,1.46026
1.8,0.062,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.168242,4.20605,0.492371,0.341679,0.195713,0.300215,10.1984,3.58993,2.24791
1.8,0.062,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.321913,3.78721,1.12632,0.306107,0.181363,0.847421,20.2355,4.22171,2.84246
1.8,0.062,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0122965,4.55427,0.028068,0.214066,0.194123,0.748578,0.168093,1.17236,0.772796
1.8,0.062,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0608355,4.0557,0.154556,0.210302,0.17635,0.996713,1.57937,2.04464,1.58024
1.8,0.062,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.159333,3.98332,0.445151,0.345395,0.211444,0.464727,7.47277,3.29004,2.25299
1.8,0.062,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.331648,3.90175,1.01493,0.267964,0.209895,0.592678,18.0251,4.10091,2.99291
1.8,0.072,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0125016,4.63022,0.0308451,0.22267,0.192233,1.17801,0.215173,1.28051,0.719303
1.8,0.072,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0652049,4.347,0.182286,0.18442,0.160487,1.34486,2.05158,2.18038,1.46026
1.8,0.072,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.170893,4.27232,0.520886,0.342791,0.194222,0.300866,11.8433,3.58993,2.24791
1.8,0.072,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.323641,3.80754,1.19908,0.307589,0.180356,0.847682,23.4994,4.22171,2.84246
1.8,0.072,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0123416,4.57095,0.0292986,0.214371,0.193574,0.747974,0.190317,1.17236,0.772796
1.8,0.072,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0608744,4.05829,0.162536,0.211012,0.175472,0.995622,1.83411,2.04464,1.58024
1.8,0.072,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.159622,3.99054,0.47133,0.346285,0.210999,0.464503,8.67807,3.29004,2.25299
1.8,0.072,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.329342,3.87461,1.08284,0.269209,0.209233,0.595623,20.9324,4.10091,2.99291
1.8,0.085,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0129012,4.77821,0.0330173,0.22311,0.191299,1.17636,0.253783,1.28051,0.719303
1.8,0.085,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0677486,4.51657,0.19635,0.185376,0.159576,1.34367,2.422,2.18038,1.46026
1.8,0.085,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.176434,4.41085,0.561061,0.344071,0.192668,0.301601,13.9817,3.58993,2.24791
1.8,0.085,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.330946,3.89348,1.29852,0.309303,0.179337,0.847687,27.7424,4.22171,2.84246
1.8,0.085,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0126056,4.66874,0.0312217,0.214778,0.192798,0.746969,0.22064,1.17236,0.772796
1.8,0.085,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0620699,4.13799,0.174493,0.211852,0.174528,0.99443,2.16527,2.04464,1.58024
1.8,0.085,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.162606,4.06516,0.508906,0.347268,0.21076,0.464008,10.2449,3.29004,2.25299
1.8,0.085,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.331179,3.89622,1.1772,0.270807,0.207813,0.597165,24.7119,4.10091,2.99291
1.8,0.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0135355,5.01316,0.0357268,0.223581,0.190282,1.17459,0.298447,1.28051,0.719303
1.8,0.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0714893,4.76595,0.213434,0.186359,0.158765,1.34269,2.84941,2.18038,1.46026
1.8,0.1,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.184447,4.61117,0.609358,0.345361,0.191251,0.302338,16.4491,3.58993,2.24791
1.8,0.1,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.343601,4.04236,1.4154,0.311047,0.17839,0.847293,32.6381,4.22171,2.84246
1.8,0.1,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0131083,4.85493,0.0336835,0.215231,0.191856,0.74557,0.257247,1.17236,0.772796
1.8,0.1,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0644272,4.29515,0.189405,0.212721,0.173646,0.993328,2.54737,2.04464,1.58024
1.8,0.1,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.168195,4.20487,0.554536,0.348251,0.210668,0.463315,12.0528,3.29004,2.25299
1.8,0.1,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.337838,3.97456,1.28925,0.272579,0.205791,0.597037,29.0727,4.10091,2.99291
