c_sigma,c_R,family,hs_m,record,z_rms_m,z_pct_hs,rms_3d_m,roll_deg,pitch_deg,yaw_deg,rs_applied,tau_applied,sigma_applied
0.9,48.4,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0948663,6.32442,0.306284,0.194176,0.123476,1.25681,7.96627,2.18038,0.730129
0.9,48.4,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.193167,4.82918,0.674184,0.36755,0.121937,0.31604,32.2029,3.58993,1.12395
0.9,48.4,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.329455,3.87594,1.30059,0.314341,0.14719,0.755898,54.7196,4.22171,1.42123
0.9,48.4,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0274342,10.1608,0.0820506,0.22479,0.163414,0.683547,1.16735,1.17236,0.386398
0.9,48.4,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0809694,5.39796,0.258809,0.216666,0.161372,0.967863,6.21254,2.04464,0.79012
0.9,48.4,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.174952,4.37379,0.593416,0.353427,0.192399,0.49246,22.5269,3.29004,1.12649
0.9,48.4,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.328513,3.86486,1.16133,0.275771,0.175242,0.518239,44.3513,4.10091,1.49645
0.9,68.44,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.038788,14.3659,0.120376,0.235942,0.156339,1.10729,2.08082,1.28051,0.359651
0.9,68.44,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.115254,7.68357,0.385892,0.196962,0.122112,1.25501,11.2647,2.18038,0.730129
0.9,68.44,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.2242,5.605,0.833912,0.370608,0.119902,0.320254,45.5366,3.58993,1.12395
0.9,68.44,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.363231,4.2733,1.57916,0.318246,0.145382,0.752879,77.3763,4.22171,1.42123
0.9,68.44,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0339483,12.5734,0.104195,0.226405,0.160834,0.679563,1.65069,1.17236,0.386398
