arm,metric,scenario,n,baseline,revised,delta,ci95_half
swept,pitch_rms_deg,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,0.2867088281,0.27285941680000003,-0.01384941129999999,0.046470846052371895
swept,pitch_rms_deg,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,0.2853893452,0.2695465268,-0.0158428184,0.04206578648466615
swept,pitch_rms_deg,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,0.3025509657,0.3361523196,0.033601353900000006,0.07481184973244054
swept,pitch_rms_deg,ALL,90,0.27862710911444444,0.30592097602333335,0.027293866908888888,0.026244603222170225
theory,disp_z_pct_hs,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,4.662991667,4.586239097,-0.0767525700000001,0.03497335580809432
theory,disp_z_pct_hs,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,5.127509547,6.346772766,1.2192632190000003,0.13017328726122204
theory,disp_z_pct_hs,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,4.906845522,4.853474712,-0.05337080999999992,0.0367353925159271
theory,disp_z_pct_hs,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,4.851933289,5.025553941,0.17362065199999996,0.03909930896887271
theory,disp_z_pct_hs,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,4.02997284,4.546390247,0.516417407,0.07317419212877375
theory,disp_z_pct_hs,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,4.73474126,5.518588447,0.7838471870000001,0.09504903474576681
theory,disp_z_pct_hs,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,4.2232388499999995,4.264914846,0.04167599600000003,0.03965643821798372
theory,disp_z_pct_hs,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,4.017586899,4.366731263,0.34914436399999993,0.06031463907188936
theory,disp_z_pct_hs,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,4.017911625,4.816296292,0.7983846669999999,0.07390870110485759
theory,disp_z_pct_hs,ALL,90,4.508081277666666,4.924995734555556,0.4169144568888889,0.09059494822833328
theory,disp_3d_rms_m,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,0.4677871613,0.4815806984,0.013793537099999992,0.0033045552214396663
theory,disp_3d_rms_m,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,0.03044533527,0.04341537729,0.012970042020000001,0.0008308234304523654
theory,disp_3d_rms_m,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,0.1654167505,0.1616796658,-0.0037370846999999984,0.00040360798761532367
theory,disp_3d_rms_m,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,0.4530606627,0.4217842817,-0.031276381,0.005876629563751191
theory,disp_3d_rms_m,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,0.9846007112,0.9174022614999999,-0.06719844970000002,0.04375720268684716
theory,disp_3d_rms_m,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,0.02929930538,0.03837347888,0.0090741735,0.0006150237282033035
theory,disp_3d_rms_m,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,0.1547480717,0.147869721,-0.0068783507000000025,0.0012889780609307122
theory,disp_3d_rms_m,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,0.4197933853,0.3980106115,-0.0217827738,0.005704611805929214
theory,disp_3d_rms_m,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,0.9241720552,0.9192103921,-0.004961663100000002,0.02766462320721405
theory,disp_3d_rms_m,ALL,90,0.4032581598388889,0.39214738757444445,-0.011110772264444447,0.007539446095872051
theory,roll_rms_deg,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,0.37367442090999997,0.37501078519,0.0013363642800000076,0.0021479844105082055
theory,roll_rms_deg,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,0.33171674598,0.33339683907,0.0016800930900000093,0.002735371352944512
theory,roll_rms_deg,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,0.34671657935,0.34681585177,9.927241999997671e-05,0.0013404821708273684
theory,roll_rms_deg,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,0.33173768200000003,0.330971282,-0.0007664000000000198,0.006578885262914946
theory,roll_rms_deg,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,0.5682313158,0.566145533,-0.002085782799999991,0.0032037037493414453
theory,roll_rms_deg,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,0.33298539347,0.33470237364,0.0017169801699999973,0.0026642542405606105
theory,roll_rms_deg,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,0.33189583329,0.33196677787,7.094458000001385e-05,0.001030222868893854
theory,roll_rms_deg,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,0.3732373797,0.372068324,-0.0011690556999999976,0.0023106372475972755
theory,roll_rms_deg,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,0.3571875572,0.3561000234,-0.0010875338000000123,0.0026551571340210855
theory,roll_rms_deg,ALL,90,0.3719314341888889,0.3719086433266667,-2.2790862222224022e-05,0.0010299596700215252
theory,pitch_rms_deg,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,0.26193257933,0.26805796243,0.006125383100000002,0.013575559913827221
theory,pitch_rms_deg,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,0.2649576739,0.26705596659,0.002098292690000003,0.00850818557920766
theory,pitch_rms_deg,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,0.26852753144999997,0.27221916618,0.0036916347300000123,0.009439793818413051
theory,pitch_rms_deg,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,0.2799734458,0.2850886024,0.005115156599999999,0.023976530503942117
theory,pitch_rms_deg,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,0.2908855126,0.2882540792,-0.0026314333999999965,0.014149190396647927
theory,pitch_rms_deg,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,0.26671809995,0.26946943478,0.0027513348300000086,0.008350497454133046
theory,pitch_rms_deg,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,0.2867088281,0.287730634,0.0010218059000000029,0.005744094343152638
theory,pitch_rms_deg,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,0.2853893452,0.2882540419,0.0028646966999999954,0.0063976929289003975
theory,pitch_rms_deg,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,0.3025509657,0.3084880128,0.005937047099999993,0.00956799676642343
theory,pitch_rms_deg,ALL,90,0.27862710911444444,0.28162421114222225,0.00299710202777778,0.003940034037764755
analytic_cR,disp_z_pct_hs,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,4.662991667,4.5704537389999995,-0.09253792799999996,0.03288587521254696
analytic_cR,disp_z_pct_hs,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,5.127509547,6.430008172,1.3024986250000004,0.1341557135473382
analytic_cR,disp_z_pct_hs,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,4.906845522,4.867048356,-0.03979716599999996,0.02344154206622392
analytic_cR,disp_z_pct_hs,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,4.851933289,4.981328153,0.12939486400000016,0.036679981773489724
analytic_cR,disp_z_pct_hs,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,4.02997284,4.443848133,0.41387529300000014,0.06996546684015859
analytic_cR,disp_z_pct_hs,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,4.73474126,5.59987006,0.8651288,0.09662860465642802
analytic_cR,disp_z_pct_hs,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,4.2232388499999995,4.199291277,-0.023947572999999965,0.02641035182367399
analytic_cR,disp_z_pct_hs,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,4.017586899,4.240496829,0.22290992999999998,0.053571233818340634
analytic_cR,disp_z_pct_hs,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,4.017911625,4.6613706100000005,0.643458985,0.06968342130535367
analytic_cR,disp_z_pct_hs,ALL,90,4.508081277666666,4.888190592111111,0.3801093144444445,0.09569231921462032
analytic_cR,disp_3d_rms_m,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,0.4677871613,0.481621161,0.013833999700000005,0.0032509797090620575
analytic_cR,disp_3d_rms_m,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,0.03044533527,0.043551842119999996,0.01310650685,0.0008115861131170316
analytic_cR,disp_3d_rms_m,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,0.1654167505,0.1616329447,-0.0037838058000000006,0.0004109682994245224
analytic_cR,disp_3d_rms_m,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,0.4530606627,0.4200618119,-0.03299885079999999,0.00601361846132716
analytic_cR,disp_3d_rms_m,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,0.9846007112,0.9116590259,-0.0729416853,0.04356855548347131
analytic_cR,disp_3d_rms_m,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,0.02929930538,0.03851011246,0.009210807080000001,0.0005874426370933476
analytic_cR,disp_3d_rms_m,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,0.1547480717,0.147062388,-0.007685683700000001,0.0012599702816637605
analytic_cR,disp_3d_rms_m,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,0.4197933853,0.3941920281,-0.025601357199999997,0.005757060546712947
analytic_cR,disp_3d_rms_m,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,0.9241720552,0.9096195877,-0.01455246750000001,0.027576954286163025
analytic_cR,disp_3d_rms_m,ALL,90,0.4032581598388889,0.3897678779866667,-0.013490281852222221,0.0077682400700441806
analytic_cR,roll_rms_deg,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,0.37367442090999997,0.37402883958,0.00035441867000001045,0.000457519553700543
