family,tuning_mode,aw_cov_sync,input,window_s,samples,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,disp_x_pct_hs,disp_y_pct_hs,disp_z_pct_hs,disp_3d_pct_refmax,disp_z_ref_rms_m,disp_z_pct_refrms,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,dir_travel_error_deg,dir_travel_rmse_deg,dir_travel_correct_pct,dir_travel_wrong_pct,dir_travel_unresolved_pct,dir_axis_mean_deg,dir_axis_truth_deg,dir_axis_error_deg,dir_axis_rmse_deg,dir_axis_circ_std_deg,dir_sense_forward_pct,dir_sense_reverse_pct,dir_sense_uncertain_pct,dir_sense_dominant_pct,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2,tuning_applied,wave_period_s,frequency_hz,period_s,accel_variance_m2ps4,dir_axis_abs_error_deg,dir_travel_abs_error_deg,seed,arm,spectrum,hs_m,regression_exit_code
OU-II,adaptive,periodic,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.277389944,0.18357259,0.25513643,0.419211984,6.93474865,4.58931494,6.37841082,10.1623173,1.04307246,24.4600868,0.181734577,0.175103664,2.1279757,-1.16404462,17.4961128,95.2622223,0.207222223,4.53055573,28.3520355,30.0,-1.64796448,17.6267014,16.8082504,8.46000004,87.0094452,4.53055573,87.0094452,0.0420668311,0.000102081991,3.9375577,0.793858051,12.3082619,7.83341837,0.200000003,5.0,0.859677911,1.64796448,1.16404462,default,hard-iron-off,JONSWAP,4.0,1
OU-II,adaptive,periodic,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.637027383,0.440646052,0.521700203,0.933886468,7.4944396,5.18407106,6.13764954,12.2946787,2.15460348,24.2132816,0.418879271,0.238522619,2.19716334,2.17160916,26.7033787,94.8155594,0.76333338,4.42111111,-26.8714142,-30.0,3.12858582,25.1071796,23.6592579,11.0277777,84.5511169,4.42111111,84.5511169,0.0802961364,0.000110732326,4.4956646,1.04195726,21.0589981,9.12593937,0.200000003,5.0,1.49710143,3.12858582,2.17160916,default,hard-iron-off,JONSWAP,8.5,1
OU-II,adaptive,periodic,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.00711250771,0.00576411188,0.0164893027,0.0188602731,2.63426208,2.13485622,6.10714912,9.74768734,0.0499124601,33.0364456,0.320843905,0.0871026367,1.75048649,1.86580408,4.01087189,0.303888887,0.0,99.6961136,2.79823303,30.0,-27.201767,28.4477291,9.77161407,0.303888887,0.0,99.6961136,0.303888887,0.0566131361,9.06303467e-05,1.51966047,0.0804252103,0.185731396,3.02446294,0.409234107,2.78987837,0.0310976487,27.201767,1.86580408,default,hard-iron-off,PM-Stokes,0.27,1
OU-II,adaptive,periodic,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0762890354,0.0484620668,0.0967795104,0.132419273,5.08593559,3.23080444,6.45196724,9.89740086,0.385561794,25.1009064,0.207735077,0.182241738,2.16750836,4.31923485,20.6204586,85.4322281,0.355000019,14.2127781,-25.5207977,-30.0,4.47920227,23.2578983,21.3244762,40.1122246,45.6749992,14.2127781,45.6749992,0.0467079803,9.67476444e-05,2.326056,0.412268132,2.23059177,4.63564825,0.261256695,4.0886488,0.298793554,4.47920227,4.31923485,default,hard-iron-off,PM-Stokes,1.5,1
OU-II,adaptive,periodic,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.265132874,0.180343822,0.249288887,0.406157941,6.62832165,4.50859547,6.23222208,10.0387297,1.04037023,23.9615555,0.161737427,0.161887303,2.0848043,-1.90049398,14.8865929,94.8700027,0.0377777778,5.09222221,27.4188538,30.0,-2.58114624,15.1905622,14.8104782,0.0377777778,94.8700027,5.09222221,94.8700027,0.0377545841,0.000101594072,3.67561054,0.857780755,11.5887146,7.32536983,0.200000003,5.0,0.999155521,2.58114624,1.90049398,default,hard-iron-off,PM-Stokes,4.0,1
OU-II,adaptive,periodic,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.626105428,0.420255691,0.515580654,0.913480341,7.36594629,4.9441843,6.06565475,12.1248579,2.16781425,23.7834339,0.477742195,0.252263337,2.19367003,2.30930305,24.8722553,96.3294449,0.346111119,3.32444453,-26.7304077,-30.0,3.26959229,24.9811726,23.2342587,66.2200012,30.4555569,3.32444453,66.2200012,0.0899562389,0.00011110129,4.32140875,1.24531209,23.2556725,8.77819252,0.200000003,5.0,2.10747409,3.26959229,2.30930305,default,hard-iron-off,PM-Stokes,8.5,1
OU-II,adaptive,periodic,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.00699141249,0.00555789657,0.0240283348,0.0256345645,2.58941197,2.05848026,8.89938259,12.8117933,0.0534430593,44.9606285,0.120247521,0.140664443,1.87465489,8.76208305,11.1865644,2.62333345,0.0,97.3766708,19.7258453,30.0,-10.2741547,23.8131504,22.8088646,2.62333345,0.0,97.3766708,2.62333345,0.0318842717,0.00012040911,1.47078526,0.0500000007,0.108160466,2.93715763,0.222390324,3.33186746,0.0305005498,10.2741547,8.76208305,11,deployed,JONSWAP,0.27,1
OU-II,adaptive,periodic,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0799253508,0.0466337167,0.0957518816,0.133158505,5.32835674,3.10891438,6.38345861,10.0475054,0.390963972,24.4912281,0.161511317,0.212902635,3.51330876,3.62029243,20.3745956,85.8244476,0.296111107,13.8794451,-24.9560852,-30.0,5.04391479,23.3771553,21.3826542,69.2122269,16.9083328,13.8794451,69.2122269,0.0448314399,0.000118838841,2.50580454,0.375940293,2.36055017,4.98793602,0.232279181,3.84065056,0.257714212,5.04391479,3.62029243,11,deployed,JONSWAP,1.5,1
OU-II,adaptive,periodic,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.276061803,0.172161281,0.253366023,0.412363857,6.90154505,4.30403185,6.33415079,9.99630737,1.04307246,24.2903576,0.186482444,0.186636671,2.05757856,-0.0222865697,17.2315235,95.667778,0.216111124,4.11611128,29.754776,30.0,-0.245223999,17.3737164,16.6593342,87.4633331,8.42055607,4.11611128,87.4633331,0.0435007401,0.000118809039,3.93495536,0.79322958,12.2822666,7.8256917,0.200000003,5.0,0.859903038,0.245223999,0.0222865697,11,deployed,JONSWAP,4.0,1
OU-II,adaptive,periodic,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.651520669,0.435148448,0.520110548,0.940397978,7.66494894,5.11939335,6.11894751,12.3804016,2.15460348,24.1395016,0.121434219,0.271754116,3.41096258,1.32139504,27.2550793,94.1616669,0.980555594,4.85777807,-27.8161316,-30.0,2.18386841,26.4215717,24.6687431,9.51666737,85.6255569,4.85777807,85.6255569,0.0463478044,0.000128595362,4.49665833,1.04436076,21.116909,9.12797356,0.200000003,5.0,1.49896431,2.18386841,1.32139504,11,deployed,JONSWAP,8.5,1
