mode,axis,distance_m,spectrum,hs_m,input,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,disp_z_ref_rms_m,disp_z_pct_refrms,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2,installed_rms_mps2,residual_rms_mps2,cutoff_hz
exact,z-vertical,0.3,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0667744204,0.0485002324,0.0603316538,0.102230154,0.158342391,0.166970342,0.427926928,0.0387928262,0.000115242277,0.385561794,15.6477261,4.02210999,2.32576942,0.4382765,0.109278,0.0,nan
exact,z-vertical,0.3,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.226774499,0.155431226,0.158098578,0.317144603,0.20516558,0.156384513,0.581278145,0.0427851714,0.000123272519,1.04037023,15.1963768,3.95246458,3.67537212,0.908064306,0.146378,0.0,nan
exact,z-vertical,0.3,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.539986849,0.386628658,0.314245105,0.734722733,0.31863901,0.210821733,0.441469938,0.0633732304,0.000128250816,2.16781425,14.4959421,3.69700122,4.32257557,1.31836569,0.171808,0.0,nan
gyro,x-fore-aft,0.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0096730981,0.00908751413,0.0115159005,0.0175717864,0.3109231,0.127415299,0.474214971,0.0573163852,0.000104531209,0.0534430593,21.5479832,4.26514816,1.52982271,0.00928815175,0.0111503,0.00719193,15.0
gyro,x-fore-aft,0.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0686809197,0.0507849082,0.0615449585,0.105280377,0.161495715,0.165426642,0.56822598,0.0390927531,0.000112283356,0.390963972,15.7418489,4.1029973,2.5054729,0.395864338,0.0237737,0.00725362,15.0
gyro,x-fore-aft,0.1,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233451575,0.154533073,0.160624668,0.32276988,0.220275477,0.158911601,0.794558346,0.0453303531,0.000130570523,1.04307246,15.3991871,4.01561689,3.93675327,0.840923607,0.0287423,0.00728488,15.0
gyro,x-fore-aft,0.1,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.534006059,0.398474216,0.314962715,0.736984193,0.28493169,0.19509235,0.524695039,0.0573510602,0.000126215295,2.15460348,14.6181288,3.70544362,4.49633121,1.10374951,0.0364753,0.00735596,15.0
gyro,x-fore-aft,0.1,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00962218549,0.00903219543,0.0114066089,0.0174435582,0.316674113,0.1277197,0.64023155,0.0582605191,0.000100230027,0.0499124601,22.8532295,4.22466993,1.51891279,0.089001514,0.0103683,0.007191,15.0
gyro,x-fore-aft,0.1,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0667600334,0.048566971,0.0604107678,0.102299139,0.159318358,0.166157603,0.410996675,0.0388180204,0.000115865507,0.385561794,15.6682453,4.02738428,2.32495952,0.438852638,0.0290229,0.00729644,15.0
gyro,x-fore-aft,0.1,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.226833299,0.155238256,0.158174723,0.317130119,0.206724167,0.155159995,0.59962368,0.0428444259,0.000123743041,1.04037023,15.2036963,3.95436811,3.67481709,0.90875113,0.0356036,0.00734618,15.0
gyro,x-fore-aft,0.1,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.539818406,0.38698104,0.314330578,0.734821022,0.319488794,0.209385842,0.426266134,0.0633823797,0.000128588101,2.16781425,14.4998856,3.69800663,4.32215786,1.31916165,0.0453972,0.00745688,15.0
gyro,x-fore-aft,0.2,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00967537146,0.00909319986,0.011563045,0.0176069047,0.311399966,0.128122732,0.466799319,0.057434123,0.000104779509,0.0534430593,21.6361961,4.28260899,1.52928567,0.00930313952,0.0223007,0.0143839,15.0
gyro,x-fore-aft,0.2,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0686635748,0.0508485101,0.0616204552,0.105343901,0.162401959,0.164196596,0.547039092,0.0390555598,0.000113073234,0.390963972,15.7611589,4.10803032,2.5048213,0.396553278,0.0475473,0.0145072,15.0
gyro,x-fore-aft,0.2,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233519867,0.154365778,0.16067946,0.322766483,0.221770465,0.157242939,0.819850564,0.0453495607,0.000131414447,1.04307246,15.404438,4.01698637,3.93632364,0.841405809,0.0574845,0.0145698,15.0
gyro,x-fore-aft,0.2,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.533810675,0.398909748,0.315016001,0.737101018,0.285931438,0.193163306,0.502438962,0.0573138371,0.00012683135,2.15460348,14.6206026,3.70607042,4.49586821,1.10444283,0.0729506,0.0147119,15.0
gyro,x-fore-aft,0.2,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00962358806,0.00903628953,0.0114442892,0.0174711104,0.317093909,0.128599092,0.631028414,0.0583799891,0.000100524245,0.0499124601,22.9287224,4.23862553,1.51851356,0.0900548026,0.0207366,0.014382,15.0
gyro,x-fore-aft,0.2,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0667227805,0.0486387722,0.060510762,0.10236802,0.160270929,0.164942399,0.394058913,0.0387897342,0.00011661867,0.385561794,15.6941805,4.03405046,2.32414842,0.43942672,0.0580458,0.0145929,15.0
gyro,x-fore-aft,0.2,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.226920158,0.15505591,0.158264801,0.31714797,0.208192289,0.153623402,0.620863378,0.0428584181,0.000124329221,1.04037023,15.2123537,3.95661998,3.67424297,0.90931803,0.0712072,0.0146924,15.0
gyro,x-fore-aft,0.2,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.539659202,0.387476832,0.314445853,0.735014677,0.320269525,0.207622573,0.411673099,0.063348338,0.000129127642,2.16781425,14.5052032,3.69936299,4.32171345,1.31984401,0.0907945,0.0149138,15.0
gyro,x-fore-aft,0.3,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00967754796,0.00910064206,0.0116129247,0.0176447351,0.311176658,0.12896277,0.458910227,0.0574507117,0.000105098414,0.0534430593,21.7295284,4.30108309,1.5290041,0.00931922998,0.033451,0.0215758,15.0
gyro,x-fore-aft,0.3,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0686303452,0.0509165823,0.0616979972,0.105400503,0.163318262,0.1626596,0.525171578,0.0389818884,0.000113990842,0.390963972,15.7809935,4.11319971,2.50414181,0.396985233,0.071321,0.0217609,15.0
gyro,x-fore-aft,0.3,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233603388,0.154220626,0.160742864,0.322789133,0.223152339,0.155208528,0.848336101,0.0453162156,0.00013239382,1.04307246,15.4105167,4.01857138,3.93589711,0.841890335,0.0862268,0.0218546,15.0
gyro,x-fore-aft,0.3,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.533530295,0.399448246,0.315097153,0.73722434,0.286834151,0.190930352,0.479998887,0.0572320893,0.00012760055,2.15460348,14.6243687,3.70702529,4.49544096,1.10512662,0.109426,0.0220679,15.0
gyro,x-fore-aft,0.3,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00962468609,0.00904139597,0.0114814304,0.0174987037,0.317554712,0.129334807,0.621224701,0.058497075,0.00010088519,0.0499124601,23.0031357,4.25238132,1.51789963,0.0901951641,0.0311049,0.021573,15.0
gyro,x-fore-aft,0.3,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0667081699,0.0487387069,0.0605874918,0.102451384,0.161043882,0.163332626,0.377636313,0.038690567,0.000117512631,0.385561794,15.7140808,4.03916597,2.323349,0.44000861,0.0870687,0.0218893,15.0
gyro,x-fore-aft,0.3,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.227035001,0.154874235,0.158337817,0.317177832,0.209600747,0.151712507,0.645308495,0.0428258702,0.000125006351,1.04037023,15.2193718,3.95844531,3.67368078,0.909952104,0.106811,0.0220385,15.0
gyro,x-fore-aft,0.3,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.539457023,0.388037533,0.314533621,0.735199571,0.320944369,0.205579966,0.398101181,0.0632719249,0.000129873297,2.16781425,14.5092516,3.70039558,4.3212781,1.32052183,0.136192,0.0223706,15.0
gyro,y-port,0.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.009677439,0.00908344146,0.0114897331,0.0175549332,0.309572488,0.126190618,0.472520173,0.057022579,0.000105018575,0.0534430593,21.4990196,4.25545645,1.52998912,0.00927863456,0.00827373,0.00718572,15.0
gyro,y-port,0.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0686872825,0.0507278629,0.0614508092,0.105201997,0.158789456,0.165144667,0.586432934,0.0387332253,0.00011203951,0.390963972,15.7177677,4.0967207,2.50638151,0.395259589,0.0183967,0.00722148,15.0
gyro,y-port,0.1,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233411774,0.154715553,0.160648286,0.322840244,0.217236295,0.160167605,0.775780618,0.0450381823,0.000130146029,1.04307246,15.4014502,4.01620722,3.9369607,0.840687811,0.0278152,0.0072789,15.0
gyro,y-port,0.1,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.534130692,0.398228347,0.314846009,0.736891747,0.282484412,0.196367204,0.550407946,0.0571359396,0.000126037572,2.15460348,14.6127119,3.70407057,4.49695778,1.10300076,0.0297791,0.00729988,15.0
gyro,y-port,0.1,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00962854642,0.00902926736,0.0113951862,0.0174380857,0.315588355,0.125072718,0.636684477,0.0579156652,0.00010078356,0.0499124601,22.8303432,4.22043943,1.51904368,0.0889690891,0.00848278,0.00718726,15.0
gyro,y-port,0.1,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0667525679,0.0485029779,0.0602947138,0.10219539,0.156793505,0.165839806,0.428544402,0.0384790488,0.000115628849,0.385561794,15.6381454,4.0196476,2.3260355,0.437828571,0.022693,0.00724897,15.0
gyro,y-port,0.1,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.226841152,0.155437768,0.158200696,0.317246377,0.20390667,0.156768575,0.582389474,0.0426294878,0.000123451711,1.04037023,15.206192,3.95501733,3.67507434,0.908369243,0.0349964,0.00734597,15.0
gyro,y-port,0.1,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.539858997,0.386673331,0.314129442,0.734602809,0.317502767,0.210523263,0.446443707,0.0632081032,0.000128397776,2.16781425,14.4906073,3.69564033,4.32278299,1.31810546,0.037894,0.0073877,15.0
gyro,y-port,0.2,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00968362484,0.00908367429,0.0115106944,0.0175721887,0.307397991,0.125243843,0.463386685,0.0566131659,0.000105746803,0.0534430593,21.5382385,4.26321983,1.52999997,0.0092855189,0.0165475,0.0143714,15.0
gyro,y-port,0.2,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0686745495,0.0507320873,0.0614261143,0.105181299,0.157172918,0.163856432,0.584428906,0.0383855589,0.000112602793,0.390963972,15.7114515,4.09507418,2.50664973,0.395083636,0.0367935,0.014443,15.0
gyro,y-port,0.2,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233469591,0.154712364,0.1607337,0.322923034,0.21585466,0.159881517,0.781605184,0.0447984822,0.00013059756,1.04307246,15.4096394,4.01834249,3.9367311,0.840925276,0.0556303,0.0145578,15.0
gyro,y-port,0.2,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.534007251,0.398341924,0.314795911,0.736842275,0.281194776,0.195880026,0.554181993,0.056921877,0.000126401646,2.15460348,14.6103868,3.7034812,4.49718094,1.10279405,0.0595583,0.0145998,15.0
gyro,y-port,0.2,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00963618793,0.00902927388,0.01141869,0.0174576752,0.313357204,0.124849439,0.627080142,0.0575443432,0.00010157311,0.0499124601,22.8774319,4.2291441,1.518929,0.0890539959,0.0169656,0.0143745,15.0
gyro,y-port,0.2,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0667341128,0.0485066287,0.0602603778,0.102164805,0.155294925,0.164500803,0.429529667,0.0381435752,0.000116096817,0.385561794,15.62924,4.0173583,2.32633805,0.437997162,0.0453859,0.0144979,15.0
gyro,y-port,0.2,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.226917028,0.155459508,0.158308536,0.31736508,0.20270741,0.156908467,0.585799456,0.0424547493,0.000123773483,1.04037023,15.2165575,3.95771337,3.67476892,0.908774018,0.0699928,0.0146919,15.0
gyro,y-port,0.2,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.539739966,0.386731535,0.314029485,0.734503269,0.316386402,0.209990516,0.451688141,0.063022472,0.000128723623,2.16781425,14.4859962,3.69446445,4.32294846,1.31797504,0.0757879,0.0147754,15.0
gyro,y-port,0.3,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00969024654,0.00908448175,0.0115338098,0.0175914019,0.305562884,0.125016093,0.454912394,0.0563039221,0.000106536587,0.0534430593,21.5814934,4.27178144,1.52981651,0.00929173548,0.0248212,0.0215572,15.0
gyro,y-port,0.3,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0686661601,0.0507383794,0.0614026487,0.105165154,0.155583009,0.162450269,0.582773805,0.0380257219,0.000113319737,0.390963972,15.7054501,4.09350967,2.50690222,0.394780308,0.0551902,0.0216645,15.0
gyro,y-port,0.3,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233570606,0.154699326,0.160804212,0.323024929,0.214534193,0.159327418,0.79010129,0.0445393734,0.000131236739,1.04307246,15.416399,4.02010536,3.93650508,0.841164112,0.0834455,0.0218367,15.0
gyro,y-port,0.3,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.53393954,0.398459285,0.314761877,0.736842096,0.279921621,0.195274621,0.558337986,0.0566970482,0.000126930579,2.15460348,14.6088076,3.70308089,4.4973793,1.1025697,0.0893374,0.0218996,15.0
gyro,y-port,0.3,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00964482222,0.00902921241,0.0114451665,0.0174797345,0.311701506,0.124423437,0.616727471,0.0572506897,0.000102458682,0.0499124601,22.930481,4.23895025,1.51868463,0.0900510103,0.0254484,0.0215618,15.0
gyro,y-port,0.3,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0667146742,0.0485042594,0.0602401234,0.102139041,0.153887182,0.16302073,0.431092739,0.037798997,0.000116689152,0.385561794,15.6239872,4.0160079,2.3266139,0.437892944,0.0680789,0.0217469,15.0
gyro,y-port,0.3,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.227022484,0.155448958,0.15841271,0.31748727,0.201585606,0.156872988,0.5912624,0.0422715805,0.000124223792,1.04037023,15.2265711,3.96031785,3.67446923,0.909073949,0.104989,0.0220379,15.0
gyro,y-port,0.3,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.539632976,0.386801153,0.313959152,0.734431267,0.315298915,0.209339768,0.457544148,0.0628274977,0.000129255233,2.16781425,14.4827518,3.69363689,4.32315254,1.31771481,0.113682,0.0221631,15.0
gyro,z-vertical,0.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00968662556,0.00908232108,0.0114705022,0.0175468437,0.311712891,0.126423135,0.48872295,0.057383474,0.000103788152,0.0534430593,21.4630356,4.24833393,1.53003395,0.0092721805,0.0138706,0.00720597,15.0
gyro,z-vertical,0.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0687201545,0.0507604294,0.0614832602,0.105258122,0.161535665,0.162723675,0.56430161,0.0387461782,0.000111100708,0.390963972,15.7260675,4.09888363,2.50614429,0.395421267,0.0298166,0.00729796,15.0
gyro,z-vertical,0.1,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233546034,0.154557124,0.160603642,0.32283926,0.219493419,0.156928748,0.795096695,0.0450314768,0.000129304302,1.04307246,15.3971701,4.01509094,3.93719006,0.84043622,0.0393734,0.00737445,15.0
gyro,z-vertical,0.1,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.534132302,0.39849624,0.314991057,0.737099707,0.284969002,0.193376765,0.519338191,0.0571563467,0.000125553794,2.15460348,14.6194439,3.70577717,4.49679279,1.10319102,0.0460494,0.00745148,15.0
gyro,z-vertical,0.1,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00963172037,0.00903207436,0.0113726417,0.0174265709,0.317672163,0.125857338,0.654253006,0.0583035536,9.94882721e-05,0.0499124601,22.7851753,4.21208954,1.51918542,0.0886811912,0.0133853,0.00720661,15.0
gyro,z-vertical,0.1,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0667948201,0.0485401228,0.0603342131,0.10226392,0.159442782,0.16346328,0.401773334,0.0384758376,0.00011470465,0.385561794,15.6483908,4.02228069,2.32576442,0.438255966,0.036426,0.00736172,15.0
gyro,z-vertical,0.1,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.226937547,0.155311599,0.158146992,0.317226768,0.205700383,0.15373908,0.600185156,0.0425767563,0.000122838086,1.04037023,15.2010298,3.95367479,3.6753962,0.908046305,0.0487928,0.00748048,15.0
gyro,z-vertical,0.1,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.539867818,0.386926204,0.31433323,0.734829605,0.31983155,0.208118021,0.418838292,0.063268438,0.000127975756,2.16781425,14.5000076,3.69803786,4.32261419,1.31831086,0.0572694,0.00759921,15.0
gyro,z-vertical,0.2,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00970320497,0.00908406638,0.0114717698,0.0175577309,0.311934471,0.126804948,0.50945437,0.0574484579,0.000103489365,0.0534430593,21.4654064,4.24880362,1.53003299,0.00927234069,0.0277413,0.0144119,15.0
gyro,z-vertical,0.2,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0687366351,0.0508046933,0.0614859052,0.105291776,0.162705779,0.158963606,0.540897191,0.0384212509,0.000111003799,0.390963972,15.7267447,4.09906006,2.50618434,0.395406157,0.0596331,0.0145959,15.0
gyro,z-vertical,0.2,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233705238,0.154415086,0.160647839,0.322908491,0.220415428,0.153502107,0.822522402,0.0448121354,0.000128949046,1.04307246,15.4014063,4.01619577,3.9371984,0.840429187,0.0787468,0.0147489,15.0
gyro,z-vertical,0.2,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.534006894,0.398866475,0.315093458,0.737252831,0.286148161,0.190040752,0.491701663,0.0569832921,0.000125672464,2.15460348,14.624197,3.7069819,4.49682713,1.10334885,0.0920987,0.014903,15.0
gyro,z-vertical,0.2,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00964499358,0.00903714821,0.0113732936,0.0174369644,0.317708671,0.12688385,0.676142991,0.0583809167,9.92401765e-05,0.0499124601,22.7864819,4.21233082,1.51923275,0.0886835232,0.0267706,0.0144132,15.0
gyro,z-vertical,0.2,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0668070912,0.0485895164,0.0603394695,0.102298483,0.160625353,0.159753323,0.377780318,0.0381524079,0.000114584349,0.385561794,15.6497536,4.02263117,2.32576132,0.438235909,0.072852,0.0147234,15.0
gyro,z-vertical,0.2,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.227107614,0.155168921,0.158201277,0.317305714,0.206314623,0.15098016,0.623083413,0.0423735604,0.000122572383,1.04037023,15.2062483,3.95503187,3.67541599,0.908027172,0.0975856,0.014961,15.0
gyro,z-vertical,0.2,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.539784014,0.387292832,0.314438045,0.735005975,0.321090102,0.20525755,0.394945562,0.0631641671,0.000128051339,2.16781425,14.5048418,3.69927096,4.32266808,1.31826282,0.114539,0.0151984,15.0
gyro,z-vertical,0.3,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00972206891,0.00908801984,0.0114731239,0.0175710935,0.311777025,0.128219113,0.546479702,0.0575229339,0.000103804909,0.0534430593,21.4679394,4.24930525,1.53023338,0.00927332696,0.0416119,0.0216179,15.0
gyro,z-vertical,0.3,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.068753913,0.0508511998,0.0614876077,0.105326496,0.163922668,0.155204028,0.521895587,0.0381123722,0.000111484602,0.390963972,15.7271805,4.09917355,2.50618935,0.395391732,0.0894497,0.0218939,15.0
gyro,z-vertical,0.3,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233882383,0.154241666,0.160703421,0.322981507,0.221388072,0.150103554,0.855017543,0.0446114652,0.000128924497,1.04307246,15.4067373,4.01758575,3.93720937,0.84042424,0.11812,0.0221233,15.0
gyro,z-vertical,0.3,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.533851683,0.399198174,0.315196067,0.737363756,0.28733477,0.186783731,0.466011763,0.0568287745,0.000126264218,2.15460348,14.6289597,3.70818901,4.49687958,1.10331988,0.138148,0.0223544,15.0
gyro,z-vertical,0.3,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00965928007,0.00904473849,0.0113753956,0.0174501743,0.316520244,0.130019963,0.718016803,0.0584063865,9.96423987e-05,0.0499124601,22.7906914,4.21310949,1.51923442,0.0888658389,0.0401558,0.0216198,15.0
gyro,z-vertical,0.3,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0668227822,0.0486441739,0.0603425056,0.102336496,0.161869019,0.156028092,0.36061579,0.0378452837,0.000115003335,0.385561794,15.6505413,4.02283335,2.32577944,0.438215494,0.109278,0.0220852,15.0
gyro,z-vertical,0.3,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.227267399,0.155018955,0.158246264,0.317369223,0.20695363,0.148282945,0.650207102,0.0421871506,0.000122541911,1.04037023,15.2105713,3.95615649,3.67543268,0.907950699,0.146378,0.0224415,15.0
gyro,z-vertical,0.3,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.539625764,0.387656957,0.314535558,0.735123456,0.322348922,0.202390507,0.37176767,0.0630645528,0.00012854833,2.16781425,14.5093412,3.70041823,4.32272434,1.318223,0.171808,0.0227976,15.0
unmodeled,x-fore-aft,0.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00966241863,0.00907418691,0.0109175742,0.0171725545,0.30802089,0.13923797,0.490494251,0.057690952,0.000104198676,0.0534430593,20.4284229,4.04354572,1.53422654,0.009201576,0.0111503,0.0111503,nan
unmodeled,x-fore-aft,0.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0687619373,0.0506861918,0.060628701,0.104752727,0.161114663,0.173030302,0.603763282,0.0400211215,0.000111515816,0.390963972,15.5074902,4.04191303,2.51079965,0.392123103,0.0237737,0.0237737,nan
unmodeled,x-fore-aft,0.1,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233358055,0.154776379,0.159645036,0.322332501,0.215855002,0.166131556,0.759726226,0.0455225706,0.00012974182,1.04307246,15.3052673,3.99112582,3.93891501,0.838491857,0.0287423,0.0287423,nan
unmodeled,x-fore-aft,0.1,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.534560919,0.397893071,0.313584864,0.736484706,0.284013867,0.203799933,0.561721087,0.0581457801,0.000125570528,2.15460348,14.5541792,3.68923354,4.49844599,1.10110271,0.0364753,0.0364753,nan
unmodeled,x-fore-aft,0.1,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00961302593,0.0090274848,0.0109230783,0.0171236489,0.314249992,0.138071924,0.669242561,0.0585915186,9.99027689e-05,0.0499124601,21.8844719,4.04558468,1.52444029,0.0840305164,0.0103683,0.0103683,nan
unmodeled,x-fore-aft,0.1,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0668016151,0.048480764,0.0594481602,0.101719834,0.159059912,0.17452015,0.444815576,0.0398667939,0.000115025687,0.385561794,15.418582,3.96321058,2.33118343,0.433947772,0.0290229,0.0290229,nan
unmodeled,x-fore-aft,0.1,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.226753324,0.155571267,0.157216653,0.316759467,0.202187479,0.162472039,0.568503499,0.0430682674,0.000123094418,1.04037023,15.1116066,3.93041635,3.6777885,0.905128479,0.0356036,0.0356036,nan
unmodeled,x-fore-aft,0.1,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.540111244,0.386306703,0.312808841,0.734031618,0.318328679,0.21803692,0.45490846,0.064098008,0.000127876629,2.16781425,14.4296885,3.68010402,4.32440805,1.31537271,0.0453972,0.0453972,nan
unmodeled,x-fore-aft,0.2,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00965492055,0.00906707998,0.0109530771,0.0171871856,0.303079486,0.15265587,0.503581166,0.0579459555,0.000103899205,0.0534430593,20.494854,4.05669498,1.53794467,0.00917003211,0.0223007,0.0223007,nan
