mode,axis,distance_m,spectrum,hs_m,input,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,disp_z_ref_rms_m,disp_z_pct_refrms,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2,installed_rms_mps2,residual_rms_mps2,cutoff_hz
exact,x-fore-aft,0.2,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233373269,0.154702485,0.160557121,0.322760791,0.218686208,0.160141572,0.772694588,0.0452535488,0.000129877983,1.04307246,15.3927097,4.01392794,3.93718648,0.840440273,0.0574845,0.0,nan
exact,x-fore-aft,0.2,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.534261584,0.398206562,0.314907491,0.737001121,0.28384766,0.196670756,0.546565652,0.0573400892,0.000125838444,2.15460348,14.6155663,3.70479393,4.49675083,1.10321939,0.0729506,0.0,nan
exact,x-fore-aft,0.2,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00962117501,0.00902909506,0.0113713518,0.0174183585,0.317120314,0.126184165,0.647859216,0.0582334734,0.000100049714,0.0499124601,22.7825909,4.21161175,1.51927531,0.088680461,0.0207366,0.0,nan
exact,x-fore-aft,0.2,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0667739883,0.0484999716,0.0603309274,0.10222932,0.158343241,0.166972965,0.427939087,0.0387932621,0.000115241055,0.385561794,15.6475372,4.02206182,2.32576561,0.43827635,0.0580458,0.0,nan
exact,x-fore-aft,0.2,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.226775751,0.155434459,0.158098057,0.317146838,0.205165997,0.156385466,0.581274807,0.0427853055,0.000123272315,1.04037023,15.1963263,3.95245147,3.67536426,0.908064425,0.0712072,0.0,nan
exact,x-fore-aft,0.2,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.539989054,0.386623383,0.314245105,0.734721541,0.318636566,0.210819289,0.441462815,0.0633726045,0.000128251573,2.16781425,14.4959421,3.69700122,4.32255745,1.31836557,0.0907945,0.0,nan
exact,x-fore-aft,0.3,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00967183616,0.00908230152,0.0114699993,0.0175383426,0.311116278,0.127011791,0.481714785,0.0573243387,0.000104372062,0.0534430593,21.4620934,4.24814796,1.53017211,0.00927251112,0.033451,0.0,nan
exact,x-fore-aft,0.3,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0687024221,0.0507269315,0.0614792891,0.105228074,0.16046457,0.16627042,0.588554025,0.0390664451,0.000111615911,0.390963972,15.7250519,4.09861898,2.50613451,0.395435274,0.071321,0.0,nan
exact,x-fore-aft,0.3,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233374417,0.154702663,0.16055879,0.322762549,0.218685403,0.160142317,0.772693157,0.0452535115,0.000129879147,1.04307246,15.3928709,4.0139699,3.937186,0.840440214,0.0862268,0.0,nan
exact,x-fore-aft,0.3,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.534256518,0.398203254,0.314907789,0.736995757,0.283847719,0.196667835,0.546545744,0.0573398508,0.000125838778,2.15460348,14.6155806,3.70479751,4.49675226,1.10321939,0.109426,0.0,nan
