arm,record,seed,gate,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2
C_S1.00_rho1.00_consistent,H0.270,4,FAIL,0.0449675955,0.0369217247,0.0125133656,0.0595137216,4.63457966,1.26532924,0.350922436
C_S1.00_rho1.00_consistent,H0.270,5,FAIL,0.0460152067,0.0391262919,0.0117992917,0.0615425818,4.37010813,1.25790656,0.351809829
C_S1.00_rho1.00_consistent,H1.500,1,FAIL,0.161515549,0.230290368,0.0593224466,0.28747189,3.95482969,2.18100834,0.725054562
C_S1.00_rho1.00_consistent,H1.500,2,FAIL,0.158383414,0.218682513,0.0665303171,0.278089255,4.43535423,2.18478942,0.726228893
C_S1.00_rho1.00_consistent,H1.500,3,FAIL,0.171985999,0.184860855,0.0581983142,0.259113401,3.87988758,2.17850184,0.729579926
C_S1.00_rho1.00_consistent,H1.500,4,FAIL,0.16181244,0.206386983,0.0608584732,0.269225925,4.05723143,2.18348646,0.705685496
C_S1.00_rho1.00_consistent,H1.500,5,FAIL,0.151766196,0.232771888,0.0564021692,0.283543527,3.76014447,2.1777575,0.720298052
C_S1.00_rho1.00_consistent,H4.000,1,FAIL,0.624145091,0.461341351,0.156731233,0.791806579,3.91828084,3.58995557,1.12525678
C_S1.00_rho1.00_consistent,H4.000,2,FAIL,0.633288622,0.445438147,0.169778362,0.792650163,4.24445915,3.59055161,1.12444961
C_S1.00_rho1.00_consistent,H4.000,3,FAIL,0.591412961,0.375102341,0.153606713,0.716984034,3.84016776,3.58910298,1.12364471
C_S1.00_rho1.00_consistent,H4.000,4,FAIL,0.637979746,0.415323436,0.165247813,0.77898562,4.13119555,3.59000444,1.1244036
C_S1.00_rho1.00_consistent,H4.000,5,FAIL,0.632273555,0.456477851,0.152161315,0.794540703,3.8040328,3.58899474,1.12259674
C_S1.00_rho1.00_consistent,H8.500,1,FAIL,0.849649549,1.12780046,0.346523166,1.45393145,4.07674313,4.22194338,1.42203033
C_S1.00_rho1.00_consistent,H8.500,2,FAIL,0.85519588,0.982701063,0.340837926,1.34656298,4.00985765,4.22111464,1.4186244
C_S1.00_rho1.00_consistent,H8.500,3,FAIL,0.927963078,0.852594376,0.335851282,1.30415821,3.95119143,4.22255135,1.41917109
C_S1.00_rho1.00_consistent,H8.500,4,FAIL,0.877063453,1.0256722,0.346671104,1.39335012,4.07848358,4.22084951,1.41772294
C_S1.00_rho1.00_consistent,H8.500,5,FAIL,0.832760751,1.15200138,0.319667548,1.45697808,3.76079464,4.22343445,1.41908598
D_S1.00_rho1.87_control,H0.270,1,FAIL,0.0461724661,0.056524951,0.0119213676,0.0739532635,4.41532135,1.2979629,0.350295067
D_S1.00_rho1.87_control,H0.270,2,FAIL,0.0433937237,0.0535632484,0.0136351297,0.0702705756,5.05004787,1.28338206,0.351863265
D_S1.00_rho1.87_control,H0.270,3,FAIL,0.0412690714,0.0498388782,0.0119758053,0.0658063069,4.43548346,1.25628102,0.361482561
D_S1.00_rho1.87_control,H0.270,4,FAIL,0.0432958603,0.050915122,0.0125002889,0.0679936633,4.62973642,1.26532924,0.350922436
D_S1.00_rho1.87_control,H0.270,5,FAIL,0.0442900099,0.0533949621,0.01181175,0.0703714713,4.374722,1.25790656,0.351809829
D_S1.00_rho1.87_control,H1.500,1,FAIL,0.153531045,0.281602651,0.0593173541,0.326175392,3.95449018,2.18100834,0.725054562
D_S1.00_rho1.87_control,H1.500,2,FAIL,0.148712128,0.26114589,0.0662871748,0.307744145,4.41914463,2.18478942,0.726228893
D_S1.00_rho1.87_control,H1.500,3,FAIL,0.157338932,0.226270378,0.0580285266,0.281640083,3.86856818,2.17850184,0.729579926
D_S1.00_rho1.87_control,H1.500,4,FAIL,0.154649362,0.245406702,0.060765937,0.29636696,4.05106211,2.18348646,0.705685496
D_S1.00_rho1.87_control,H1.500,5,FAIL,0.147372767,0.276138544,0.056203723,0.318009585,3.74691463,2.1777575,0.720298052
D_S1.00_rho1.87_control,H4.000,1,FAIL,0.526734769,0.637437344,0.156353414,0.84155941,3.90883541,3.58995557,1.12525678
D_S1.00_rho1.87_control,H4.000,2,FAIL,0.523369014,0.575844646,0.169672549,0.796430111,4.24181366,3.59055161,1.12444961
D_S1.00_rho1.87_control,H4.000,3,FAIL,0.50672394,0.511395574,0.153434992,0.736095667,3.8358748,3.58910298,1.12364471
D_S1.00_rho1.87_control,H4.000,4,FAIL,0.542607009,0.55863452,0.163765997,0.795810401,4.09415007,3.59000444,1.1244036
D_S1.00_rho1.87_control,H4.000,5,FAIL,0.539804339,0.623155594,0.15151684,0.838253498,3.78792095,3.58899474,1.12259674
D_S1.00_rho1.87_control,H8.500,1,FAIL,0.729205847,1.38442254,0.346986115,1.60273719,4.08218956,4.22194338,1.42203033
D_S1.00_rho1.87_control,H8.500,2,FAIL,0.729975641,1.10962629,0.339597076,1.37093437,3.99525976,4.22111464,1.4186244
D_S1.00_rho1.87_control,H8.500,3,FAIL,0.802189231,1.00271332,0.334269226,1.32690525,3.93257904,4.22255135,1.41917109
D_S1.00_rho1.87_control,H8.500,4,FAIL,0.756170571,1.22935557,0.34495002,1.48394728,4.05823565,4.22084951,1.41772294
D_S1.00_rho1.87_control,H8.500,5,FAIL,0.739173234,1.38813007,0.318272501,1.60454965,3.74438238,4.22343445,1.41908598
E_S0.80_rho1.00_inconsist,H0.270,1,FAIL,0.0464358032,0.0403236635,0.0119386883,0.0626483336,4.42173624,1.2979629,0.350295067
E_S0.80_rho1.00_inconsist,H0.270,2,FAIL,0.0447673127,0.0388069153,0.0136829354,0.0608055219,5.06775379,1.28338206,0.351863265
E_S0.80_rho1.00_inconsist,H0.270,3,FAIL,0.0423542336,0.0357016549,0.0119961239,0.0566780046,4.4430089,1.25628102,0.361482561
E_S0.80_rho1.00_inconsist,H0.270,4,FAIL,0.0451123454,0.0368359722,0.0125659592,0.0595811717,4.65405893,1.26532924,0.350922436
E_S0.80_rho1.00_inconsist,H0.270,5,FAIL,0.0461610556,0.0390278846,0.0118125249,0.0615918376,4.37500906,1.25790656,0.351809829
E_S0.80_rho1.00_inconsist,H1.500,1,FAIL,0.163366109,0.229927763,0.059612222,0.28828609,3.97414804,2.18100834,0.725054562
E_S0.80_rho1.00_inconsist,H1.500,2,FAIL,0.159714982,0.218019485,0.0667342544,0.278378934,4.44895029,2.18478942,0.726228893
E_S0.80_rho1.00_inconsist,H1.500,3,FAIL,0.172320858,0.18425402,0.0585298575,0.258978307,3.90199041,2.17850184,0.729579926
E_S0.80_rho1.00_inconsist,H1.500,4,FAIL,0.162249848,0.205870077,0.061208263,0.269172728,4.08055067,2.18348646,0.705685496
E_S0.80_rho1.00_inconsist,H1.500,5,FAIL,0.153175533,0.231885791,0.0565749258,0.283609748,3.77166152,2.1777575,0.720298052
E_S0.80_rho1.00_inconsist,H4.000,1,FAIL,0.638193309,0.455825508,0.160467789,0.800510764,4.01169491,3.58995557,1.12525678
E_S0.80_rho1.00_inconsist,H4.000,2,FAIL,0.647434831,0.440964222,0.172688425,0.8021487,4.31721067,3.59055161,1.12444961
E_S0.80_rho1.00_inconsist,H4.000,3,FAIL,0.589963078,0.374338299,0.157296881,0.716189861,3.93242192,3.58910298,1.12364471
