spectrum,hs_m,input,tau_s,sigma_a_band_mps2,omega_rad_s,kappa,local_amplitude_exponent,fixed_shape_period_exponent,wave_fraction,coefficient_diagnostic,negative_fourth_moment,asymptotic_moment_relative_error
JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,1.48274419,0.05555555633333334,0.4439386367796206,0.6582474344015028,0.8526590549867707,2.9263295274933854,0.4270622326844219,0.13242691865509088,0.00017897950904697995,0.012866111520934309
JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,2.5048803800000004,0.4334106311111111,0.18154020524126743,0.45473649829002405,0.8552865736237703,2.927643286811885,0.42818114159701265,0.055150676046304636,0.0942999651238984,0.005297667880459933
JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,3.9370617379999997,0.9328473011111109,0.10970707036324355,0.4319235091151999,0.8563793910569828,2.9281896955284914,0.42814690327577315,0.027484786378405058,3.1965646615258145,0.007604605297659717
JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,4.49555464,1.22869852,0.07499200705633739,0.33713066528503033,0.8555704507582362,2.927785225379118,0.4279261163161003,0.043120478925423464,45.77491806400267,0.008982298377580245
PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,1.4641639,0.10456620242222221,0.44632012258925,0.6534858113387544,0.8524422476803295,2.9262211238401648,0.42706309685349797,0.0791327492478931,0.0001742409772067742,0.0021676739873330853
PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,2.324467086,0.48982524866666666,0.18395178320438513,0.4275898654696008,0.8544213494108277,2.927210674705414,0.4276774773025332,0.06167527405853552,0.08547009830043263,0.011285413618080664
PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,3.675145482,1.008999877777778,0.11121756912743967,0.4087407466977326,0.8549001001698642,2.927450050084932,0.42780022469233797,0.031229892146299537,2.89844882050743,0.009802719941317317
PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,4.32105236,1.4673864066666666,0.07574097015271854,0.327280697827094,0.8555622988057898,2.927781149402895,0.4278816804439957,0.0411719020155742,42.66019896015466,0.00989690204044047
