arm,family,record,axis,settle_own_s,settle_usable_s,peak_err_m,peak_t_s,ss_err_rms_m,ss_ref_rms_m,ss_ratio
engine,NLO,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,x,89.49,180,14.144,51.91,3.80085,2.55543,1.48736
engine,NLO,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,y,145.565,180,39.6276,22.78,3.8959,0,nan
engine,NLO,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,z,50.145,50.185,7.12582,22.85,0.797872,3.06513,0.260306
engine,TFG,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,x,180,180,37.2355,72.51,0.910656,2.55543,0.356361
engine,TFG,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,y,180,180,10.274,79.595,0.403254,0,nan
engine,TFG,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,z,146.945,123.875,18.6898,86.415,0.423942,3.06513,0.138311
engine,PII,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,z,58.47,60.72,7.55809,5.335,0.92888,3.06513,0.303048
engine,OU-II,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,x,91.95,165.96,5.30319,64.895,1.1519,2.55543,0.450767
engine,OU-II,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,y,0,180,0.600562,166.81,0.313632,0,nan
engine,OU-II,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,z,180,180,19.015,124.81,0.713486,3.06513,0.232775
engine,OU-III,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,x,74.99,83.26,9.21761,43.005,0.818956,2.55543,0.320476
engine,OU-III,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,y,167.545,180,1.66436,49.26,0.499591,0,nan
engine,OU-III,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,z,173.59,169.645,12.0528,93.295,0.428614,3.06513,0.139835
engine,NLO,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,x,180,180,9.25075,35.775,0.396026,0.0309639,12.7899
engine,NLO,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,y,180,180,5.01272,23.43,0.385378,0,nan
engine,NLO,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,z,180,180,1.4512,26.095,0.0605538,0.0522241,1.1595
engine,TFG,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,x,155.865,180,0.2207,47.84,0.0275176,0.0309639,0.888701
engine,TFG,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,y,166.735,180,0.108161,123.915,0.0173232,0,nan
engine,TFG,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,z,89.46,145.3,1.48469,51.065,0.0254399,0.0522241,0.48713
engine,PII,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,z,180,180,1.02951,18.21,0.0270569,0.0522241,0.518092
engine,OU-II,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,x,0,180,0.0457006,38.71,0.0309826,0.0309639,1.0006
engine,OU-II,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,y,166.755,180,0.000692805,119.12,7.1539e-05,0,nan
engine,OU-II,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,z,0,180,0.0972578,42.5,0.0521058,0.0522241,0.997734
engine,OU-III,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,x,0,180,0.12262,42.935,0.0457513,0.0309639,1.47757
engine,OU-III,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,y,160.795,180,0.0313796,119.29,0.0106948,0,nan
engine,OU-III,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,z,132.69,180,0.439628,44.695,0.0378354,0.0522241,0.724481
engine,NLO,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,x,103.84,180,12.6484,55.405,2.61429,0.23015,11.359
engine,NLO,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,y,101.485,180,6.22591,21.265,2.44655,0,nan
engine,NLO,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,z,180,180,1.71966,37.09,0.245901,0.27224,0.903253
engine,TFG,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,x,59.19,180,1.06335,53.365,0.193734,0.23015,0.841771
engine,TFG,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,y,0,180,0.188399,163.23,0.0830331,0,nan
engine,TFG,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,z,95.22,96.985,2.29897,60.78,0.117494,0.27224,0.431581
engine,PII,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,z,43.2,180,1.03478,24.84,0.233049,0.27224,0.856044
engine,OU-II,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,x,0,180,0.335617,49.8,0.233184,0.23015,1.01318
engine,OU-II,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,y,122.04,180,0.00111354,120.155,0.00030753,0,nan
engine,OU-II,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,z,0,180,0.414516,46.115,0.274863,0.27224,1.00963
engine,OU-III,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,x,0,180,0.788296,50.125,0.41759,0.23015,1.81442
engine,OU-III,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,y,0,180,0.0462643,156.43,0.018218,0,nan
engine,OU-III,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,z,0,180,0.984123,48.255,0.463477,0.27224,1.70246
engine,NLO,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,x,0,180,14.0502,134.73,10.0856,0.659042,15.3034
engine,NLO,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,y,0,180,8.33251,142.77,8.37238,0,nan
engine,NLO,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,z,160.52,180,1.94114,38.195,0.596592,0.713866,0.835721
engine,TFG,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,x,80.5,180,5.89068,63.085,0.610265,0.659042,0.925989
engine,TFG,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,y,0,180,0.484759,63.085,0.245908,0,nan
engine,TFG,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,z,112.07,132.835,8.85684,84.27,0.306248,0.713866,0.429
engine,PII,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,z,0,180,1.40081,20.72,0.768228,0.713866,1.07615
engine,OU-II,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,x,0,180,0.962967,143.465,0.67431,0.659042,1.02317
engine,OU-II,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,y,0,180,0.00277338,154.97,0.000920721,0,nan
engine,OU-II,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,z,0,180,1.08753,86.63,0.729228,0.713866,1.02152
engine,OU-III,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,x,0,180,1.83543,57.315,1.13694,0.659042,1.72514
engine,OU-III,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,y,0,180,0.0884336,122.175,0.033353,0,nan
engine,OU-III,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,z,0,180,2.30341,89.15,1.34013,0.713866,1.87729
engine,NLO,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,x,162.465,171.27,10.2109,44.28,1.84711,1.41758,1.30301
engine,NLO,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,y,85.965,180,7.80192,17.285,1.91005,0,nan
