arm,family,record,axis,settle_own_s,settle_usable_s,peak_err_m,peak_t_s,ss_err_rms_m,ss_ref_rms_m,ss_ratio
engine,NLO,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00,y,17.69,180,7.95215,13.02,2.81536,0.834743,3.37273
engine,NLO,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00,z,108.08,180,2.34318,4.125,0.584721,2.15465,0.271377
engine,TFG,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00,x,136.21,180,4.90733,43.635,0.590721,1.37091,0.430897
engine,TFG,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00,y,74.64,173.695,2.92787,50.49,0.450463,0.834743,0.539643
engine,TFG,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00,z,106.08,94.4,4.58702,13.9,0.344794,2.15465,0.160024
engine,PII,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00,z,22.14,117.225,3.97474,6.08,0.634773,2.15465,0.294607
engine,OU-II,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00,x,17.225,180,2.50879,12.81,0.675594,1.37091,0.492807
engine,OU-II,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00,y,0,180,1.1197,173.88,0.458198,0.834743,0.548909
engine,OU-II,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00,z,180,180,13.391,121.23,0.515479,2.15465,0.23924
engine,OU-III,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00,x,61.96,174.925,4.08255,48.355,0.548096,1.37091,0.399804
engine,OU-III,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00,y,64.055,169.135,2.07949,58.685,0.48895,0.834743,0.58575
engine,OU-III,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00,z,163.615,167.315,7.67421,123.175,0.342201,2.15465,0.15882
engine,NLO,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00,x,180,180,9.21816,35.93,0.0909079,0.00881329,10.3149
engine,NLO,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00,y,140.495,180,2.99541,23.555,0.0912456,0.00430303,21.205
engine,NLO,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00,z,180,180,1.35385,25.18,0.020448,0.0499133,0.40967
engine,TFG,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00,x,144.875,180,0.192281,45.985,0.0098763,0.00881329,1.12061
engine,TFG,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00,y,135.84,180,0.0927141,38.525,0.00850875,0.00430303,1.97738
engine,TFG,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00,z,83.535,82.43,0.843541,46.945,0.0128716,0.0499133,0.257879
engine,PII,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00,z,180,180,1.06845,19.65,0.0112112,0.0499133,0.224613
engine,OU-II,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00,x,150.765,180,0.0360069,117.245,0.00845169,0.00881329,0.958972
engine,OU-II,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00,y,127.38,180,0.033737,79.145,0.00641973,0.00430303,1.49191
engine,OU-II,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00,z,135.11,142.965,0.814836,92.085,0.0179098,0.0499133,0.358818
engine,OU-III,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00,x,148.95,180,0.0302549,114.785,0.00936654,0.00881329,1.06277
engine,OU-III,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00,y,126.425,180,0.0384182,79.56,0.00898377,0.00430303,2.08778
engine,OU-III,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00,z,140.61,143,0.69629,89.675,0.0132276,0.0499133,0.265012
engine,NLO,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00,x,145.085,180,6.01778,27.825,0.326759,0.153151,2.13358
engine,NLO,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00,y,64.745,180,1.77687,21.455,0.29801,0.0700075,4.25683
engine,NLO,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00,z,124.425,162.445,1.06628,24.985,0.102642,0.385568,0.26621
engine,TFG,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00,x,62.04,173.145,1.03897,44.295,0.0712622,0.153151,0.465308
engine,TFG,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00,y,49.415,166.605,0.262507,40.305,0.0519351,0.0700075,0.741851
engine,TFG,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00,z,83.13,82.84,1.13182,67.945,0.0684165,0.385568,0.177444
engine,PII,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00,z,131.725,164.185,1.34102,19.335,0.084271,0.385568,0.218564
engine,OU-II,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00,x,21.2,180,0.410831,13.245,0.0832976,0.153151,0.543893
engine,OU-II,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00,y,0,180,0.151279,36.47,0.056449,0.0700075,0.806328
engine,OU-II,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00,z,138.17,139.44,1.98264,106.2,0.0963997,0.385568,0.25002
engine,OU-III,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00,x,42.1,180,0.43979,36.295,0.0707584,0.153151,0.462018
engine,OU-III,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00,y,0,180,0.168353,40.105,0.0623081,0.0700075,0.89002
engine,OU-III,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00,z,135.735,135.19,1.28865,104.05,0.0688898,0.385568,0.178671
engine,NLO,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00,x,180,180,6.91777,41.42,0.872565,0.560847,1.5558
engine,NLO,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00,y,174.945,180,4.28531,19.225,0.927279,0.299668,3.09436
engine,NLO,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00,z,26.48,180,1.69801,15.545,0.275021,1.04039,0.264344
engine,TFG,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00,x,65.62,165.81,2.01652,44.28,0.261825,0.560847,0.466838
engine,TFG,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00,y,60.065,180,0.685994,44.735,0.155589,0.299668,0.519205
engine,TFG,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00,z,91.275,88.31,2.85325,13.85,0.179366,1.04039,0.172403
engine,PII,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00,z,32.26,49.02,2.10119,13.225,0.247922,1.04039,0.238298
engine,OU-II,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00,x,21.35,173.885,1.42416,13.015,0.274703,0.560847,0.4898
engine,OU-II,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00,y,17.675,180,0.571041,16.87,0.178911,0.299668,0.597032
engine,OU-II,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00,z,153.32,166.485,4.92107,91.895,0.249307,1.04039,0.239628
engine,OU-III,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00,x,52.035,165.78,1.42416,13.015,0.265709,0.560847,0.473764
engine,OU-III,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00,y,53.86,180,0.571041,16.87,0.163152,0.299668,0.544442
engine,OU-III,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00,z,137.825,138.185,3.14442,93.72,0.177359,1.04039,0.170474
engine,NLO,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00,x,115.25,180,10.2384,67.84,2.78602,1.3507,2.06265
engine,NLO,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00,y,0,180,6.04272,12.79,2.56626,0.791531,3.24214
engine,NLO,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00,z,103.65,138.67,4.00898,12.04,0.602408,2.16785,0.277883
engine,TFG,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00,x,137.57,180,7.13801,55.195,0.601412,1.3507,0.445261
engine,TFG,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00,y,85.875,180,4.3571,50.49,0.446612,0.791531,0.564238
engine,TFG,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00,z,106.725,96.245,5.32212,13.885,0.356113,2.16785,0.16427
engine,PII,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00,z,20.955,163.91,4.2943,6.045,0.75136,2.16785,0.346593
engine,OU-II,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00,x,50.97,180,2.86562,12.815,0.664045,1.3507,0.491632
engine,OU-II,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00,y,0,180,1.19045,13.9,0.442924,0.791531,0.559578
engine,OU-II,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00,z,180,180,12.6263,121.275,0.513681,2.16785,0.236954
engine,OU-III,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00,x,109.085,180,4.39475,48.4,0.572204,1.3507,0.423636
engine,OU-III,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00,y,64.755,169.525,2.42,58.54,0.48203,0.791531,0.608984
engine,OU-III,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00,z,159.265,164.245,6.88688,123.155,0.352585,2.16785,0.162643
no-engine,NLO,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,x,180,180,8.02137,44.245,0.0641659,0.0159078,4.0336
no-engine,NLO,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,y,180,180,1.69937,26.085,0.0549583,0,nan
no-engine,NLO,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,z,180,180,1.21905,15.775,0.0215114,0.0787111,0.273295
no-engine,TFG,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,x,144.6,180,0.372188,47.33,0.0112817,0.0159078,0.709191
no-engine,TFG,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,y,123.785,180,0.116287,38.545,0.0102933,0,nan
no-engine,TFG,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,z,84.26,83.045,1.37053,51.23,0.0140152,0.0787111,0.178059
no-engine,PII,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,z,180,180,1.08129,26.09,0.0106566,0.0787111,0.135388
no-engine,OU-II,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,x,150.03,180,0.0539991,82.285,0.0155112,0.0159078,0.975068
no-engine,OU-II,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,y,136.85,180,0.0383963,78.39,0.00970574,0,nan
no-engine,OU-II,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,z,150.04,150.445,2.83387,96.185,0.0215093,0.0787111,0.273269
no-engine,OU-III,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,x,151.345,180,0.0560193,80.075,0.0109073,0.0159078,0.685654
no-engine,OU-III,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,y,125.74,180,0.0543747,36.57,0.0107511,0,nan
no-engine,OU-III,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,z,139.335,138.455,1.4692,52.825,0.0137072,0.0787111,0.174145
no-engine,NLO,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,x,164.13,180,6.69593,38.655,0.465608,0.301023,1.54675
no-engine,NLO,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,y,31.705,180,1.51042,27.095,0.464082,0,nan
no-engine,NLO,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,z,133.87,134,2.30321,23.985,0.141845,0.566319,0.250468
no-engine,TFG,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,x,71.795,150.905,2.46676,52.48,0.096316,0.301023,0.319962
no-engine,TFG,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,y,64.315,180,0.351394,42.67,0.0583043,0,nan
no-engine,TFG,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,z,107.595,102.645,5.28156,72.075,0.0787484,0.566319,0.139053
no-engine,PII,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,z,61.665,60.09,1.29224,32.51,0.106348,0.566319,0.187787
no-engine,OU-II,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,x,41.405,162.06,0.550308,36.255,0.127031,0.301023,0.421998
no-engine,OU-II,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,y,0,180,0.1423,124.1,0.0698558,0,nan
no-engine,OU-II,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,z,180,180,10.9867,109.25,0.134428,0.566319,0.237371
no-engine,OU-III,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,x,150.91,155.99,0.825092,40.505,0.0982948,0.301023,0.326535
no-engine,OU-III,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,y,126.215,180,0.228483,124.27,0.083046,0,nan
no-engine,OU-III,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,z,165.59,159.735,4.43037,69.6,0.0783191,0.566319,0.138295
no-engine,NLO,wave_data_gerstner_H4.000_L112.766_A0.00_P30.00,x,149.565,180,9.18616,46.545,1.5839,1.07262,1.47666
no-engine,NLO,wave_data_gerstner_H4.000_L112.766_A0.00_P30.00,y,129.39,180,28.0012,24.335,1.60404,0,nan
no-engine,NLO,wave_data_gerstner_H4.000_L112.766_A0.00_P30.00,z,76.875,76.85,5.91282,15.505,0.373912,1.46764,0.25477
no-engine,TFG,wave_data_gerstner_H4.000_L112.766_A0.00_P30.00,x,163.535,170.95,13.3964,62.39,0.339084,1.07262,0.316126
no-engine,TFG,wave_data_gerstner_H4.000_L112.766_A0.00_P30.00,y,136.235,180,2.011,45.41,0.179747,0,nan
no-engine,TFG,wave_data_gerstner_H4.000_L112.766_A0.00_P30.00,z,131.4,126.805,13.6089,75.35,0.199413,1.46764,0.135873
no-engine,PII,wave_data_gerstner_H4.000_L112.766_A0.00_P30.00,z,58.195,60.06,3.37702,4.055,0.40242,1.46764,0.274195
no-engine,OU-II,wave_data_gerstner_H4.000_L112.766_A0.00_P30.00,x,61.52,168.185,1.94463,38.635,0.440157,1.07262,0.410356
no-engine,OU-II,wave_data_gerstner_H4.000_L112.766_A0.00_P30.00,y,166.98,180,0.386226,169.33,0.165013,0,nan
no-engine,OU-II,wave_data_gerstner_H4.000_L112.766_A0.00_P30.00,z,180,180,28.9541,126.26,0.347607,1.46764,0.236847
no-engine,OU-III,wave_data_gerstner_H4.000_L112.766_A0.00_P30.00,x,65.185,152.23,3.84492,44.84,0.326751,1.07262,0.304629
no-engine,OU-III,wave_data_gerstner_H4.000_L112.766_A0.00_P30.00,y,0,180,0.538454,50.075,0.22553,0,nan
no-engine,OU-III,wave_data_gerstner_H4.000_L112.766_A0.00_P30.00,z,180,180,10.8075,86.945,0.201909,1.46764,0.137574
no-engine,NLO,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,x,102.555,180,15.0552,63.34,3.82479,2.55543,1.49673
no-engine,NLO,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,y,146.635,180,43.6898,22.79,3.92997,0,nan
no-engine,NLO,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,z,100.89,111.19,7.87508,22.98,0.79706,3.06513,0.260041
no-engine,TFG,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,x,180,180,48.3122,73.195,0.835911,2.55543,0.327111
no-engine,TFG,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,y,180,180,13.9245,79.325,0.57508,0,nan
no-engine,TFG,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,z,180,157.335,26.3219,86.855,0.388108,3.06513,0.126621
no-engine,PII,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,z,50.485,60.725,7.55896,5.335,1.01186,3.06513,0.330119
no-engine,OU-II,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,x,91.195,180,5.24315,47.63,1.08812,2.55543,0.425806
no-engine,OU-II,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,y,171.24,180,0.779721,171.21,0.322536,0,nan
no-engine,OU-II,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,z,180,180,44.0423,131.835,0.722298,3.06513,0.23565
no-engine,OU-III,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,x,73.82,167.955,10.1931,49.89,0.795243,2.55543,0.311197
no-engine,OU-III,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,y,171.845,180,1.35021,49.805,0.475318,0,nan
no-engine,OU-III,wave_data_gerstner_H8.500_L202.839_A0.00_P72.00,z,180,180,25.2146,116.955,0.408054,3.06513,0.133128
no-engine,NLO,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,x,180,180,8.01583,42.365,0.391287,0.0309639,12.6369
no-engine,NLO,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,y,36.525,180,1.36567,23.45,0.381586,0,nan
no-engine,NLO,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,z,180,180,1.37886,26.005,0.0594239,0.0522241,1.13786
no-engine,TFG,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,x,158.06,180,0.241797,47.565,0.0270838,0.0309639,0.874689
no-engine,TFG,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,y,165.9,180,0.119788,124.645,0.017757,0,nan
no-engine,TFG,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,z,140.4,160.99,2.30186,56.78,0.0236376,0.0522241,0.452617
no-engine,PII,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,z,151.985,180,1.02741,18.195,0.0269298,0.0522241,0.515658
no-engine,OU-II,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,x,0,180,0.0465969,41.785,0.0309088,0.0309639,0.998221
no-engine,OU-II,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,y,164.745,180,0.000962014,119.055,0.000110251,0,nan
no-engine,OU-II,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,z,125.35,180,0.250722,42.945,0.0501256,0.0522241,0.959816
no-engine,OU-III,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,x,0,180,0.124823,42.925,0.043284,0.0309639,1.39789
no-engine,OU-III,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,y,123.52,180,0.0328688,119.36,0.0112241,0,nan
no-engine,OU-III,wave_data_cnoidal_H0.270_L14.047_A0.00_P60.00,z,137.265,174.575,0.803168,49.785,0.0262746,0.0522241,0.503112
no-engine,NLO,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,x,114.9,180,13.4977,66.73,2.65355,0.23015,11.5296
no-engine,NLO,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,y,0,180,2.96701,180,2.46103,0,nan
no-engine,NLO,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,z,169.53,180,1.59538,37.105,0.242211,0.27224,0.889699
no-engine,TFG,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,x,59.605,180,1.08025,53.34,0.19121,0.23015,0.830804
no-engine,TFG,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,y,0,180,0.183506,163.135,0.0827812,0,nan
no-engine,TFG,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,z,116.275,129.215,6.00677,76.93,0.111554,0.27224,0.409765
no-engine,PII,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,z,100.975,180,1.02829,24.78,0.235419,0.27224,0.864748
no-engine,OU-II,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,x,0,180,0.340116,49.74,0.234322,0.23015,1.01813
no-engine,OU-II,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,y,0,180,0.00187262,120.455,0.00115626,0,nan
no-engine,OU-II,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,z,0,180,0.552065,115.02,0.27136,0.27224,0.996769
no-engine,OU-III,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,x,0,180,0.82255,50.2,0.438293,0.23015,1.90438
no-engine,OU-III,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,y,0,180,0.0487046,156.78,0.0220045,0,nan
no-engine,OU-III,wave_data_cnoidal_H1.500_L50.710_A0.00_P120.00,z,120.77,180,1.22314,49.555,0.374412,0.27224,1.3753
no-engine,NLO,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,x,0,180,16.8351,134.835,10.4334,0.659042,15.8312
no-engine,NLO,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,y,0,180,3.9713,142.86,8.58836,0,nan
no-engine,NLO,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,z,43.29,147.585,1.82537,38.21,0.588966,0.713866,0.825037
no-engine,TFG,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,x,150.965,180,6.06671,62.885,0.590342,0.659042,0.895759
no-engine,TFG,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,y,0,180,0.551387,63.005,0.247854,0,nan
no-engine,TFG,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,z,170.48,180,13.7576,86.475,0.293828,0.713866,0.411602
no-engine,PII,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,z,0,180,1.39886,20.695,0.77671,0.713866,1.08803
no-engine,OU-II,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,x,0,180,0.979469,143.43,0.682593,0.659042,1.03574
no-engine,OU-II,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,y,0,180,0.00471745,154.155,0.00372963,0,nan
no-engine,OU-II,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,z,0,180,1.40239,104.885,0.744814,0.713866,1.04335
no-engine,OU-III,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,x,0,180,1.91612,66.725,1.19344,0.659042,1.81088
no-engine,OU-III,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,y,0,180,0.0941379,122.97,0.0668616,0,nan
no-engine,OU-III,wave_data_cnoidal_H4.000_L112.766_A0.00_P30.00,z,0,180,2.9474,132.26,1.34933,0.713866,1.89018
no-engine,NLO,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,x,162.55,171.35,9.87763,45.665,1.85308,1.41758,1.30722
no-engine,NLO,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,y,18.67,180,4.6123,16.235,1.91193,0,nan
no-engine,NLO,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,z,0,180,2.9266,30.99,1.27791,1.47382,0.867074
no-engine,TFG,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,x,73.335,180,11.241,63.365,2.01453,1.41758,1.42111
no-engine,TFG,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,y,83.685,180,1.01888,63.085,0.347007,0,nan
no-engine,TFG,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,z,180,180,19.2851,85.485,0.792014,1.47382,0.537389
no-engine,PII,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,z,0,180,2.85365,91.55,1.87895,1.47382,1.27488
no-engine,OU-II,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,x,0,180,2.05343,71.24,1.46641,1.41758,1.03445
no-engine,OU-II,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,y,0,180,0.00497215,71.11,0.00294267,0,nan
no-engine,OU-II,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,z,0,180,2.80559,52.485,1.61559,1.47382,1.0962
no-engine,OU-III,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,x,0,180,3.58709,71.285,2.28153,1.41758,1.60946
no-engine,OU-III,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,y,0,180,0.0978477,164.01,0.0934838,0,nan
no-engine,OU-III,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,z,0,180,5.02244,55.345,3.38586,1.47382,2.29734
no-engine,NLO,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,x,180,180,7.82732,42.7749,0.0573738,0.0158745,3.6142
no-engine,NLO,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,y,180,180,2.14475,23.2741,0.0541627,0,nan
no-engine,NLO,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,z,180,180,1.59403,28.8232,0.0214324,0.078717,0.272272
no-engine,TFG,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,x,143.705,180,0.170184,42.7499,0.0111991,0.0158745,0.705475
no-engine,TFG,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,y,123.227,180,0.0602768,36.5736,0.010229,0,nan
no-engine,TFG,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,z,83.6737,82.6942,0.904539,66.698,0.0138951,0.078717,0.17652
no-engine,PII,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,z,180,180,1.30149,15.5803,0.010658,0.078717,0.135396
no-engine,OU-II,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,x,148.389,180,0.0519791,83.3788,0.0154342,0.0158745,0.972263
no-engine,OU-II,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,y,125.721,180,0.0353006,79.331,0.00963775,0,nan
no-engine,OU-II,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,z,149.1,149.335,2.66095,94.5877,0.0214786,0.078717,0.272858
no-engine,OU-III,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,x,150.782,180,0.0489574,81.2,0.0107737,0.0158745,0.678681
no-engine,OU-III,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,y,125.276,180,0.0426562,79.2111,0.0106592,0,nan
no-engine,OU-III,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,z,138.605,137.869,1.15956,91.9441,0.0135663,0.078717,0.172343
no-engine,NLO,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,x,173.644,180,7.76845,41.3996,0.461036,0.299977,1.5369
no-engine,NLO,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,y,72.175,180,1.63494,58.3133,0.460486,0,nan
no-engine,NLO,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,z,25.2038,25.3737,1.12216,3.43503,0.140498,0.566739,0.247906
no-engine,TFG,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,x,85.9874,153.034,3.00897,52.402,0.0936635,0.299977,0.312235
no-engine,TFG,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,y,43.215,180,0.338042,38.364,0.0576786,0,nan
no-engine,TFG,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,z,106.606,99.7748,5.5787,70.0711,0.0773407,0.566739,0.136466
no-engine,PII,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,z,110.724,93.3583,2.00006,12.8952,0.103196,0.566739,0.182088
no-engine,OU-II,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,x,41.4296,163.204,0.539671,36.0685,0.126029,0.299977,0.420129
no-engine,OU-II,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,y,0,180,0.13379,83.4888,0.0695083,0,nan
no-engine,OU-II,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,z,180,180,10.8793,111.563,0.133549,0.566739,0.235645
no-engine,OU-III,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,x,53.7723,153.079,0.921574,40.1344,0.0960003,0.299977,0.320025
no-engine,OU-III,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,y,0,180,0.212769,140.266,0.082527,0,nan
no-engine,OU-III,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,z,164.47,158.634,4.22517,67.2277,0.0767322,0.566739,0.135392
no-engine,NLO,wave_data_fenton_H4.000_L112.766_A0.00_P30.00,x,153.609,180,10.2421,42.2898,1.57657,1.06918,1.47456
no-engine,NLO,wave_data_fenton_H4.000_L112.766_A0.00_P30.00,y,174.52,180,35.825,24.5939,1.5668,0,nan
