family,rpm,arm,dir_axis_abs_error_deg,dir_axis_available_pct,dir_travel_rmse_deg,dir_travel_correct_pct,dir_travel_wrong_pct,dir_travel_unresolved_pct
OU-II,0,unconditioned,11.6954917775,76.1575003325,19.5478829125,71.81402988125001,0.4138888903,27.772083585
OU-II,0,guard-only,11.6954917775,76.1575003325,19.5478829125,71.81402988125001,0.4138888903,27.772083585
OU-II,0,guard-and-rao,2.36092949,73.020971565125,16.3529830875,69.595418865175,0.23229166503749998,30.17229269125
OU-II,2400,unconditioned,52.462768575,85.0905552,91.436733675,6.6300001237499995,4.3738195,88.99618244999999
OU-II,2400,guard-only,11.23970793625,75.30756927,25.606974587499998,64.08354436625,0.7347916848375,35.181667675
OU-II,2400,guard-and-rao,17.76266765875,72.625554865,nan,68.2264604625,0.23701389646249998,31.536528
OU-III,0,unconditioned,11.74316406625,75.979722745,19.6439408125,71.79284882625,0.415625004125,27.791528043750002
OU-III,0,guard-only,11.74316406625,75.979722745,19.6439408125,71.79284882625,0.415625004125,27.791528043750002
OU-III,0,guard-and-rao,2.157459259625,72.953124359,15.930656283625,69.45750138591251,0.2138194516,30.32868159
OU-III,2400,unconditioned,47.6480112175,77.496388075,88.495618325,5.78750024625,2.376666724125,91.8358345
OU-III,2400,guard-only,10.98478316375,75.09215236874999,22.9854688625,64.32847361,0.8077083473625001,34.863820187500004
OU-III,2400,guard-and-rao,18.7025823525,72.55472229175,nan,68.1259040875,0.2256944533625,31.64840311
