family,tuning_mode,aw_cov_sync,input,window_s,samples,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,disp_x_pct_hs,disp_y_pct_hs,disp_z_pct_hs,disp_3d_pct_refmax,disp_z_ref_rms_m,disp_z_pct_refrms,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,dir_travel_error_deg,dir_travel_rmse_deg,dir_travel_correct_pct,dir_travel_wrong_pct,dir_travel_unresolved_pct,dir_axis_mean_deg,dir_axis_truth_deg,dir_axis_error_deg,dir_axis_rmse_deg,dir_axis_circ_std_deg,dir_sense_forward_pct,dir_sense_reverse_pct,dir_sense_uncertain_pct,dir_sense_dominant_pct,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2,tuning_applied,wave_period_s,frequency_hz,period_s,accel_variance_m2ps4,dir_axis_abs_error_deg,dir_travel_abs_error_deg,hs_m,rpm,arm,regression_exit_code
OU-II,adaptive,periodic,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0898532122,0.0529651754,0.0956869349,0.141544685,5.99021387,3.53101158,6.37912893,10.6802874,0.390963972,24.474617,0.357743055,0.884866834,2.77229357,18.1634712,33.0182571,61.9994469,1.78888893,36.2116661,-7.62957764,-30.0,22.3704224,26.5590591,13.819582,1.78888893,61.9994469,36.2116661,61.9994469,0.16266498,0.000120568038,2.5071907,0.37434718,2.35314822,4.98975801,0.307812005,4.320961,0.257863283,22.3704224,18.1634712,1.5,2400,guard-only,1
OU-II,adaptive,periodic,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0898532122,0.0529651754,0.0956869349,0.141544685,5.99021387,3.53101158,6.37912893,10.6802874,0.390963972,24.474617,0.357743055,0.884866834,2.77229357,16.2517719,34.991703,75.4800034,2.68444443,21.835556,-8.20542908,-30.0,21.7945709,29.1367283,18.8408146,3.1811111,74.9833374,21.835556,74.9833374,0.16266498,0.000120568038,2.5071907,0.37434718,2.35314822,4.98975801,0.307812005,4.320961,0.257863283,21.7945709,16.2517719,1.5,2400,guard-and-rao,1
OU-II,adaptive,periodic,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.27810806,0.176361755,0.255068898,0.41654256,6.95270157,4.40904379,6.37672234,10.0976057,1.04307246,24.4536114,0.195218831,0.175706059,0.653485656,-8.26054287,15.4576283,95.4316711,0.0677777827,4.50055552,21.4407043,30.0,-8.55929565,15.7039232,12.9569511,0.0677777827,95.4316711,4.50055552,95.4316711,0.0438769646,0.000124070357,3.9375577,0.793858051,12.3082619,7.83341837,0.200000003,5.0,0.859677911,8.55929565,8.26054287,4.0,0,unconditioned,0
OU-II,adaptive,periodic,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.27810806,0.176361755,0.255068898,0.41654256,6.95270157,4.40904379,6.37672234,10.0976057,1.04307246,24.4536114,0.195218831,0.175706059,0.653485656,-8.26054287,15.4576283,95.4316711,0.0677777827,4.50055552,21.4407043,30.0,-8.55929565,15.7039232,12.9569511,0.0677777827,95.4316711,4.50055552,95.4316711,0.0438769646,0.000124070357,3.9375577,0.793858051,12.3082619,7.83341837,0.200000003,5.0,0.859677911,8.55929565,8.26054287,4.0,0,guard-only,0
OU-II,adaptive,periodic,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.27810806,0.176361755,0.255068898,0.41654256,6.95270157,4.40904379,6.37672234,10.0976057,1.04307246,24.4536114,0.195218831,0.175706059,0.653485656,-1.16424358,17.5537682,95.2422256,0.232222229,4.52555561,28.3647461,30.0,-1.63525391,17.6040897,16.7986584,8.4422226,87.0322266,4.52555561,87.0322266,0.0438769646,0.000124070357,3.9375577,0.793858051,12.3082619,7.83341837,0.200000003,5.0,0.859677911,1.63525391,1.16424358,4.0,0,guard-and-rao,0
OU-II,adaptive,periodic,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,13.462719,13.5863085,6.31111336,20.1410713,336.567963,339.657715,157.777832,488.249268,1.04307246,605.050293,10.0719891,5.57205772,103.372581,29.2993793,36.5080261,3.468889,0.0794444457,96.4516678,60.6374664,30.0,30.6374664,31.6839981,8.15521908,0.0794444457,3.468889,96.4516678,3.468889,0.498046577,0.237894103,3.937428,0.79490304,12.3236513,7.83277178,0.200000003,5.0,0.860014021,30.6374664,29.2993793,4.0,2400,unconditioned,1
OU-II,adaptive,periodic,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.300905943,0.177145019,0.248896912,0.428805798,7.52264881,4.42862558,6.2224226,10.3948851,1.04307246,23.8619003,0.309588999,0.719665051,3.19888258,-9.2411232,24.5754299,78.003891,1.24333334,20.752779,19.8309784,30.0,-10.1690216,16.6698151,13.0745106,78.003891,1.24333334,20.752779,78.003891,0.134900913,0.000134377435,3.9378922,0.794411361,12.3189335,7.83585787,0.200000003,5.0,0.860237896,10.1690216,9.2411232,4.0,2400,guard-only,1
OU-II,adaptive,periodic,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.300905943,0.177145019,0.248896912,0.428805798,7.52264881,4.42862558,6.2224226,10.3948851,1.04307246,23.8619003,0.309588999,0.719665051,3.19888258,-4.75283766,18.8725224,92.8283386,0.446666688,6.72500038,24.0792542,30.0,-5.92074585,16.519331,15.143877,0.446666688,92.8283386,6.72500038,92.8283386,0.134900913,0.000134377435,3.9378922,0.794411361,12.3189335,7.83585787,0.200000003,5.0,0.860237896,5.92074585,4.75283766,4.0,2400,guard-and-rao,1
OU-II,adaptive,periodic,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.64663738,0.451568335,0.521815777,0.94569844,7.60749865,5.31256866,6.139009,12.4501839,2.15460348,24.218647,0.42242527,0.248624191,0.63206327,9.45660114,24.5665932,91.6733322,0.807777822,7.51888895,-20.1768494,-30.0,9.82315063,21.4561119,18.7160931,91.6733322,0.807777822,7.51888895,91.6733322,0.0817779824,0.000126101062,4.4956646,1.04195726,21.0589981,9.12593937,0.200000003,5.0,1.49710143,9.82315063,9.45660114,8.5,0,unconditioned,1
OU-II,adaptive,periodic,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.64663738,0.451568335,0.521815777,0.94569844,7.60749865,5.31256866,6.139009,12.4501839,2.15460348,24.218647,0.42242527,0.248624191,0.63206327,9.45660114,24.5665932,91.6733322,0.807777822,7.51888895,-20.1768494,-30.0,9.82315063,21.4561119,18.7160931,91.6733322,0.807777822,7.51888895,91.6733322,0.0817779824,0.000126101062,4.4956646,1.04195726,21.0589981,9.12593937,0.200000003,5.0,1.49710143,9.82315063,9.45660114,8.5,0,guard-only,1
