family,arm,engine,seed,record,live_s,seed_mps2,true_bz_at_live_mps2,x_startup_rms_m,x_gated_rms_m,x_ref_gated_rms_m,y_startup_rms_m,y_gated_rms_m,y_ref_gated_rms_m,z_startup_rms_m,z_gated_rms_m,z_ref_gated_rms_m,z_peak_300_m,z_ref_startup_rms_m,roll_startup_rms_deg,roll_gated_rms_deg,pitch_startup_rms_deg,pitch_gated_rms_deg,yaw_startup_rms_deg,yaw_gated_rms_deg
OU-II,seed,off,23,fenton_H0.270,31.8377,-0.017089,-0.048821,0.0148765,0.0153812,0.0158745,0.0100579,0.00891533,0,0.715674,0.0202155,0.078717,1.20089,0.0787619,0.545642,0.62622,0.0669052,0.0774865,3.12537,2.56346
OU-II,seed,off,23,fenton_H1.500,31.8377,-0.01314,-0.048821,0.147926,0.125353,0.299977,0.0596022,0.0624606,0,4.76424,0.128573,0.566739,7.96099,0.566402,0.551171,0.639156,0.140003,0.0701299,3.05052,2.489
OU-II,seed,off,23,fenton_H4.000,33.738,-0.00350475,-0.0485361,0.673876,0.436814,1.06918,0.131927,0.143947,0,14.0917,0.337535,1.46837,26.833,1.471,0.546441,0.63405,0.44244,0.0951381,3.0568,2.54236
OU-II,seed,off,23,fenton_H8.500,35.4234,-0.0227997,-0.0480389,2.10966,1.08373,2.5493,0.279997,0.281992,0,14.0946,0.710584,3.06624,26.0311,3.08274,0.549177,0.64419,0.93194,0.0830755,3.09687,2.41019
OU-II,seed,off,23,jonswap_H0.270,31.8377,-0.0111031,-0.0488114,0.00827666,0.00829216,0.00935647,0.00764296,0.00636067,0.00416604,0.572815,0.0155238,0.0534438,0.954353,0.0544531,0.542383,0.691459,0.0618231,0.0803818,3.1777,1.76179
OU-II,seed,off,23,jonswap_H1.500,31.8377,-0.010505,-0.0488114,0.0798332,0.0841271,0.164757,0.0536114,0.0562253,0.0717971,3.62029,0.0967606,0.390972,6.39948,0.352913,0.549684,0.629022,0.0843277,0.076964,3.14176,2.19544
OU-II,seed,off,23,jonswap_H4.000,31.8377,-0.0104845,-0.0488114,0.239193,0.266147,0.588407,0.174371,0.171002,0.311768,8.20549,0.24471,1.04309,14.1489,0.831127,0.555285,0.668282,0.126012,0.0855679,2.93023,0.654611
OU-II,seed,off,23,jonswap_H8.500,31.8377,-0.0199656,-0.0488114,0.673683,0.635082,1.3709,0.431949,0.426569,0.834738,13.5701,0.519,2.15464,26.6561,1.74296,0.541156,0.659905,0.320902,0.084995,3.29661,2.12513
OU-II,seed,off,23,pmstokes_H0.270,31.8377,-0.011024,-0.0488114,0.0083539,0.00804055,0.00881326,0.00758845,0.00619888,0.00430301,0.549668,0.0151327,0.0499133,0.975302,0.0498557,0.542126,0.69018,0.0615767,0.0784684,3.17846,1.7704
OU-II,seed,off,23,pmstokes_H1.500,31.8377,-0.0059462,-0.0488114,0.0751011,0.0802489,0.15315,0.0523603,0.0549841,0.0700072,3.57852,0.0945841,0.385566,6.21069,0.347642,0.550361,0.62459,0.0817422,0.0821823,3.14967,2.2284
OU-II,seed,off,23,pmstokes_H4.000,31.8377,-0.00332181,-0.0488114,0.245025,0.255542,0.560845,0.169602,0.169081,0.299666,9.0239,0.240805,1.04038,15.4838,0.84498,0.555556,0.671058,0.136722,0.0879721,2.90584,0.484437
OU-II,seed,off,23,pmstokes_H8.500,31.8377,-0.0178922,-0.0488114,0.743125,0.622477,1.35069,0.443719,0.410801,0.791527,12.6755,0.512252,2.16784,24.923,1.78784,0.542117,0.671902,0.329576,0.0889101,3.27188,2.27715
OU-II,seed,off,202,gerstner_H0.270,31.8377,-0.016778,-0.0581087,0.0151123,0.0153453,0.0159078,0.00996917,0.00883435,0,0.897227,0.0205553,0.078711,1.43213,0.0788203,0.232897,0.31552,0.269872,0.253314,0.212644,1.10628
OU-II,seed,off,202,gerstner_H1.500,31.8377,-0.020202,-0.0581087,0.146991,0.124635,0.301023,0.0562279,0.0593592,0,5.05033,0.131304,0.566316,8.38218,0.567006,0.233645,0.324211,0.327272,0.278529,0.421101,1.21397
OU-II,seed,off,202,gerstner_H4.000,33.4829,-0.0270391,-0.058146,0.679086,0.433144,1.07262,0.118942,0.134753,0,9.62244,0.343531,1.46764,18.2904,1.4709,0.230439,0.324459,0.464861,0.290623,0.796035,1.22159
OU-II,seed,off,202,gerstner_H8.500,35.7084,-0.00621721,-0.0575635,2.13886,1.07914,2.55542,0.251078,0.256527,0,23.7057,0.725516,3.06514,47.4805,3.08196,0.237872,0.323719,1.00319,0.285953,1.67873,1.1961
OU-II,seed,off,202,cnoidal_H0.270,31.8377,-0.0193957,-0.0581087,0.031072,0.0309006,0.030964,0.000122026,9.79141e-05,0,0.0768746,0.0501468,0.0522243,0.184681,0.052182,0.227148,0.292543,0.283904,1.28528,0.388065,4.07953
OU-II,seed,off,202,cnoidal_H1.500,31.8377,-0.019619,-0.0581087,0.234776,0.234233,0.230151,0.000466898,0.00102692,0,0.283595,0.27137,0.272238,0.516394,0.271661,0.228225,0.300857,0.272743,2.09583,0.400164,6.35365
OU-II,seed,off,202,cnoidal_H4.000,38.554,-0.0357736,-0.0564041,0.683718,0.682505,0.659043,0.00126339,0.00338681,0,0.710923,0.744744,0.713867,1.28438,0.710129,0.228232,0.30446,0.584991,2.06065,2.10883,5.64213
OU-II,seed,off,202,cnoidal_H8.500,37.2388,-0.00421736,-0.0571982,1.45099,1.4663,1.41758,0.00125961,0.00216221,0,1.62204,1.61546,1.47381,2.87585,1.49164,0.219595,0.31592,0.550121,0.978081,1.5999,1.99667
OU-II,seed,off,202,fenton_H0.270,31.8377,-0.0245877,-0.0581183,0.0152056,0.0153027,0.0158745,0.0102916,0.00879868,0,0.790854,0.0205449,0.078717,1.32589,0.0787619,0.233334,0.31666,0.258149,0.24436,0.225461,1.08052
OU-II,seed,off,202,fenton_H1.500,31.8377,-0.0205618,-0.0581183,0.146576,0.123843,0.299977,0.0566195,0.0599451,0,4.98514,0.13054,0.566739,8.32766,0.566402,0.234611,0.325736,0.273585,0.265472,0.367428,1.18642
OU-II,seed,off,202,fenton_H4.000,32.6828,-0.0125422,-0.0585043,0.622662,0.430573,1.06918,0.128828,0.134471,0,14.2389,0.340763,1.46837,26.9602,1.471,0.235218,0.320543,0.590164,0.255068,0.787799,1.14467
OU-II,seed,off,202,fenton_H8.500,35.4434,-0.030976,-0.057378,2.09723,1.06821,2.5493,0.223202,0.262459,0,14.4947,0.715077,3.06624,26.8108,3.08274,0.233502,0.329531,1.04868,0.320678,1.20539,1.27524
OU-II,seed,off,202,jonswap_H0.270,31.8377,-0.0185892,-0.0581087,0.0084079,0.00824576,0.00935647,0.00728416,0.00634038,0.00416604,0.656693,0.0157521,0.0534438,1.08105,0.0544531,0.233195,0.385136,0.262089,0.238214,0.258552,0.607752
OU-II,seed,off,202,jonswap_H1.500,31.8377,-0.017942,-0.0581087,0.0784201,0.0831399,0.164757,0.0512307,0.0554718,0.0717971,3.77391,0.097019,0.390972,6.65644,0.352913,0.235817,0.315106,0.270704,0.260606,0.48601,1.02996
OU-II,seed,off,202,jonswap_H4.000,31.8377,-0.0176901,-0.0581087,0.239242,0.263704,0.588407,0.179102,0.170893,0.311768,8.58624,0.248339,1.04309,14.802,0.831127,0.242762,0.356246,0.300764,0.257679,0.305698,0.730753
OU-II,seed,off,202,jonswap_H8.500,31.8377,-0.027343,-0.0581087,0.669037,0.625895,1.3709,0.422432,0.423224,0.834738,14.3593,0.518822,2.15464,28.2054,1.74296,0.245538,0.343237,0.436101,0.292602,0.811357,1.14952
OU-II,seed,off,202,pmstokes_H0.270,31.8377,-0.0185106,-0.0581087,0.00844913,0.00801786,0.00881326,0.0070785,0.00618171,0.00430301,0.636236,0.0153218,0.0499133,1.10557,0.0498557,0.233065,0.382875,0.262256,0.241779,0.239187,0.727879
OU-II,seed,off,202,pmstokes_H1.500,31.8377,-0.0133748,-0.0581087,0.0738027,0.0794217,0.15315,0.050199,0.0543252,0.0700072,3.71923,0.0947803,0.385566,6.45066,0.347642,0.236656,0.311062,0.27071,0.255297,0.482375,1.07621
OU-II,seed,off,202,pmstokes_H4.000,31.8377,-0.0104551,-0.0581087,0.244163,0.252882,0.560845,0.173594,0.168908,0.299666,9.38857,0.244565,1.04038,16.1102,0.84498,0.243841,0.358061,0.308973,0.254808,0.278904,0.914552
OU-II,seed,off,202,pmstokes_H8.500,31.8377,-0.0252461,-0.0581087,0.738326,0.613592,1.35069,0.430445,0.406776,0.791527,13.3946,0.51235,2.16784,26.3243,1.78784,0.252745,0.353712,0.439226,0.287713,0.863002,1.31027
OU-II,seed,off,3033,gerstner_H0.270,31.8377,-0.0157762,-0.0569939,0.0154527,0.0154002,0.0159078,0.00968337,0.00896357,0,0.885468,0.0202175,0.078711,1.41073,0.0788203,0.027971,0.103732,0.0603344,0.0735859,4.72381,5.44822
OU-II,seed,off,3033,gerstner_H1.500,31.8377,-0.0191454,-0.0569939,0.149536,0.126264,0.301023,0.0574627,0.064688,0,5.02246,0.129254,0.566316,8.33557,0.567006,0.032515,0.109648,0.159318,0.0662526,4.79991,5.51968
OU-II,seed,off,3033,gerstner_H4.000,32.7428,-0.023622,-0.0573191,0.639423,0.438511,1.07262,0.151084,0.163464,0,10.3861,0.339786,1.46764,19.5895,1.4709,0.0399263,0.111072,0.441358,0.0683885,4.78553,5.53449
OU-II,seed,off,3033,gerstner_H8.500,35.7134,-0.00526544,-0.0564409,2.13327,1.09196,2.55542,0.369942,0.337021,0,23.5412,0.72047,3.06514,47.165,3.08196,0.0566057,0.113706,1.02285,0.0915607,4.9753,5.48696
OU-II,seed,off,3033,cnoidal_H0.270,31.8377,-0.0183934,-0.0569939,0.0310949,0.0309224,0.030964,0.000130269,0.000111988,0,0.0758149,0.0501467,0.0522243,0.181265,0.052182,0.0255896,0.0906639,0.0687514,1.00755,4.7669,7.77051
OU-II,seed,off,3033,cnoidal_H1.500,31.8377,-0.0185946,-0.0569939,0.234914,0.234378,0.230151,0.000890477,0.00153837,0,0.283399,0.271423,0.272238,0.516449,0.271661,0.0260391,0.0996716,0.262279,1.82534,4.68353,9.63859
OU-II,seed,off,3033,cnoidal_H4.000,38.519,-0.034712,-0.0552206,0.683915,0.682629,0.659043,0.00273779,0.00565755,0,0.711046,0.744895,0.713867,1.2853,0.710129,0.0245864,0.102273,0.413042,1.78644,4.95759,9.53214
OU-II,seed,off,3033,cnoidal_H8.500,37.2388,-0.00302434,-0.0560834,1.45069,1.46598,1.41758,0.00428289,0.00583238,0,1.62191,1.61549,1.47381,2.87582,1.49164,0.0233824,0.113046,0.530669,0.793431,5.36534,6.65464
OU-II,seed,off,3033,fenton_H0.270,31.8377,-0.023605,-0.0570035,0.0154833,0.0153597,0.0158745,0.0100027,0.00892368,0,0.777632,0.0202097,0.078717,1.30374,0.0787619,0.0282446,0.10399,0.0698964,0.0813209,4.71641,5.42526
OU-II,seed,off,3033,fenton_H1.500,31.8377,-0.0196777,-0.0570035,0.148187,0.125498,0.299977,0.0591621,0.0650979,0,4.93316,0.128446,0.566739,8.2423,0.566402,0.0347822,0.111055,0.143335,0.0750214,4.74756,5.49656
OU-II,seed,off,3033,fenton_H4.000,38.9841,-0.0254796,-0.0562096,0.650584,0.436193,1.06918,0.138182,0.162426,0,8.60519,0.337329,1.46837,17.3764,1.471,0.0453763,0.108283,0.980757,0.0894935,5.29451,5.45363
OU-II,seed,off,3033,fenton_H8.500,35.4434,-0.0298705,-0.0562632,2.11536,1.08142,2.5493,0.240589,0.342875,0,14.4072,0.710116,3.06624,26.6371,3.08274,0.0596161,0.117265,0.94632,0.0823136,5.00017,5.56479
OU-II,seed,off,3033,jonswap_H0.270,31.8377,-0.0175912,-0.0569939,0.00885791,0.0083554,0.00935647,0.00710925,0.00633634,0.00416604,0.64455,0.0156382,0.0534438,1.06408,0.0544531,0.0294666,0.175295,0.0621945,0.0806668,4.4046,2.85152
OU-II,seed,off,3033,jonswap_H1.500,31.8377,-0.0170211,-0.0569939,0.0792747,0.0832756,0.164757,0.0494632,0.0547003,0.0717971,3.74431,0.0952086,0.390972,6.60401,0.352913,0.0505185,0.101332,0.0834769,0.0767947,4.46379,2.9541
OU-II,seed,off,3033,jonswap_H4.000,31.8377,-0.0169047,-0.0569939,0.247461,0.267886,0.588407,0.190621,0.172644,0.311768,8.47764,0.247702,1.04309,14.6247,0.831127,0.0639647,0.143631,0.123593,0.0869039,4.34688,1.86166
OU-II,seed,off,3033,jonswap_H8.500,31.8377,-0.0264059,-0.0569939,0.682851,0.629931,1.3709,0.419477,0.415372,0.834738,14.2175,0.513683,2.15464,27.9354,1.74296,0.14117,0.133818,0.31718,0.0829119,4.35625,2.754
OU-II,seed,off,3033,pmstokes_H0.270,31.8377,-0.0175156,-0.0569939,0.00895136,0.00812775,0.00881326,0.00677366,0.00619651,0.00430301,0.624098,0.0152337,0.0499133,1.08849,0.0498557,0.0293605,0.173052,0.0621018,0.0788982,4.43022,3.14986
OU-II,seed,off,3033,pmstokes_H1.500,31.8377,-0.0124416,-0.0569939,0.0748451,0.0797003,0.15315,0.0483463,0.0536253,0.0700072,3.69385,0.0929729,0.385566,6.40665,0.347642,0.0484727,0.0975256,0.0797307,0.0812428,4.43426,2.72945
OU-II,seed,off,3033,pmstokes_H4.000,31.8377,-0.00967567,-0.0569939,0.25058,0.256812,0.560845,0.183658,0.170548,0.299666,9.28489,0.243749,1.04038,15.9442,0.84498,0.0720222,0.146068,0.134939,0.0891554,4.30262,2.05597
OU-II,seed,off,3033,pmstokes_H8.500,31.8377,-0.0243243,-0.0569939,0.750463,0.617111,1.35069,0.420074,0.396058,0.791527,13.2705,0.506414,2.16784,26.079,1.78784,0.166105,0.144274,0.326,0.0855253,4.37766,2.55706
OU-II,seed,on,default,gerstner_H0.270,31.8377,0.0696127,0.0482045,0.0177679,0.0138117,0.0159078,0.0121989,0.0082022,0,0.192407,0.022197,0.078711,0.345906,0.0788203,0.0413733,0.127943,0.12306,0.111855,1.43535,1.65266
OU-II,seed,on,default,gerstner_H1.500,31.8377,0.0659511,0.0482045,0.157657,0.13294,0.301023,0.0650713,0.0619804,0,0.679516,0.131601,0.566316,1.18263,0.567006,0.0537628,0.133029,0.155451,0.14026,1.06635,1.93429
OU-II,seed,on,default,gerstner_H4.000,51.4468,0.0730805,0.0480851,0.73676,0.462215,1.07262,0.129039,0.156714,0,2.1994,0.343393,1.46764,4.03016,1.4709,0.0707519,0.138964,1.72614,0.123718,4.40834,1.93494
OU-II,seed,on,default,gerstner_H8.500,36.0485,0.08858,0.0491839,2.22315,1.1504,2.55542,0.302656,0.312765,0,9.00915,0.714835,3.06514,15.4925,3.08196,0.0877801,0.142235,1.05761,0.136045,1.89187,1.85758
OU-II,seed,on,default,cnoidal_H0.270,33.1229,0.068709,0.0480994,0.0311441,0.0309828,0.030964,0.000190098,7.15379e-05,0,0.0514644,0.052106,0.0522243,0.079512,0.052182,0.0347721,0.135627,0.160158,0.196908,1.64235,0.923879
OU-II,seed,on,default,cnoidal_H1.500,35.7084,0.0683576,0.0493509,0.23235,0.233185,0.230151,0.000340722,0.000307582,0,0.274668,0.274861,0.272238,0.410915,0.271661,0.0351357,0.14171,0.235272,0.199079,1.76247,0.839201
OU-II,seed,on,default,cnoidal_H4.000,39.0941,0.0626571,0.0501112,0.674779,0.674311,0.659043,0.000926164,0.000921107,0,0.72497,0.729229,0.713867,1.0651,0.710129,0.0359582,0.138533,0.433636,0.463998,2.71008,1.441
OU-II,seed,on,default,cnoidal_H8.500,36.8587,0.0893724,0.049318,1.43309,1.44681,1.41758,0.00106706,0.00110561,0,1.52526,1.51133,1.47381,2.25885,1.49164,0.0335351,0.149439,0.453465,0.343045,2.26614,0.354152
OU-II,seed,on,default,fenton_H0.270,31.8377,0.0616722,0.0482048,0.0162706,0.0137065,0.0158745,0.0113847,0.00814298,0,0.100388,0.0222343,0.078717,0.189363,0.0787619,0.0398054,0.126411,0.167635,0.095276,1.17645,1.56149
OU-II,seed,on,default,fenton_H1.500,31.8377,0.0649124,0.0482048,0.164906,0.130887,0.299977,0.0580002,0.0613456,0,0.621806,0.131692,0.566739,1.08502,0.566402,0.0539616,0.13083,0.232722,0.0994071,0.960836,1.67936
OU-II,seed,on,default,fenton_H4.000,32.5427,0.0744193,0.0479514,0.62059,0.458335,1.06918,0.182069,0.15939,0,2.72518,0.33988,1.46837,4.2357,1.471,0.0740816,0.140313,0.434422,0.179732,1.30211,2.11373
OU-II,seed,on,default,fenton_H8.500,35.1833,0.0633401,0.0488922,1.99955,1.13903,2.5493,0.306171,0.311606,0,4.37396,0.706422,3.06624,6.56785,3.08274,0.0948847,0.152446,0.924114,0.187924,1.8258,2.03221
OU-II,seed,on,default,jonswap_H0.270,31.8377,0.0677754,0.0482045,0.0131681,0.0088798,0.00935647,0.0110103,0.00659522,0.00416604,0.151482,0.0184423,0.0534438,0.289176,0.0544531,0.0424282,0.17557,0.132938,0.0633839,1.13523,2.37099
OU-II,seed,on,default,jonswap_H1.500,31.8377,0.0672425,0.0482045,0.0858825,0.0867875,0.164757,0.053296,0.0577863,0.0717971,0.485395,0.0990634,0.390972,0.96163,0.352913,0.0674757,0.134928,0.1377,0.113729,1.084,3.32135
OU-II,seed,on,default,jonswap_H4.000,31.8377,0.0666314,0.0482045,0.259517,0.282315,0.588407,0.195077,0.178687,0.311768,1.2229,0.253472,1.04309,2.62072,0.831127,0.0758451,0.150951,0.162231,0.0982446,0.824597,3.78007
OU-II,seed,on,default,jonswap_H8.500,31.8377,0.0557003,0.0482045,0.696797,0.677561,1.3709,0.448773,0.458753,0.834738,1.15509,0.515301,2.15464,4.58702,1.74296,0.172861,0.222562,0.358182,0.0913033,1.22846,2.44819
OU-II,seed,on,default,pmstokes_H0.270,31.8377,0.0678499,0.0482045,0.0136016,0.0084569,0.00881326,0.011407,0.00641973,0.00430301,0.162576,0.0179026,0.0499133,0.310775,0.0498557,0.042503,0.171041,0.133945,0.0624047,1.09261,2.034
OU-II,seed,on,default,pmstokes_H1.500,31.8377,0.0717612,0.0482045,0.0812064,0.0835102,0.15315,0.0532489,0.0565168,0.0700072,0.552437,0.0962305,0.385566,0.947614,0.347642,0.0644748,0.132195,0.12644,0.101945,1.0004,3.01924
OU-II,seed,on,default,pmstokes_H4.000,31.8377,0.0730677,0.0482045,0.259211,0.275645,0.560845,0.190515,0.178946,0.299666,1.59143,0.248748,1.04038,2.85325,0.84498,0.0836124,0.152215,0.163819,0.0821287,0.89476,2.96824
OU-II,seed,on,default,pmstokes_H8.500,31.8377,0.0561654,0.0482045,0.760486,0.666409,1.35069,0.456749,0.443547,0.791527,1.25612,0.513299,2.16784,5.32212,1.78784,0.201697,0.251857,0.358087,0.0843718,1.51357,2.02235
OU-II,seed,on,11,gerstner_H0.270,31.8377,0.0113393,-0.0240258,0.0125204,0.0133037,0.0159078,0.00768679,0.00729267,0,0.189777,0.0220808,0.078711,0.319205,0.0788203,0.32495,0.283352,0.209745,0.0852179,1.16445,1.06085
OU-II,seed,on,11,gerstner_H1.500,31.8377,0.00776912,-0.0240258,0.148616,0.128185,0.301023,0.0530558,0.0525065,0,1.27521,0.130732,0.566316,2.00062,0.567006,0.337934,0.28164,0.245124,0.0838653,1.22474,0.905201
OU-II,seed,on,11,gerstner_H4.000,32.7028,0.00363568,-0.0243782,0.645513,0.447325,1.07262,0.120651,0.127816,0,3.0166,0.339883,1.46764,4.79962,1.4709,0.348327,0.286031,0.507999,0.0925494,1.30043,0.82577
OU-II,seed,on,11,gerstner_H8.500,35.8385,0.0236207,-0.0237273,2.22342,1.1103,2.55542,0.252435,0.245966,0,11.0355,0.710558,3.06514,18.9863,3.08196,0.394416,0.291617,1.02317,0.10599,1.74932,0.857084
OU-II,seed,on,11,cnoidal_H0.270,31.8377,0.00877056,-0.0240258,0.0310771,0.0309822,0.030964,6.16753e-05,6.59047e-05,0,0.0519096,0.0521063,0.0522243,0.0861413,0.052182,0.320822,0.270968,0.229012,0.254668,2.3484,3.00821
OU-II,seed,on,11,cnoidal_H1.500,31.8377,0.00852835,-0.0240258,0.23251,0.233167,0.230151,0.000358935,0.000384324,0,0.275013,0.274862,0.272238,0.413114,0.271661,0.320897,0.266965,0.234364,0.253519,2.25216,2.96446
OU-II,seed,on,11,cnoidal_H4.000,38.489,-0.00463352,-0.0221734,0.674895,0.674296,0.659043,0.00108395,0.00150089,0,0.724962,0.729195,0.713867,1.06675,0.710129,0.316478,0.267532,0.469835,0.523261,3.13987,3.63817
OU-II,seed,on,11,cnoidal_H8.500,37.4638,0.0274301,-0.0229047,1.43302,1.44669,1.41758,0.00156084,0.00177651,0,1.5249,1.51129,1.47381,2.27966,1.49164,0.318124,0.261887,0.47661,0.347122,3.12064,2.77886
OU-II,seed,on,11,fenton_H0.270,31.8377,0.00343533,-0.0240354,0.0122237,0.0132384,0.0158745,0.00769831,0.00726693,0,0.153547,0.0220852,0.078717,0.271809,0.0787619,0.325071,0.283458,0.213923,0.0873059,1.16787,1.07069
OU-II,seed,on,11,fenton_H1.500,31.8377,0.00688346,-0.0240354,0.154683,0.126838,0.299977,0.0481785,0.0529682,0,1.23877,0.130337,0.566739,1.96378,0.566402,0.336047,0.280854,0.249645,0.0878639,1.20825,0.960257
OU-II,seed,on,11,fenton_H4.000,33.603,0.0179897,-0.0239435,0.660751,0.4431,1.06918,0.133451,0.127174,0,4.65216,0.337667,1.46837,7.05789,1.471,0.358651,0.287193,0.503872,0.0917875,1.34025,0.811105
OU-II,seed,on,11,fenton_H8.500,35.3784,-0.000160093,-0.0233651,2.02796,1.09805,2.5493,0.260001,0.249425,0,6.74231,0.703072,3.06624,10.1812,3.08274,0.393038,0.284811,1.01696,0.104257,1.91182,0.850588
OU-II,seed,on,11,jonswap_H0.270,31.8377,0.00950747,-0.0240258,0.00803322,0.00819076,0.00935647,0.00589906,0.00595885,0.00416604,0.112642,0.0191233,0.0534438,0.215923,0.0544531,0.32255,0.229682,0.208549,0.10046,1.54016,0.674326
OU-II,seed,on,11,jonswap_H1.500,31.8377,0.00926047,-0.0240258,0.0810752,0.082744,0.164757,0.0477004,0.0529029,0.0717971,0.880851,0.097298,0.390972,1.54108,0.352913,0.330571,0.281054,0.219384,0.0855191,1.3407,0.750454
OU-II,seed,on,11,jonswap_H4.000,31.8377,0.0093805,-0.0240258,0.244531,0.269385,0.588407,0.183521,0.167801,0.311768,2.32454,0.255737,1.04309,3.62182,0.831127,0.352583,0.274476,0.238844,0.0915385,1.45488,0.386298
OU-II,seed,on,11,jonswap_H8.500,31.8377,-0.00156044,-0.0240258,0.679814,0.641451,1.3709,0.424569,0.431979,0.834738,3.89297,0.515292,2.15464,7.20092,1.74296,0.372748,0.23045,0.402572,0.126939,1.89757,1.44854
OU-II,seed,on,11,pmstokes_H0.270,31.8377,0.00958704,-0.0240258,0.0078155,0.00793018,0.00881326,0.00584308,0.0058622,0.00430301,0.109606,0.0186907,0.0499133,0.21905,0.0498557,0.322532,0.233883,0.208531,0.10451,1.56658,0.799331
OU-II,seed,on,11,pmstokes_H1.500,31.8377,0.0138383,-0.0240258,0.0769933,0.0800751,0.15315,0.0473978,0.0530063,0.0700072,0.918316,0.0949709,0.385566,1.57319,0.347642,0.329531,0.279529,0.218178,0.0877244,1.57509,0.921907
OU-II,seed,on,11,pmstokes_H4.000,31.8377,0.0161185,-0.0240258,0.250111,0.259849,0.560845,0.180945,0.171152,0.299666,2.68953,0.252539,1.04038,4.22076,0.84498,0.358423,0.275545,0.250599,0.105948,1.73488,0.652189
OU-II,seed,on,11,pmstokes_H8.500,31.8377,-0.000669554,-0.0240258,0.752654,0.636106,1.35069,0.430844,0.421143,0.791527,4.00624,0.515849,2.16784,7.25355,1.78784,0.382273,0.208321,0.41238,0.166574,2.27597,1.80528
OU-II,seed,on,23,gerstner_H0.270,31.8377,-0.00914515,-0.0488114,0.0126162,0.0135253,0.0159078,0.00801625,0.00757777,0,0.209036,0.0218069,0.078711,0.323645,0.0788203,0.548111,0.608344,0.0618065,0.248667,6.36673,6.53658
OU-II,seed,on,23,gerstner_H1.500,31.8377,-0.0126297,-0.0488114,0.149287,0.130374,0.301023,0.0641994,0.0635931,0,1.45553,0.129106,0.566316,2.25667,0.567006,0.547925,0.617428,0.12571,0.258434,6.39781,6.76995
OU-II,seed,on,23,gerstner_H4.000,33.0729,-0.0187246,-0.0491325,0.65078,0.455898,1.07262,0.161616,0.178962,0,3.30709,0.33705,1.46764,5.28472,1.4709,0.544618,0.621847,0.481094,0.302533,6.67811,6.99202
OU-II,seed,on,23,gerstner_H8.500,35.7634,0.00100584,-0.0484286,2.21351,1.13138,2.55542,0.373472,0.379343,0,11.6036,0.706997,3.06514,19.9276,3.08196,0.533466,0.618229,1.05174,0.307496,6.78338,6.9384
OU-II,seed,on,23,cnoidal_H0.270,31.8377,-0.011742,-0.0488114,0.0310907,0.0309851,0.030964,7.52205e-05,6.70858e-05,0,0.0519247,0.0521074,0.0522243,0.0887244,0.052182,0.547509,0.602716,0.0747802,0.0579224,4.38302,3.84742
OU-II,seed,on,23,cnoidal_H1.500,31.8377,-0.0119782,-0.0488114,0.232529,0.233187,0.230151,0.000562614,0.000495928,0,0.275124,0.274874,0.272238,0.415878,0.271661,0.546823,0.608932,0.238121,0.158807,4.53326,4.02757
OU-II,seed,on,23,cnoidal_H4.000,38.219,-0.0279526,-0.0472035,0.675049,0.674361,0.659043,0.0016975,0.00156741,0,0.724965,0.729257,0.713867,1.06749,0.710129,0.542344,0.608491,0.341701,0.296046,4.88689,3.55033
OU-II,seed,on,23,cnoidal_H8.500,37.6588,0.00541506,-0.0474989,1.43287,1.44662,1.41758,0.00252678,0.00290416,0,1.52484,1.51136,1.47381,2.28498,1.49164,0.538872,0.620571,0.453438,0.415538,4.56381,4.79202
OU-II,seed,on,23,fenton_H0.270,31.8377,-0.0170652,-0.048821,0.012399,0.0134709,0.0158745,0.00815863,0.00755018,0,0.195011,0.0217936,0.078717,0.382468,0.0787619,0.547951,0.60883,0.068595,0.256617,6.46866,6.54328
OU-II,seed,on,23,fenton_H1.500,31.8377,-0.0136145,-0.048821,0.155603,0.129188,0.299977,0.0569849,0.0637935,0,1.42504,0.128525,0.566739,2.24627,0.566402,0.548182,0.618681,0.16221,0.272151,6.45075,6.76125
OU-II,seed,on,23,fenton_H4.000,33.858,-0.00357277,-0.0486078,0.662005,0.450229,1.06918,0.190222,0.177436,0,5.03644,0.335567,1.46837,7.64501,1.471,0.546353,0.61675,0.458433,0.292708,6.54905,6.90569
OU-II,seed,on,23,fenton_H8.500,35.4584,-0.0227596,-0.0482011,2.01461,1.11716,2.5493,0.449029,0.376408,0,7.32462,0.70145,3.06624,11.1267,3.08274,0.543079,0.627437,0.954749,0.295286,6.63012,6.83828
OU-II,seed,on,23,jonswap_H0.270,31.8377,-0.0110542,-0.0488114,0.00819664,0.00832008,0.00935647,0.00623103,0.00606837,0.00416604,0.13712,0.0187352,0.0534438,0.24334,0.0544531,0.547036,0.650673,0.0626844,0.189045,5.48652,4.45104
OU-II,seed,on,23,jonswap_H1.500,31.8377,-0.0111487,-0.0488114,0.0826532,0.0849441,0.164757,0.0521644,0.0554641,0.0717971,1.00158,0.099083,0.390972,1.74187,0.352913,0.549143,0.606712,0.0871182,0.238799,6.12057,5.67075
OU-II,seed,on,23,jonswap_H4.000,31.8377,-0.0112547,-0.0488114,0.241142,0.27262,0.588407,0.175932,0.173509,0.311768,2.62494,0.24906,1.04309,4.04456,0.831127,0.534566,0.607356,0.117297,0.20957,5.2418,3.30063
