family,arm,engine,seed,record,live_s,seed_mps2,true_bz_at_live_mps2,x_startup_rms_m,x_gated_rms_m,x_ref_gated_rms_m,y_startup_rms_m,y_gated_rms_m,y_ref_gated_rms_m,z_startup_rms_m,z_gated_rms_m,z_ref_gated_rms_m,z_peak_300_m,z_ref_startup_rms_m,roll_startup_rms_deg,roll_gated_rms_deg,pitch_startup_rms_deg,pitch_gated_rms_deg,yaw_startup_rms_deg,yaw_gated_rms_deg
OU-II,deployed,on,3033,cnoidal_H0.270,31.8377,nan,-0.0569939,0.031102,0.0309844,0.030964,7.79447e-05,6.49519e-05,0,0.0522734,0.0521067,0.0522243,0.0965803,0.052182,0.0248351,0.0668439,0.075238,0.0583114,3.67157,4.37571
OU-II,deployed,on,3033,cnoidal_H1.500,31.8377,nan,-0.0569939,0.232565,0.233182,0.230151,0.000421753,0.000448284,0,0.275503,0.274879,0.272238,0.427247,0.271661,0.0248716,0.0711813,0.238708,0.159059,3.58083,4.30276
OU-II,deployed,on,3033,cnoidal_H4.000,38.1339,nan,-0.0553756,0.675071,0.674318,0.659043,0.001372,0.00182309,0,0.725879,0.729277,0.713867,1.1008,0.710129,0.0241704,0.072746,0.340046,0.303594,4.0521,4.91335
OU-II,deployed,on,3033,cnoidal_H8.500,37.7239,nan,-0.0555118,1.43288,1.44665,1.41758,0.00196096,0.00219492,0,1.52484,1.51135,1.47381,2.28897,1.49164,0.0226555,0.0785578,0.452961,0.409383,4.23755,3.86434
OU-II,deployed,on,3033,fenton_H0.270,31.8377,nan,-0.0570035,0.0127325,0.0134304,0.0158745,0.00796461,0.00725656,0,0.363333,0.0217971,0.078717,0.719245,0.0787619,0.0248452,0.0561968,0.0647027,0.247609,2.16261,2.13109
OU-II,deployed,on,3033,fenton_H1.500,31.8377,nan,-0.0570035,0.156749,0.128494,0.299977,0.046608,0.053371,0,2.259,0.128523,0.566739,3.49666,0.566402,0.0301636,0.0628041,0.162564,0.259536,2.195,1.97027
OU-II,deployed,on,3033,fenton_H4.000,37.0687,nan,-0.056512,0.663485,0.448042,1.06918,0.134183,0.129791,0,6.0153,0.335063,1.46837,9.71978,1.471,0.0663251,0.0619596,0.87557,0.291685,2.68597,1.82175
OU-II,deployed,on,3033,fenton_H8.500,35.4784,nan,-0.0562756,2.08405,1.11058,2.5493,0.25582,0.257864,0,14.1467,0.70018,3.06624,22.4135,3.08274,0.0884797,0.0701557,0.966957,0.301034,2.68574,1.85116
OU-II,deployed,on,3033,jonswap_H0.270,31.8377,nan,-0.0569939,0.00843484,0.00835527,0.00935647,0.00642617,0.00602363,0.00416604,0.221444,0.0187749,0.0534438,0.369938,0.0544531,0.0255525,0.111876,0.0658553,0.190665,2.57097,0.733977
OU-II,deployed,on,3033,jonswap_H1.500,31.8377,nan,-0.0569939,0.0823482,0.0837968,0.164757,0.0466181,0.052398,0.0717971,1.48951,0.0973527,0.390972,2.54028,0.352913,0.0480731,0.06638,0.0928536,0.245468,2.22516,0.741448
OU-II,deployed,on,3033,jonswap_H4.000,31.8377,nan,-0.0569939,0.248418,0.273075,0.588407,0.187365,0.169384,0.311768,3.8907,0.252216,1.04309,5.93668,0.831127,0.055013,0.0809691,0.122309,0.22143,2.48158,0.988589
OU-II,deployed,on,3033,jonswap_H8.500,31.8377,nan,-0.0569939,0.68402,0.65037,1.3709,0.419902,0.427528,0.834738,9.34473,0.51657,2.15464,16.6816,1.74296,0.144578,0.129234,0.314635,0.189814,2.82353,0.753142
OU-II,deployed,on,3033,pmstokes_H0.270,31.8377,nan,-0.0569939,0.0081859,0.00807532,0.00881326,0.00615097,0.00592512,0.00430301,0.212018,0.0184995,0.0499133,0.370913,0.0498557,0.0254737,0.108605,0.0657529,0.184866,2.6554,0.962082
OU-II,deployed,on,3033,pmstokes_H1.500,31.8377,nan,-0.0569939,0.078199,0.0808799,0.15315,0.0462532,0.0523407,0.0700072,1.3722,0.0950792,0.385566,2.30633,0.347642,0.0473812,0.0684713,0.085161,0.223433,2.54259,0.610824
OU-II,deployed,on,3033,pmstokes_H4.000,31.8377,nan,-0.0569939,0.254586,0.264519,0.560845,0.185616,0.173066,0.299666,3.77355,0.248988,1.04038,5.80057,0.84498,0.063686,0.0799442,0.128075,0.182143,2.84772,0.408893
OU-II,deployed,on,3033,pmstokes_H8.500,31.8377,nan,-0.0569939,0.756255,0.643106,1.35069,0.42376,0.415578,0.791527,9.14301,0.516565,2.16784,15.8937,1.78784,0.170549,0.154295,0.323687,0.144026,3.2261,0.986946
OU-II,seed,off,default,gerstner_H0.270,31.8377,0.0695104,0.0482045,0.0199932,0.0155199,0.0159078,0.0147209,0.00970478,0,0.710479,0.0214779,0.078711,1.18978,0.0788203,0.0407984,0.16456,0.122931,0.115558,2.74177,1.97749
OU-II,seed,off,default,gerstner_H1.500,31.8377,0.065946,0.0482045,0.158515,0.127341,0.301023,0.0673098,0.0697326,0,2.18218,0.134022,0.566316,3.64758,0.567006,0.0556701,0.167931,0.183969,0.1123,2.71176,1.99934
OU-II,seed,off,default,gerstner_H4.000,32.8928,0.0625808,0.0480436,0.657217,0.43834,1.07262,0.180201,0.166074,0,3.87556,0.348561,1.46764,7.2321,1.4709,0.0770503,0.175544,0.454062,0.222609,2.96455,2.27441
OU-II,seed,off,default,gerstner_H8.500,36.0235,0.0895722,0.0491264,2.11386,1.08708,2.55542,0.389572,0.323301,0,17.8295,0.732355,3.06514,35.7634,3.08196,0.0969825,0.184038,1.0701,0.214431,3.32645,2.21369
OU-II,seed,off,default,cnoidal_H0.270,33.1829,0.0686709,0.0480103,0.0310672,0.0309095,0.030964,0.000284757,0.000110201,0,0.0637156,0.0501258,0.0522243,0.123723,0.052182,0.0329057,0.148447,0.166953,1.17433,2.79641,4.55798
OU-II,seed,off,default,cnoidal_H1.500,35.8735,0.0682275,0.0492018,0.234389,0.234325,0.230151,0.00062281,0.00115506,0,0.263706,0.271359,0.272238,0.493892,0.271661,0.0328731,0.153634,0.250121,2.02042,2.80426,6.70143
OU-II,seed,off,default,cnoidal_H4.000,39.6393,0.064724,0.0497179,0.683214,0.682603,0.659043,0.00177642,0.00371938,0,0.701092,0.744817,0.713867,1.22141,0.710129,0.0332118,0.156818,0.517673,1.97474,3.56391,6.1454
OU-II,seed,off,default,cnoidal_H8.500,36.5686,0.0878017,0.0490855,1.45075,1.46642,1.41758,0.00225651,0.00292971,0,1.58077,1.61559,1.47381,2.6385,1.49164,0.030763,0.177711,0.517517,0.909751,3.10335,2.89669
OU-II,seed,off,default,fenton_H0.270,31.8377,0.0616662,0.0482048,0.0194806,0.0154271,0.0158745,0.0135976,0.0096382,0,0.401401,0.021502,0.078717,0.711502,0.0787619,0.0386262,0.163607,0.168755,0.161393,2.8637,2.08324
OU-II,seed,off,default,fenton_H1.500,31.8377,0.0654051,0.0482048,0.162572,0.125812,0.299977,0.0661772,0.0696049,0,2.07544,0.133844,0.566739,3.48005,0.566402,0.0569282,0.166989,0.225153,0.200121,2.87217,2.22618
OU-II,seed,off,default,fenton_H4.000,32.5027,0.074223,0.048022,0.630948,0.437204,1.06918,0.172509,0.166719,0,7.56994,0.344564,1.46837,14.0766,1.471,0.0746699,0.178453,0.494853,0.095943,2.78393,1.91953
OU-II,seed,off,default,fenton_H8.500,35.1533,0.063201,0.0490263,2.10244,1.08099,2.5493,0.30887,0.319529,0,8.06669,0.717986,3.06624,13.8328,3.08274,0.103041,0.191571,0.902925,0.139587,3.0264,2.03531
OU-II,seed,off,default,jonswap_H0.270,31.8377,0.0677432,0.0482045,0.0178052,0.00885164,0.00935647,0.0123342,0.00702759,0.00416604,0.629975,0.0162386,0.0534438,1.14612,0.0544531,0.0423214,0.232092,0.133597,0.128778,2.66409,0.469711
OU-II,seed,off,default,jonswap_H1.500,31.8377,0.0678928,0.0482045,0.0865029,0.0838916,0.164757,0.0548191,0.0599002,0.0717971,1.774,0.0992774,0.390972,3.02957,0.352913,0.0656734,0.159883,0.126888,0.116667,2.58364,0.486415
OU-II,seed,off,default,jonswap_H4.000,31.8377,0.067423,0.0482045,0.268439,0.270308,0.588407,0.203878,0.179806,0.311768,3.78543,0.252895,1.04309,6.32854,0.831127,0.0874835,0.197432,0.157683,0.111085,2.40936,0.921154
OU-II,seed,off,default,jonswap_H8.500,31.8377,0.0574212,0.0482045,0.717738,0.62942,1.3709,0.450992,0.44425,0.834738,3.56337,0.519777,2.15464,6.82261,1.74296,0.167042,0.232646,0.356661,0.127994,2.6161,0.516457
OU-II,seed,off,default,pmstokes_H0.270,31.8377,0.0678141,0.0482045,0.0182869,0.00852567,0.00881326,0.0123126,0.00682292,0.00430301,0.667294,0.01567,0.0499133,1.22447,0.0498557,0.0423312,0.227189,0.135252,0.133705,2.66508,0.687741
