arm,record,seed,gate,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,disp_z_rms_m,disp_3d_rms_m,disp_z_pct_hs,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2
g0.05_m2_a0.71,jonswap_H4.000,2,FAIL,0.220828205,0.223544911,3.29140139,0.166222155,0.442023426,4.15555382,0.0504218638,0.000136201328,3.59055161,1.12450373
g0.05_m2_a0.71,jonswap_H4.000,3,FAIL,0.142206624,0.266646504,4.48202372,0.146085203,0.503079534,3.65213013,0.0474420562,0.000122317535,3.58910298,1.12369895
g0.05_m2_a0.71,jonswap_H4.000,4,FAIL,0.244201735,0.304674983,1.91553903,0.1565198,0.448604435,3.9129951,0.0643126443,0.000140307806,3.59000444,1.12445807
g0.05_m2_a0.71,jonswap_H4.000,5,FAIL,0.41135937,0.392580837,3.06723237,0.14831987,0.450293183,3.70799685,0.0960275531,0.000196120702,3.58899474,1.12265122
g0.05_m2_a0.71,jonswap_H8.500,1,FAIL,0.221755967,0.497199982,2.94692063,0.341843128,0.99607718,4.02168369,0.0862855539,0.000158382711,4.22194338,1.42213702
g0.05_m2_a0.71,jonswap_H8.500,2,FAIL,0.297143579,0.173687711,2.57801795,0.329191387,0.949215651,3.87283969,0.0549552664,0.000139975091,4.22111464,1.41873169
g0.05_m2_a0.71,jonswap_H8.500,3,FAIL,0.148045406,0.234676331,2.75345516,0.320635885,1.06291628,3.77218676,0.0390687548,0.000143447367,4.22255135,1.41927826
g0.05_m2_a0.71,jonswap_H8.500,4,FAIL,0.297100306,0.241014779,1.5452584,0.326552689,0.954180539,3.84179616,0.0626791641,0.000139445357,4.22084951,1.41782928
g0.05_m2_a0.71,jonswap_H8.500,5,FAIL,0.367609054,0.358864009,5.55567265,0.298697352,0.972633183,3.51408648,0.0847774595,0.000151274304,4.22343445,1.41919327
g0.05_m2_a0.71,pmstokes_H0.270,1,FAIL,0.165225655,0.466692895,3.15536904,0.0117330495,0.0282753035,4.3455739,0.0831320956,0.000157539151,1.18999803,0.396765739
g0.05_m2_a0.71,pmstokes_H0.270,2,FAIL,0.313417792,0.184001252,3.9513886,0.0132337529,0.0282213259,4.90139008,0.0611121655,0.000135936352,1.17476964,0.395676285
g0.05_m2_a0.71,pmstokes_H0.270,3,FAIL,0.140884504,0.179037675,4.71955013,0.0115107652,0.0298959576,4.26324606,0.037232317,0.000117170399,1.14895809,0.385182202
g0.05_m2_a0.71,pmstokes_H0.270,4,FAIL,0.300255865,0.221037924,2.45437336,0.0121861389,0.0284202453,4.51338482,0.0632424429,0.000137468218,1.1575098,0.397553384
g0.05_m2_a0.71,pmstokes_H0.270,5,FAIL,0.353286415,0.311908185,5.00103426,0.0118113365,0.0282395054,4.37456894,0.0799086541,0.000173752327,1.14930069,0.397042245
