arm,record,seed,gate,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,disp_z_rms_m,disp_3d_rms_m,disp_z_pct_hs,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2
deployed,pmstokes_H0.270,5,FAIL,0.298268527,0.248859555,4.78675413,0.0118438862,0.0563513674,4.38662434,0.062681146,0.000197591711,1.14926147,0.46205315
deployed,pmstokes_H0.270,6,FAIL,0.223667696,0.33131659,3.90275288,0.0130023835,0.0551870614,4.81569767,0.0622873753,0.000148986888,1.15390015,0.46248129
deployed,pmstokes_H0.270,7,FAIL,0.209174126,0.159748584,4.48458576,0.0136745125,0.0568798706,5.06463432,0.0378303416,0.000275816157,1.19333231,0.463890493
deployed,pmstokes_H0.270,8,FAIL,0.997890472,0.231287181,3.00420117,0.0120101981,0.0571754165,4.44822121,0.166627482,0.000157552029,1.155002,0.46221295
deployed,pmstokes_H1.500,1,FAIL,0.271982163,0.361164749,3.61700177,0.0582329743,0.261577934,3.8821981,0.0575809367,0.000422109908,2.04407048,0.894539535
deployed,pmstokes_H1.500,2,FAIL,0.34043029,0.26873979,3.05872393,0.0604353063,0.245394647,4.02902031,0.0693467334,0.000384103361,2.04522014,0.893982172
deployed,pmstokes_H1.500,3,FAIL,0.215938419,0.30291912,2.93718672,0.0562467985,0.241458192,3.74978638,0.0592517965,0.000289226125,2.04274011,0.89324075
deployed,pmstokes_H1.500,4,FAIL,0.500241101,0.325288594,1.72243249,0.0585008189,0.239808932,3.90005445,0.0964637548,0.000239135319,2.04331517,0.894225061
deployed,pmstokes_H1.500,5,FAIL,0.321352363,0.322468966,5.85475063,0.0550514199,0.25023675,3.67009449,0.0795768201,0.000448246137,2.04231548,0.892285645
deployed,pmstokes_H1.500,6,FAIL,0.371710479,0.430311382,1.6755867,0.0621497408,0.247612715,4.14331579,0.0827235356,0.000484908989,2.04335523,0.893745661
deployed,pmstokes_H1.500,7,FAIL,0.407537997,0.290971458,4.33760118,0.0656281784,0.24534069,4.37521172,0.0859350786,0.000479301962,2.04649591,0.893312991
deployed,pmstokes_H1.500,8,FAIL,1.12560356,0.638524711,5.43748903,0.0595271625,0.249387354,3.96847725,0.215938404,0.000313842291,2.0433104,0.892250836
deployed,pmstokes_H4.000,1,FAIL,0.294034988,0.550950885,2.24659896,0.162944064,0.704537511,4.07360172,0.0960368961,0.000234344567,3.28952026,1.26662004
deployed,pmstokes_H4.000,2,FAIL,0.346919954,0.191693306,3.34672141,0.166643605,0.665574551,4.16609001,0.0548598953,0.00025849152,3.2910316,1.26662004
deployed,pmstokes_H4.000,3,FAIL,0.216997132,0.43833375,5.77826929,0.162380531,0.651044726,4.05951309,0.0874559358,0.000317281752,3.29032183,1.26747477
deployed,pmstokes_H4.000,4,FAIL,0.37336868,0.671761394,2.63536286,0.158088401,0.671551466,3.95220995,0.115938455,0.000406395964,3.29042935,1.26725042
deployed,pmstokes_H4.000,5,FAIL,0.416982502,0.475336075,3.22878432,0.148097187,0.679268003,3.70242977,0.102851018,0.000212764266,3.29187512,1.26917553
deployed,pmstokes_H4.000,6,FAIL,0.176542923,0.390561819,4.12982512,0.16216372,0.67264241,4.05409288,0.0591933355,0.000226715332,3.28950858,1.26728678
deployed,pmstokes_H4.000,7,FAIL,0.274662018,0.548175871,2.41429162,0.177196249,0.666505277,4.42990637,0.0979204997,0.00023732493,3.29120445,1.26739192
deployed,pmstokes_H4.000,8,FAIL,1.01746309,0.177356228,0.831008017,0.161612436,0.673969805,4.04031086,0.163737923,0.000197175395,3.29311681,1.26919043
deployed,pmstokes_H8.500,1,FAIL,0.24807401,0.633213222,2.90564847,0.368387789,1.31731379,4.33397388,0.115365513,0.000359863247,4.10346127,1.66505456
deployed,pmstokes_H8.500,2,FAIL,0.488351673,0.211107269,2.45790577,0.33241576,1.18915689,3.91077352,0.0821058825,0.000361229526,4.10326815,1.66308022
deployed,pmstokes_H8.500,3,FAIL,0.189449012,0.322005749,3.74473834,0.356583953,1.27935696,4.19510508,0.0716905445,0.000469296239,4.10344315,1.66360283
deployed,pmstokes_H8.500,4,FAIL,0.551954925,0.481228977,2.00645137,0.343779802,1.2513001,4.0444684,0.110698611,0.000460644398,4.10396671,1.66326284
deployed,pmstokes_H8.500,5,FAIL,0.310968786,0.433850497,5.84017611,0.326773465,1.26394773,3.84439373,0.0733756796,0.000374437397,4.10175991,1.66373026
deployed,pmstokes_H8.500,6,FAIL,0.314870864,0.269300401,2.80308437,0.337980688,1.21091199,3.97624326,0.053130798,0.000279440545,4.10203218,1.66505301
deployed,pmstokes_H8.500,7,FAIL,0.206422031,0.427565843,2.86510396,0.392305642,1.21857917,4.61536026,0.078013517,0.000304542744,4.10281229,1.66342485
deployed,pmstokes_H8.500,8,FAIL,0.86661166,0.210336283,3.16811991,0.383051902,1.30437648,4.50649309,0.138563991,0.000415264542,4.10337257,1.66321123
g0.18,jonswap_H0.270,1,FAIL,0.212961763,0.471659034,3.47461057,0.0120549649,0.0328252949,4.46480179,0.0861492082,0.000145701983,1.29800832,0.41444388
g0.18,jonswap_H0.270,2,FAIL,0.311372936,0.173138276,4.01638508,0.0136696463,0.0322891586,5.06283188,0.0599305667,0.000126716957,1.28341174,0.41662091
g0.18,jonswap_H0.270,3,FAIL,0.147194073,0.131913483,5.21626854,0.0120041138,0.032152079,4.44596815,0.0318636186,0.000107370266,1.25631773,0.417670429
g0.18,jonswap_H0.270,4,FAIL,0.284187555,0.264811575,2.4741714,0.0125540793,0.0313290879,4.64965868,0.0655387118,0.000114777278,1.26536524,0.418171555
g0.18,jonswap_H0.270,5,FAIL,0.339636594,0.35909608,5.81397581,0.0118856924,0.0319310464,4.40210819,0.0843476355,0.000174490226,1.25794101,0.417452663
g0.18,jonswap_H0.270,6,FAIL,0.150320068,0.162164524,4.37628603,0.0132125057,0.0313498899,4.89352036,0.0366143174,0.000105712941,1.26013649,0.416899085
g0.18,jonswap_H0.270,7,FAIL,0.143047988,0.0411582999,4.27793646,0.0135655031,0.0325812139,5.02426004,0.0252971724,0.000130688495,1.30601096,0.413769603
g0.18,jonswap_H0.270,8,FAIL,0.98257935,0.225438058,3.58932018,0.0123283099,0.0320973843,4.56604052,0.170292407,0.000107764747,1.2642833,0.417287707
g0.18,jonswap_H1.500,1,FAIL,0.19301112,0.64292568,2.80658865,0.0598050766,0.192288622,3.987005,0.111042656,0.000138064293,2.18094516,0.811524987
g0.18,jonswap_H1.500,2,FAIL,0.387453377,0.117361858,2.62696362,0.0651715174,0.186005101,4.34476757,0.0672727153,0.000130302637,2.18473244,0.810378373
g0.18,jonswap_H1.500,3,FAIL,0.184345022,0.0979443938,3.72637129,0.0575586557,0.185110167,3.83724356,0.0311969426,0.000118127908,2.17844152,0.810786724
g0.18,jonswap_H1.500,4,PASS,0.418765098,0.0826349035,1.04628193,0.0606022812,0.180973276,4.04015207,0.0713656619,0.000122506332,2.18342996,0.810346067
g0.18,jonswap_H1.500,5,FAIL,0.215701431,0.254345447,5.86669302,0.0562197492,0.187714368,3.74798322,0.0556057207,0.000111519905,2.17769837,0.810503185
