arm,record,seed,gate,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,disp_z_rms_m,disp_3d_rms_m,disp_z_pct_hs,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2
deployed,pmstokes_H8.500,2,FAIL,0.439796895,0.269409627,2.924721,0.323775738,1.16291881,3.80912638,0.074310936,0.000239353307,4.10316706,1.49501801
deployed,pmstokes_H8.500,3,FAIL,0.198877648,0.298122972,2.53912091,0.321803778,1.22869742,3.78592682,0.0364140905,0.0003485083,4.10334301,1.49589336
deployed,pmstokes_H8.500,4,FAIL,0.580113173,0.381637871,1.79230201,0.341864973,1.21526003,4.02194071,0.10669896,0.000237782922,4.10386848,1.48797488
deployed,pmstokes_H8.500,5,FAIL,0.3012954,0.451682001,5.87707758,0.320966721,1.22928512,3.77607894,0.0836508572,0.000186097503,4.10165882,1.49425924
sga_0.36,jonswap_H0.270,1,FAIL,0.264071494,0.503188491,3.45024514,0.0117620844,0.0586679839,4.35632753,0.087365143,0.00024224371,1.2979629,0.350299329
sga_0.36,jonswap_H0.270,2,FAIL,0.331217378,0.206195369,4.05061626,0.0143406997,0.0565116368,5.3113699,0.0595438182,0.000238930297,1.28338206,0.351867527
sga_0.36,jonswap_H0.270,3,FAIL,0.185957,0.208015159,5.11644268,0.0119506046,0.0558191612,4.42614985,0.0352169648,0.000223709256,1.25628102,0.361486852
sga_0.36,jonswap_H0.270,4,FAIL,0.304174244,0.301427841,2.50302601,0.0126458323,0.0557373129,4.68364143,0.0653323159,0.000219061476,1.26532924,0.350926667
sga_0.36,jonswap_H0.270,5,FAIL,0.337895483,0.389317483,5.80869436,0.0122372126,0.0566405207,4.53230095,0.0844593793,0.000205178963,1.25790656,0.351814181
sga_0.36,jonswap_H1.500,1,FAIL,0.243228555,0.489298224,3.25611949,0.0583293289,0.267505288,3.88862181,0.0804384276,0.000246706099,2.18100834,0.725073874
sga_0.36,jonswap_H1.500,2,FAIL,0.418104738,0.227537587,2.81626987,0.0677231029,0.258546561,4.5148735,0.0731866583,0.000247592106,2.18478942,0.726248801
sga_0.36,jonswap_H1.500,3,FAIL,0.229497209,0.256257027,3.42636609,0.0573433265,0.255049497,3.82288837,0.0440021977,0.000228598306,2.17850184,0.729600251
sga_0.36,jonswap_H1.500,4,FAIL,0.379800498,0.327596575,1.59664345,0.0606027842,0.252910376,4.04018545,0.076500237,0.000204822514,2.18348646,0.705704868
sga_0.36,jonswap_H1.500,5,FAIL,0.28655237,0.430357844,6.29381037,0.0558768287,0.256040931,3.72512174,0.0836978927,0.000198056237,2.1777575,0.720317721
sga_0.36,jonswap_H4.000,1,FAIL,0.371681899,0.471818,2.24255967,0.154312864,0.724251747,3.8578217,0.0863495916,0.000247129326,3.58995557,1.12531114
sga_0.36,jonswap_H4.000,2,FAIL,0.260855079,0.263685495,3.4261446,0.170622841,0.714927137,4.26557112,0.0509881601,0.000235473737,3.59055161,1.12450373
sga_0.36,jonswap_H4.000,3,FAIL,0.182523191,0.335991561,4.48689318,0.151375979,0.690518498,3.78439951,0.0485730581,0.000240498804,3.58910298,1.12369895
