Paired per-(record, seed) change against the deployed variances, percent (negative is better).
Bracketed range is over records and seeds; * marks one sign on every pair.

arm                                         roll                   pitch                     yaw                       z                      3d                 accbias
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
sga_0.36                   -1.14 [ -26.7, +17.7]   +17.41 [ -26.0,+177.0]    +2.28 [ -20.5, +29.0]    -0.10 [  -2.4,  +4.9]    +0.05 [  -0.2,  +0.6]   +14.59 [ -27.6,+150.3] 
sgg_0.1                  jonswap_H0.270      -11.65    -15.37     -8.06     +0.45    -51.53     +2.29
sgg_0.1                  jonswap_H1.500      -11.98    -12.76     +5.43     -1.05    -37.50     -2.50
sgg_0.1                  jonswap_H4.000       -6.06    -24.02    -26.88     -1.59    -33.98    -16.52
sgg_0.1                  jonswap_H8.500       +0.77    +47.18    -30.10     -2.09    -22.03    +48.93
sgg_0.1                  pmstokes_H0.270     -13.72     +9.72     +0.94     -0.32    -52.09    +10.77
sgg_0.1                  pmstokes_H1.500      -8.99    -13.52     -0.80     -0.53    -40.18     -1.13
sgg_0.1                  pmstokes_H4.000      -4.11    -46.95    -20.47     -2.41    -37.40    -17.78
sgg_0.1                  pmstokes_H8.500      +7.05   +108.06    -38.48     +7.42    -24.15    +79.82

sgg_0.18                 jonswap_H0.270      -11.40     -9.75     -5.73     +0.28    -44.58     +2.05
sgg_0.18                 jonswap_H1.500      -10.29    -31.92     -0.54     -0.83    -28.34     -6.05
sgg_0.18                 jonswap_H4.000       -3.71    -23.68    -27.42     -1.33    -26.35    -17.19
sgg_0.18                 jonswap_H8.500       +9.56   +102.26    -31.94     +0.92    -15.71    +88.57
sgg_0.18                 pmstokes_H0.270     -12.90     +0.22     +0.52     -0.25    -45.11     +6.56
sgg_0.18                 pmstokes_H1.500      -5.29    +16.29     +6.47     -0.91    -30.12    +10.10
sgg_0.18                 pmstokes_H4.000      -4.61    -33.44    -21.72     -1.52    -28.89     -8.82
sgg_0.18                 pmstokes_H8.500     +17.37   +159.28    -40.68    +12.99    -16.53   +117.37

sgg_0.32                 jonswap_H0.270       -9.75     -5.25     -3.07     +0.11    -30.82     +1.71
sgg_0.32                 jonswap_H1.500       -7.52    -32.03     -5.27     -0.65    -17.17     -6.16
sgg_0.32                 jonswap_H4.000       -3.39    -21.80    -20.59     -1.78    -18.40    -19.12
sgg_0.32                 jonswap_H8.500       +5.62    +59.58    -30.71     -1.08    -10.42    +60.89
sgg_0.32                 pmstokes_H0.270     -10.59     -7.36     +0.39     -0.20    -31.22     +3.34
sgg_0.32                 pmstokes_H1.500      -2.87    +32.60    +11.04     -1.02    -17.94    +18.19
sgg_0.32                 pmstokes_H4.000      -4.96    -21.31    -14.80     -1.71    -19.94     -5.19
sgg_0.32                 pmstokes_H8.500      +8.55   +103.88    -39.09     +7.78    -10.43    +80.48

sgg_0.56                 jonswap_H0.270       -5.99     -3.74     -1.28     -0.00    -14.57     +0.88
sgg_0.56                 jonswap_H1.500       -4.34    -21.17     -4.90     -0.58     -7.97     -4.55
sgg_0.56                 jonswap_H4.000       -3.53    -13.05     -9.80     -1.70    -10.48    -13.21
sgg_0.56                 jonswap_H8.500       -0.78     -2.66    -17.14     -2.77     -6.14    +15.64
sgg_0.56                 pmstokes_H0.270      -6.32     -8.07     +0.24     -0.17    -14.78     +1.58
sgg_0.56                 pmstokes_H1.500      -2.33    +20.13     +7.67     -0.82     -8.26    +10.55
sgg_0.56                 pmstokes_H4.000      -4.15     -8.66     -5.78     -1.60    -11.19     -0.92
sgg_0.56                 pmstokes_H8.500      -1.06    +13.76    -20.42     +1.20     -6.23    +20.32

sgg_2                    jonswap_H0.270       +9.31    +16.30     +1.75     +1.12    +13.73     +0.96
