arm,record,seed,gate,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,disp_z_rms_m,disp_3d_rms_m,disp_z_pct_hs,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2
sgm_0.5,jonswap_H1.500,5,FAIL,0.255176783,0.312449813,5.86528826,0.0573473461,0.282898396,3.82315636,0.0536171272,0.000184831471,2.17769837,0.810503185
sgm_0.5,jonswap_H4.000,1,FAIL,0.441805005,0.298518986,2.78717279,0.157317862,0.771239638,3.93294644,0.0749456361,0.000226914388,3.58984709,1.25036561
sgm_0.5,jonswap_H4.000,2,FAIL,0.288068384,0.351390034,3.61683559,0.177893609,0.749902427,4.44734001,0.0593089648,0.000245716568,3.59044552,1.24946749
sgm_0.5,jonswap_H4.000,3,FAIL,0.213389724,0.272649884,4.74724531,0.160463139,0.725619316,4.01157856,0.0360056795,0.000247762451,3.58899403,1.24857092
sgm_0.5,jonswap_H4.000,4,FAIL,0.248305261,0.656627655,2.54824877,0.168779507,0.745648623,4.21948767,0.105321005,0.000294846366,3.58989811,1.2494247
sgm_0.5,jonswap_H4.000,5,FAIL,0.410967678,0.535499215,3.46844339,0.154702574,0.755912542,3.86756444,0.107359119,0.000232577353,3.58888578,1.24740982
sgm_0.5,jonswap_H8.500,1,FAIL,0.283262104,0.541400373,2.85857344,0.34976691,1.42776859,4.11490488,0.0980171189,0.000319883897,4.22191954,1.58010566
sgm_0.5,jonswap_H8.500,2,FAIL,0.559961736,0.266581804,2.24477887,0.35621652,1.28256297,4.19078255,0.0901209414,0.000252159807,4.22109175,1.57632208
sgm_0.5,jonswap_H8.500,3,FAIL,0.223908648,0.25031352,3.66142774,0.349880546,1.41070712,4.11624146,0.0483758226,0.000511834049,4.22252655,1.57692933
sgm_0.5,jonswap_H8.500,4,FAIL,0.620832562,0.509212732,1.76895428,0.370053113,1.40680563,4.35356617,0.121675029,0.000395431736,4.22082567,1.57532203
sgm_0.5,jonswap_H8.500,5,FAIL,0.296061516,0.475961566,5.76827669,0.322273672,1.3968749,3.79145479,0.0787185207,0.000256544678,4.22340918,1.57683241
sgm_0.5,pmstokes_H0.270,1,FAIL,0.298925161,0.501412928,3.25989008,0.0120802736,0.0746276602,4.47417545,0.0868963897,0.000209755628,1.18997025,0.464323074
sgm_0.5,pmstokes_H0.270,2,FAIL,0.40178296,0.17896983,3.73857307,0.0131995929,0.0729128346,4.88873816,0.06243065,0.000207651858,1.17473733,0.463478357
sgm_0.5,pmstokes_H0.270,3,FAIL,0.236661151,0.177840829,5.13356447,0.0118862418,0.0711309612,4.4023118,0.0287467279,0.000232973354,1.14891922,0.462060064
sgm_0.5,pmstokes_H0.270,4,FAIL,0.372601271,0.20449762,2.10918045,0.0125275096,0.0699748099,4.63981819,0.06027551,0.000167043108,1.15747702,0.462887049
sgm_0.5,pmstokes_H0.270,5,FAIL,0.314418733,0.270958811,4.76981497,0.011803329,0.0702077374,4.37160301,0.0604494214,0.000199699309,1.14926147,0.46205315
sgm_0.5,pmstokes_H1.500,1,FAIL,0.306537658,0.352122009,3.69247723,0.0586508811,0.289494574,3.9100585,0.0576396286,0.00046791372,2.04407048,0.894539535
sgm_0.5,pmstokes_H1.500,2,FAIL,0.36456129,0.304931343,3.08338976,0.0613924563,0.278394192,4.09283018,0.0713406056,0.000417430536,2.04522014,0.893982172
sgm_0.5,pmstokes_H1.500,3,FAIL,0.252818704,0.372451067,2.81548095,0.056530308,0.268531173,3.76868701,0.0690645054,0.000331536983,2.04274011,0.89324075
sgm_0.5,pmstokes_H1.500,4,FAIL,0.487196147,0.450903535,1.98347819,0.0583494268,0.263723344,3.88996172,0.107023939,0.000256372005,2.04331517,0.894225061
sgm_0.5,pmstokes_H1.500,5,FAIL,0.335267395,0.325352579,5.80792713,0.0560851507,0.274210066,3.73900986,0.0762360096,0.00051455677,2.04231548,0.892285645
sgm_0.5,pmstokes_H4.000,1,FAIL,0.310861319,0.616597354,2.11333466,0.165884793,0.749987423,4.14712,0.107827812,0.000250264246,3.28952026,1.26662004
sgm_0.5,pmstokes_H4.000,2,FAIL,0.394313008,0.240771115,3.20896077,0.177363306,0.698872328,4.43408251,0.0606664829,0.000267511175,3.2910316,1.26662004
sgm_0.5,pmstokes_H4.000,3,FAIL,0.242047906,0.55918175,6.04215384,0.167886913,0.684103787,4.19717264,0.105784155,0.000351955823,3.29032183,1.26747477
sgm_0.5,pmstokes_H4.000,4,FAIL,0.39344433,0.673483729,2.62534165,0.160056531,0.709478676,4.00141335,0.115780786,0.000447988801,3.29042935,1.26725042
sgm_0.5,pmstokes_H4.000,5,FAIL,0.424460024,0.444745123,3.12188029,0.150687844,0.710308492,3.76719618,0.0947599038,0.000199597809,3.29187512,1.26917553
sgm_0.5,pmstokes_H8.500,1,FAIL,0.286602378,0.70980978,2.7339015,0.379224062,1.38885438,4.46145964,0.129507691,0.000388716173,4.10346127,1.66505456
sgm_0.5,pmstokes_H8.500,2,FAIL,0.544833362,0.33822903,2.19871712,0.35033828,1.23347962,4.12162685,0.0972633585,0.000397722644,4.10326815,1.66308022
sgm_0.5,pmstokes_H8.500,3,FAIL,0.224753216,0.480749995,4.10094404,0.370835721,1.33422446,4.36277294,0.0978967249,0.000501518487,4.10344315,1.66360283
sgm_0.5,pmstokes_H8.500,4,FAIL,0.567965448,0.49720639,2.006598,0.349867791,1.30342114,4.11609173,0.112152748,0.000477625435,4.10396671,1.66326284
sgm_0.5,pmstokes_H8.500,5,FAIL,0.339149117,0.472897857,5.92804432,0.3336052,1.3130753,3.92476702,0.0768031776,0.000435021822,4.10175991,1.66373026
sgm_2,jonswap_H0.270,1,FAIL,0.222749755,0.434664279,3.56230974,0.012013671,0.0503466167,4.44950771,0.0729409978,0.000357579818,1.29800832,0.41444388
sgm_2,jonswap_H0.270,2,FAIL,0.324578017,0.18509306,4.02037525,0.0136849256,0.0482479036,5.06849098,0.0609660149,0.000305165624,1.28341174,0.41662091
sgm_2,jonswap_H0.270,3,FAIL,0.158626527,0.0952513665,5.39946413,0.0120463474,0.0480830111,4.46160984,0.024210671,0.000181305862,1.25631773,0.417670429
sgm_2,jonswap_H0.270,4,FAIL,0.243395045,0.437516809,2.84689713,0.0124947745,0.0474916175,4.62769413,0.0824893489,0.00013593334,1.26536524,0.418171555
sgm_2,jonswap_H0.270,5,FAIL,0.375582367,0.417850971,5.9456315,0.0118487813,0.0489768647,4.38843727,0.0956811756,0.000216810207,1.25794101,0.417452663
sgm_2,jonswap_H1.500,1,FAIL,0.22103408,0.503205419,3.17812562,0.0598646328,0.2618981,3.99097538,0.085012272,0.000196832276,2.18094516,0.811524987
sgm_2,jonswap_H1.500,2,FAIL,0.386298001,0.197068185,2.77180672,0.0655837059,0.25045836,4.37224674,0.0683194026,0.000206854776,2.18473244,0.810378373
sgm_2,jonswap_H1.500,3,FAIL,0.179189682,0.353816539,3.13887048,0.0582270101,0.251175791,3.88180041,0.0541827157,0.000290123309,2.17844152,0.810786724
sgm_2,jonswap_H1.500,4,PASS,0.405129254,0.181477994,1.26367593,0.0606723055,0.247929975,4.04482031,0.0689049587,0.00023042594,2.18342996,0.810346067
sgm_2,jonswap_H1.500,5,FAIL,0.236295879,0.350543708,6.06534433,0.056953717,0.256344229,3.79691434,0.0662730783,0.000170452346,2.17769837,0.810503185
sgm_2,jonswap_H4.000,1,FAIL,0.415566564,0.244964376,2.83460593,0.157482922,0.725804567,3.93707299,0.0620028675,0.000223321898,3.58984709,1.25036561
sgm_2,jonswap_H4.000,2,FAIL,0.191682726,0.420958251,3.81285596,0.165737435,0.716628194,4.14343596,0.0716508105,0.00024091902,3.59044552,1.24946749
sgm_2,jonswap_H4.000,3,FAIL,0.168782696,0.333100408,4.4970541,0.154856667,0.697539687,3.87141657,0.0494847782,0.00025189502,3.58899403,1.24857092
sgm_2,jonswap_H4.000,4,FAIL,0.185042605,0.673757374,2.60868835,0.162590921,0.708651841,4.06477308,0.108524218,0.000250947254,3.58989811,1.2494247
sgm_2,jonswap_H4.000,5,FAIL,0.432977289,0.619136751,3.68742609,0.156015977,0.727335095,3.90039945,0.125954047,0.000266664603,3.58888578,1.24740982
sgm_2,jonswap_H8.500,1,FAIL,0.234476477,0.418032169,3.11202931,0.336872011,1.37655735,3.96320009,0.0742770135,0.000267633324,4.22191954,1.58010566
sgm_2,jonswap_H8.500,2,FAIL,0.511055827,0.203910545,2.54155874,0.339356422,1.29380298,3.99242854,0.0831628889,0.000256333908,4.22109175,1.57632208
sgm_2,jonswap_H8.500,3,FAIL,0.163327649,0.136906624,3.40590501,0.342314512,1.37260067,4.02722931,0.0316113085,0.000417883828,4.22252655,1.57692933
sgm_2,jonswap_H8.500,4,FAIL,0.568491578,0.663968742,2.15746737,0.371937335,1.34756505,4.37573338,0.132706687,0.000352458388,4.22082567,1.57532203
sgm_2,jonswap_H8.500,5,FAIL,0.265053958,0.541648507,5.95227098,0.327979654,1.36476886,3.85858417,0.0931771621,0.000225022872,4.22340918,1.57683241
sgm_2,pmstokes_H0.270,1,FAIL,0.200886697,0.529812694,3.07954288,0.0120677678,0.0491816625,4.46954346,0.0896343142,0.000211568564,1.18997025,0.464323074
sgm_2,pmstokes_H0.270,2,FAIL,0.345565856,0.139511421,3.85076404,0.0131564513,0.0467526615,4.87275982,0.0611409619,0.000208524638,1.17473733,0.463478357
sgm_2,pmstokes_H0.270,3,FAIL,0.164060652,0.132090926,5.00647163,0.0117718587,0.0470581912,4.35994768,0.0275360812,0.000217204433,1.14891922,0.462060064
sgm_2,pmstokes_H0.270,4,FAIL,0.329102784,0.131395593,2.07604194,0.012381156,0.0464907251,4.58561325,0.0569483861,0.000165958991,1.15747702,0.462887049
sgm_2,pmstokes_H0.270,5,FAIL,0.309045941,0.224558696,4.76834917,0.0118806055,0.0477487631,4.40022421,0.0646258965,0.000199902468,1.14926147,0.46205315
sgm_2,pmstokes_H1.500,1,FAIL,0.226551473,0.413137794,3.43632579,0.0583626404,0.254228771,3.89084244,0.0616266355,0.000398988079,2.04407048,0.894539535
sgm_2,pmstokes_H1.500,2,FAIL,0.338961571,0.198869452,2.89290476,0.0605649538,0.239537954,4.03766346,0.0643115416,0.000366838009,2.04522014,0.893982172
sgm_2,pmstokes_H1.500,3,FAIL,0.186704457,0.229577988,3.0899148,0.0566196851,0.238394365,3.77464557,0.0490007885,0.000276514213,2.04274011,0.89324075
sgm_2,pmstokes_H1.500,4,PASS,0.509689271,0.217799112,1.49137616,0.0589028746,0.236535385,3.92685819,0.0887548476,0.000231584607,2.04331517,0.894225061
sgm_2,pmstokes_H1.500,5,FAIL,0.318534881,0.297771186,5.80976963,0.055092182,0.248170316,3.67281199,0.0797572434,0.000412232301,2.04231548,0.892285645
sgm_2,pmstokes_H4.000,1,FAIL,0.274368495,0.517875671,2.29830813,0.163164675,0.702679217,4.07911682,0.0877209678,0.000231809769,3.28952026,1.26662004
sgm_2,pmstokes_H4.000,2,FAIL,0.321761817,0.184223145,3.41400623,0.163806915,0.67478925,4.09517288,0.0532410517,0.00025095194,3.2910316,1.26662004
sgm_2,pmstokes_H4.000,3,FAIL,0.202825487,0.342845917,5.5668354,0.160455227,0.666520596,4.01138067,0.074625425,0.000299003441,3.29032183,1.26747477
sgm_2,pmstokes_H4.000,4,FAIL,0.358372211,0.679240704,2.65187788,0.158600196,0.676677287,3.96500492,0.115182795,0.000374599651,3.29042935,1.26725042
sgm_2,pmstokes_H4.000,5,FAIL,0.41811198,0.496377736,3.26678681,0.148864448,0.690293193,3.72161126,0.108099289,0.000234076855,3.29187512,1.26917553
sgm_2,pmstokes_H8.500,1,FAIL,0.217606157,0.538010955,3.13733506,0.359518826,1.35095489,4.22963333,0.0967310891,0.000333178788,4.10346127,1.66505456
sgm_2,pmstokes_H8.500,2,FAIL,0.451219887,0.172445759,2.62551141,0.329450816,1.24865627,3.87589192,0.0759523213,0.000331155839,4.10326815,1.66308022
sgm_2,pmstokes_H8.500,3,FAIL,0.174688756,0.202078789,3.4570601,0.351408511,1.32192445,4.13421774,0.0524355993,0.000437204348,4.10344315,1.66360283
sgm_2,pmstokes_H8.500,4,FAIL,0.521069705,0.553790092,2.18091869,0.343289793,1.29722643,4.03870344,0.114340849,0.00044509038,4.10396671,1.66326284
sgm_2,pmstokes_H8.500,5,FAIL,0.317217976,0.470215827,5.93430614,0.326437086,1.31451273,3.84043622,0.0804005489,0.000334235898,4.10175991,1.66373026
sgm_4,jonswap_H0.270,1,FAIL,0.148645088,0.468437612,3.38787484,0.0120577393,0.0479377881,4.46582937,0.0759664401,0.000345174194,1.29800832,0.41444388
sgm_4,jonswap_H0.270,2,FAIL,0.33284077,0.175819814,3.95778894,0.013692731,0.04679114,5.07138157,0.0619479008,0.000299521489,1.28341174,0.41662091
sgm_4,jonswap_H0.270,3,FAIL,0.13126497,0.0816239044,5.41905642,0.0120444829,0.0473783538,4.46091938,0.0204856377,0.000181948155,1.25631773,0.417670429
sgm_4,jonswap_H0.270,4,FAIL,0.223756239,0.432954431,2.865762,0.0124970172,0.0462499224,4.62852478,0.0813660994,0.000139935335,1.26536524,0.418171555
sgm_4,jonswap_H0.270,5,FAIL,0.426786453,0.407237619,5.95530605,0.0118556982,0.0470643155,4.39099932,0.0998234004,0.00021690772,1.25794101,0.417452663
sgm_4,jonswap_H1.500,1,FAIL,0.167552128,0.433848649,3.30755687,0.0595345274,0.272236139,3.96896839,0.0719895959,0.000196326524,2.18094516,0.811524987
sgm_4,jonswap_H1.500,2,FAIL,0.380314618,0.238319412,2.82971549,0.065579623,0.264008075,4.37197447,0.0714266375,0.00020576136,2.18473244,0.810378373
sgm_4,jonswap_H1.500,3,FAIL,0.150729135,0.413592547,2.954597,0.0583190508,0.267138571,3.88793659,0.0618524067,0.000285212329,2.17844152,0.810786724
sgm_4,jonswap_H1.500,4,PASS,0.379085273,0.230770215,1.40113258,0.0607087426,0.262387782,4.04724932,0.0694555789,0.00022164105,2.18342996,0.810346067
sgm_4,jonswap_H1.500,5,FAIL,0.271869004,0.364189416,6.13339329,0.0571904182,0.26894331,3.81269431,0.0720161796,0.000173369641,2.17769837,0.810503185
sgm_4,jonswap_H4.000,1,FAIL,0.373999089,0.22229445,2.87352037,0.157922685,0.773233414,3.94806719,0.0518776067,0.000227210578,3.58984709,1.25036561
sgm_4,jonswap_H4.000,2,FAIL,0.15719904,0.461915702,3.85767889,0.165601745,0.762389004,4.14004374,0.0762633458,0.000242495604,3.59044552,1.24946749
sgm_4,jonswap_H4.000,3,FAIL,0.182322815,0.402783066,4.30272579,0.154290229,0.757728517,3.8572557,0.0596054196,0.000260373869,3.58899403,1.24857092
sgm_4,jonswap_H4.000,4,FAIL,0.149680659,0.693656504,2.66087961,0.162164241,0.757047534,4.05410624,0.110620841,0.000237126224,3.58989811,1.2494247
sgm_4,jonswap_H4.000,5,FAIL,0.497202426,0.652529597,3.74714732,0.157150477,0.765105307,3.92876196,0.134652629,0.000287462608,3.58888578,1.24740982
sgm_4,jonswap_H8.500,1,FAIL,0.225050524,0.365129501,3.21867561,0.336880654,1.51317585,3.96330166,0.0634021387,0.000260447559,4.22191954,1.58010566
sgm_4,jonswap_H8.500,2,FAIL,0.517658591,0.230251938,2.57718182,0.342512339,1.44755745,4.02955675,0.0831735656,0.000254547893,4.22109175,1.57632208
sgm_4,jonswap_H8.500,3,FAIL,0.149272725,0.146285802,3.26656842,0.346364141,1.53912652,4.07487202,0.0307339467,0.000393099908,4.22252655,1.57692933
sgm_4,jonswap_H8.500,4,FAIL,0.550594687,0.765699506,2.36989379,0.379668951,1.4878068,4.4666934,0.143990889,0.000329276139,4.22082567,1.57532203
sgm_4,jonswap_H8.500,5,FAIL,0.270681769,0.605329812,6.07782602,0.334116876,1.49722171,3.93078661,0.102943406,0.000229743309,4.22340918,1.57683241
sgm_4,pmstokes_H0.270,1,FAIL,0.135342911,0.531221271,3.00036144,0.0120937871,0.0467874259,4.47918034,0.0888065025,0.000213590494,1.18997025,0.464323074
sgm_4,pmstokes_H0.270,2,FAIL,0.343646258,0.150249571,3.85168481,0.0131625822,0.0453797057,4.87503052,0.0625844672,0.000209233738,1.17473733,0.463478357
sgm_4,pmstokes_H0.270,3,FAIL,0.134591788,0.148735732,4.91549635,0.0117579764,0.046428673,4.35480595,0.0269773901,0.00021358722,1.14891922,0.462060064
sgm_4,pmstokes_H0.270,4,FAIL,0.311046958,0.120187312,2.08253717,0.0123715857,0.0454794466,4.58206844,0.0548633225,0.000166174606,1.15747702,0.462887049
