family,records,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,disp_z_ref_rms_m,disp_z_pct_refrms
OU-II,8,0.32785842928350933,0.2048963600531617,0.2575475130416789,0.46454749061036343,0.1880596351631735,0.1962656833637388,0.5595436785232744,0.0457791626898388,1.7539465050496487e-05,1.2154712712291358,21.189107397103346
OU-III,8,0.2106350611075556,0.13608458079924896,0.14435138911220446,0.2893500806336132,0.09644034145679135,0.060896783551940156,0.2554740534188703,0.018500193350536213,2.1176775230070976e-05,1.2154712712291358,11.876166268103585
TFG,8,0.23421923769701236,0.15214077987786787,0.14562566217941392,0.3149798402985421,0.06179044619314064,0.11587983430250019,0.2119762457580437,0.021894815256673424,1.2227879710310255e-05,1.2154712712291358,11.981004045628417
