family,tuning_mode,aw_cov_sync,input,window_s,samples,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,disp_x_pct_hs,disp_y_pct_hs,disp_z_pct_hs,disp_3d_pct_refmax,disp_z_ref_rms_m,disp_z_pct_refrms,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,dir_travel_error_deg,dir_travel_rmse_deg,dir_travel_correct_pct,dir_travel_wrong_pct,dir_travel_unresolved_pct,dir_axis_mean_deg,dir_axis_truth_deg,dir_axis_error_deg,dir_axis_rmse_deg,dir_axis_circ_std_deg,dir_sense_forward_pct,dir_sense_reverse_pct,dir_sense_uncertain_pct,dir_sense_dominant_pct,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2,tuning_applied,wave_period_s,frequency_hz,period_s,accel_variance_m2ps4,dir_axis_abs_error_deg,dir_travel_abs_error_deg,seed,arm,spectrum,hs_m,regression_exit_code
OU-II,adaptive,periodic,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.286335886,0.234543547,0.254479975,0.449175894,7.1583972,5.86358881,6.36199951,10.8886862,1.04307246,24.3971519,0.200871527,0.152206659,2.09286404,171.772873,167.993393,0.050555557,95.3294449,4.61999989,21.4260864,30.0,-8.57391357,15.8056011,13.0716009,0.050555557,95.3294449,4.61999989,95.3294449,0.0413319021,0.000120702847,3.9375577,0.793858051,12.3082619,7.83341837,0.200000003,5.0,0.859677911,8.57391357,171.772873,default,hard-iron-off,JONSWAP,4.0,1
OU-II,adaptive,periodic,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.657390714,0.525965452,0.522289336,0.990751386,7.73400831,6.18782854,6.14458036,13.0433092,2.15460348,24.2406254,0.504807949,0.227180079,2.14515877,-170.679474,163.888626,0.762777805,91.5816727,7.65555573,-20.3334808,-30.0,9.66651917,21.6748409,18.8917789,91.5816727,0.762777805,7.65555573,91.5816727,0.0924518853,0.000131263048,4.4956646,1.04195726,21.0589981,9.12593937,0.200000003,5.0,1.49710143,9.66651917,170.679474,default,hard-iron-off,JONSWAP,8.5,1
OU-II,adaptive,periodic,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.00836949144,0.00738018192,0.0172155499,0.0205156188,3.09981155,2.73340058,6.37612963,10.6032305,0.0499124601,34.4914856,0.297908902,0.136919126,1.57122576,169.369217,159.507797,1.52055562,11.7822227,86.6972275,5.63897705,30.0,-24.3610229,25.8803558,9.3125391,11.7822227,1.52055562,86.6972275,11.7822227,0.0550102741,0.000112591522,1.51966047,0.0804252103,0.185731396,3.02446294,0.409234107,2.78987837,0.0310976487,24.3610229,169.369217,default,hard-iron-off,PM-Stokes,0.27,1
OU-II,adaptive,periodic,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0853947774,0.0692860782,0.0965234563,0.146320224,5.69298506,4.61907148,6.43489695,10.9363985,0.385561794,25.0344963,0.259891301,0.171766207,2.12228942,-166.541748,164.03392,0.0833333358,91.5333328,8.38333321,-15.4760742,-30.0,14.5239258,21.8773499,15.6676512,0.0833333358,91.5333328,8.38333321,91.5333328,0.0525298752,0.000118990312,2.326056,0.412268132,2.23059177,4.63564825,0.261256695,4.0886488,0.298793554,14.5239258,166.541748,default,hard-iron-off,PM-Stokes,1.5,1
OU-II,adaptive,periodic,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.274981052,0.230285525,0.248771235,0.436500996,6.8745265,5.75713825,6.21928072,10.7886982,1.04037023,23.9117985,0.182311863,0.137372926,2.05564547,169.4077,166.818146,0.341111124,94.7555542,4.90333366,19.1091156,30.0,-10.8908844,16.6894035,12.5599174,0.341111124,94.7555542,4.90333366,94.7555542,0.0366795473,0.00011946736,3.67561054,0.857780755,11.5887146,7.32536983,0.200000003,5.0,0.999155521,10.8908844,169.4077,default,hard-iron-off,PM-Stokes,4.0,1
OU-II,adaptive,periodic,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.642941356,0.500780344,0.51644218,0.964814544,7.56401587,5.89153337,6.07579041,12.8062296,2.16781425,23.8231754,0.576565802,0.243400201,2.13956809,-168.437897,163.33371,1.25111115,90.2838898,8.46500015,-18.3020477,-30.0,11.6979523,23.1234341,18.8504353,90.2838898,1.25111115,8.46500015,90.2838898,0.104528956,0.000132565576,4.32140875,1.24531209,23.2556725,8.77819252,0.200000003,5.0,2.10747409,11.6979523,168.437897,default,hard-iron-off,PM-Stokes,8.5,1
OU-II,adaptive,periodic,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.0083781844,0.00626495294,0.0245409589,0.0266777482,3.10303116,2.32035279,9.08924389,13.3331614,0.0534430593,45.9198227,0.104430094,0.282906711,2.54805779,174.90741,164.907852,1.8927778,30.6161118,67.4911118,18.005188,30.0,-11.994812,19.4431763,15.6728201,30.6161118,1.8927778,67.4911118,30.6161118,0.0529345348,0.00012902607,1.47078526,0.0500000007,0.108160466,2.93715763,0.222390324,3.33186746,0.0305005498,11.994812,174.90741,11,deployed,JONSWAP,0.27,1
OU-II,adaptive,periodic,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0963605195,0.0605426319,0.0956233591,0.14864248,6.4240346,4.03617525,6.37489033,11.2158527,0.390963972,24.4583569,0.126853839,0.238861993,3.78499246,-165.642136,163.484116,0.446111113,92.2961121,7.25777817,-15.2794342,-30.0,14.7205658,22.598835,15.7988653,0.223333344,92.5188904,7.25777817,92.5188904,0.0434728079,0.000146084756,2.50580454,0.375940293,2.36055017,4.98793602,0.232279181,3.84065056,0.257714212,14.7205658,165.642136,11,deployed,JONSWAP,1.5,1
OU-II,adaptive,periodic,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.31255573,0.201601088,0.252625167,0.449614882,7.81389332,5.04002714,6.31562901,10.8993273,1.04307246,24.2193298,0.199357256,0.21161899,2.19935417,172.661011,168.545425,0.0761111155,95.3216705,4.60222244,22.3010864,30.0,-7.69891357,15.308075,13.0191593,95.3216705,0.0761111155,4.60222244,95.3216705,0.0467526391,0.000146506878,3.93495536,0.79322958,12.2822666,7.8256917,0.200000003,5.0,0.859903038,7.69891357,172.661011,11,deployed,JONSWAP,4.0,1
OU-II,adaptive,periodic,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.757534027,0.494472563,0.519161522,1.04301941,8.91216469,5.81732416,6.10778236,13.7314205,2.15460348,24.0954552,0.200302407,0.321919352,3.83932018,-170.272751,163.786316,0.810555577,91.8266678,7.36277819,-20.0835266,-30.0,9.91647339,21.0470791,18.2746124,91.8266678,0.810555577,7.36277819,91.8266678,0.0548222847,0.00015558087,4.49665833,1.04436076,21.116909,9.12797356,0.200000003,5.0,1.49896431,9.91647339,170.272751,11,deployed,JONSWAP,8.5,1
